Data,IE00BJXFZ989
05/2008,46719.36263830716
06/2008,42193.780836330116
07/2008,41506.87818900432
08/2008,43038.645472672484
09/2008,38807.21254357231
10/2008,34892.471257794736
11/2008,32693.074921649608
12/2008,30990.206831573418
01/2009,30782.231055176493
02/2009,28159.91770521329
03/2009,28968.477812171262
04/2009,32490.118575206496
05/2009,33672.36969660097
06/2009,33405.90510608002
07/2009,36342.1327402203
08/2009,37297.15307257964
09/2009,38025.07967238306
10/2009,37041.28698984515
11/2009,38002.081444423195
12/2009,40455.353264789876
01/2010,39927.542666549845
02/2010,41624.42231312402
03/2010,44614.67526726817
04/2010,45255.89995453317
05/2010,44355.79229453998
06/2010,43123.28699428161
07/2010,43927.936591014884
08/2010,43566.01464786864
09/2010,44354.89686892593
10/2010,45265.90465785205
11/2010,47195.6474456067
12/2010,49277.250541543515
01/2011,48846.56753729881
02/2011,49764.25672472762
03/2011,48420.7461338013
04/2011,48205.1474738844
05/2011,48764.604943589016
06/2011,47780.72187464082
07/2011,47646.183673591
08/2011,43595.91432987201
09/2011,42258.11363746349
10/2011,45125.11011568633
11/2011,45691.8407730474
12/2011,47295.90538479796
01/2012,49150.47084858736
02/2012,50613.730846599494
03/2012,51297.84693718127
04/2012,51280.75257298901
05/2012,49775.42585925189
06/2012,51473.61138377009
07/2012,53486.43252667111
08/2012,53249.12396731504
09/2012,53583.61435487687
10/2012,52972.70621153805
11/2012,53695.376770360686
12/2012,54062.15520783082
01/2013,55072.554615130786
02/2013,56845.81642617502
03/2013,59367.71004084371
04/2013,59845.16923639597
05/2013,60023.961944069335
06/2013,57953.67487015233
07/2013,59844.15570931327
08/2013,58789.19375560758
09/2013,60601.702844632535
10/2013,62411.7531517837
11/2013,63450.67345636938
12/2013,63713.36927584008
01/2014,62412.61003292868
02/2014,64040.44728881021
03/2014,64464.77248659631
04/2014,64809.768873748086
05/2014,67416.12766990342
06/2014,68446.31159972884
07/2014,69035.36122536882
08/2014,71598.91990639929
09/2014,72624.40326008706
10/2014,73484.2054251091
11/2014,74977.46217044565
12/2014,75620.9394468992
01/2015,79948.28976115359
02/2015,84909.97429891457
03/2015,87369.64225809749
04/2015,86275.02993608006
05/2015,88140.24463863221
06/2015,84403.55968839259
07/2015,86876.49196647861
08/2015,79150.82326003903
09/2015,76386.26408484948
10/2015,83779.49309357294
11/2015,86551.86578465627
12/2015,82606.77136072074
01/2016,77395.0497194683
02/2016,77118.19476375879
03/2016,79254.6690348869
04/2016,80330.43834905683
05/2016,82282.78005453253
06/2016,82196.8556817388
07/2016,85664.70204277645
08/2016,85832.78319752662
09/2016,86156.54884970222
10/2016,86363.73112506248
11/2016,89593.27798485033
12/2016,92365.07522939918
01/2017,93005.75274211966
02/2017,97066.19289186923
03/2017,97436.94704854596
04/2017,96818.65730586294
05/2017,96456.81549416436
06/2017,95296.15972178774
07/2017,95345.13948792372
08/2017,94946.81149176702
09/2017,96955.81560216661
10/2017,100403.50923417459
11/2017,100552.10145149946
12/2017,100962.28117047792
01/2018,102687.92965286327
02/2018,100355.05407220774
03/2018,97395.9643697674
04/2018,100335.02909566935
05/2018,103795.17491259862
06/2018,103619.48962772808
07/2018,106050.21600020031
08/2018,107692.49623324671
09/2018,108887.52526001993
10/2018,103029.14568539055
11/2018,104189.31595637972
12/2018,96104.67612641775
01/2019,103362.72928201321
02/2019,106825.83514087659
03/2019,109960.7467628677
04/2019,113884.94255895849
05/2019,107848.56948014454
06/2019,112628.57128354884
07/2019,115298.18390079861
08/2019,113769.05990656545
09/2019,117764.16179998186
10/2019,118121.76477471403
11/2019,122931.10614458846
12/2019,124433.9529339557
01/2020,125095.95200950843
02/2020,115804.52652497716
03/2020,100412.51396431049
04/2020,112020.5360204902
05/2020,114209.91061456433
06/2020,117236.09321078107
07/2020,116688.31331734637
08/2020,122899.39605816938
09/2020,121318.41284551167
10/2020,118478.86247919167
11/2020,129972.35146844274
12/2020,132805.47711462647
01/2021,133681.2480469867
02/2021,136963.51422492918
03/2021,145422.34210468343
04/2021,147328.59301869167
05/2021,148214.73650308125
06/2021,154197.6509234638
07/2021,155186.3941488707
08/2021,159858.20317534934
09/2021,156671.57347022052
10/2021,163747.8828056716
11/2021,163793.0351761419
12/2021,170925.33481262057
