Data,IE00B43HR379
12/2018,223862.54354860555
01/2019,233900.27471154334
02/2019,238109.27849113883
03/2019,243103.03652449715
04/2019,237027.55449897386
05/2019,232800.38993898034
06/2019,243236.2863442068
07/2019,244243.92191912062
08/2019,245534.93695852195
09/2019,248393.62912848764
10/2019,254866.77037280236
11/2019,271866.74272025184
12/2019,275274.52995558374
01/2020,272163.50539158116
02/2020,255725.37683149072
03/2020,246397.21949134165
04/2020,279572.2105100347
05/2020,281995.76387891
06/2020,273727.1675062879
07/2020,272608.07775115524
08/2020,277687.68502087507
09/2020,277061.12281029846
10/2020,267052.1342148525
11/2020,281434.9252987481
12/2020,285467.26001315063
01/2021,292708.19957619836
02/2021,286860.6052966809
03/2021,308149.2241931485
04/2021,310847.51745237666
05/2021,313596.9560677704
06/2021,329456.41965722904
07/2021,345348.8426596376
08/2021,355211.33942958177
09/2021,342851.2858231239
10/2021,358465.79526868975
11/2021,356309.36701957486
12/2021,389534.126639351
01/2022,368701.3654227069
02/2022,363491.7264799295
03/2022,387049.02811095986
04/2022,388405.1445658168
05/2022,387582.30998293293
06/2022,389057.4810624096
07/2022,409386.85631229274
08/2022,393298.89301635296
09/2022,392941.9990701817
10/2022,423843.46184757794
11/2022,424430.9671164464
12/2022,404948.75245473237
01/2023,391207.96127912507
02/2023,380652.7057651064
03/2023,379911.7368276229
04/2023,387765.6065712598
05/2023,381439.94848821004
06/2023,391309.25284405425
07/2023,389618.6814859568
08/2023,392391.69409168547
09/2023,390568.2338364064
10/2023,377088.0190614534
11/2023,386090.38274313277
12/2023,398317.76724774967
01/2024,418327.5208306918
02/2024,432168.41010992875
03/2024,442993.727477964
04/2024,424079.40814601816
