Data,IE0008470928
07/2001,70890.81301936622
08/2001,65776.48765404508
09/2001,60417.262552708184
10/2001,62707.099228577106
11/2001,64648.8889487284
12/2001,66917.00286829514
01/2002,64869.705867859244
02/2002,64426.258309182886
03/2002,67179.90676809465
04/2002,63931.17038917625
05/2002,61398.979358231816
06/2002,56010.87270752944
07/2002,50108.64506248182
08/2002,49804.27003963358
09/2002,42570.332907639444
10/2002,47117.80578626052
11/2002,49003.758918804844
12/2002,44668.6897194889
01/2003,41204.38258331604
02/2003,40000.67474438526
03/2003,38952.28349465331
04/2003,43212.773079188584
05/2003,43335.878996236665
06/2003,44908.25479201684
07/2003,46430.782831683755
08/2003,46732.24054703489
09/2003,44997.18272333763
10/2003,47869.18047625198
11/2003,48484.94907354614
12/2003,50240.58627460005
01/2004,50924.72892176154
02/2004,52021.446561745615
03/2004,50629.06981918609
04/2004,51652.68820680051
05/2004,51273.395798719845
06/2004,51583.971552635434
07/2004,50882.50671693607
08/2004,50526.62377107138
09/2004,51468.342266552914
10/2004,51920.27108366995
11/2004,52923.78744258087
12/2004,53646.46892161548
01/2005,54502.69182928912
02/2005,56084.55816319862
03/2005,55781.17919293837
04/2005,55103.910569434105
05/2005,57713.60720976974
06/2005,59780.40539396617
07/2005,61797.40846138389
08/2005,61553.4449535673
09/2005,64465.941768106866
10/2005,63297.09836466058
11/2005,64711.95503984962
12/2005,66381.55846511835
01/2006,68313.91464486053
02/2006,68904.45662143281
03/2006,69993.43042381303
04/2006,70713.23401550682
05/2006,67618.81734780529
06/2006,68175.72593948072
07/2006,69583.11308928876
08/2006,71378.16764064833
09/2006,71946.33916469463
10/2006,74359.24346826354
11/2006,73204.25698105796
12/2006,75133.0717800129
01/2007,76435.85054733128
02/2007,74596.8255868873
03/2007,75867.04103889148
04/2007,79132.33071315968
05/2007,81309.57269195105
06/2007,81716.19315348714
07/2007,78563.33343014658
08/2007,78284.82376675917
09/2007,79441.74618031058
10/2007,80852.62188593551
11/2007,78276.38985557579
12/2007,76830.83984831069
01/2008,67603.18035610061
02/2008,66689.19048128338
03/2008,63433.25195218901
04/2008,68288.80232916283
05/2008,67908.19848392867
06/2008,62090.01796934599
07/2008,61569.32187448768
08/2008,62520.2463957527
09/2008,56573.06290783523
10/2008,50081.78047190959
11/2008,46629.261044403225
12/2008,44997.22519013079
01/2009,42858.12183172479
02/2009,38458.43732930359
03/2009,39552.774650113985
04/2009,44356.766482606734
05/2009,46963.77595631068
06/2009,46459.845227465485
07/2009,50762.186778994095
08/2009,53355.66135218951
09/2009,54552.20516322888
10/2009,53581.00826510671
11/2009,54300.226436918354
12/2009,57732.33130623413
01/2010,55351.35890553941
02/2010,55317.920161814814
03/2010,59051.862483185774
04/2010,57206.633328255775
05/2010,54547.24518917047
06/2010,53761.682645622
07/2010,56428.93789733879
08/2010,55960.90793937571
09/2010,56743.10101512673
10/2010,58166.07975369494
11/2010,56853.11215188142
12/2010,59333.726204753904
01/2011,60940.43752866345
02/2011,62465.701142286154
03/2011,59633.921450994174
04/2011,61675.389977639905
05/2011,61640.85435497384
06/2011,60078.53926117983
07/2011,58884.32126847793
08/2011,52655.31375175043
09/2011,50900.73689621184
10/2011,54646.435500642176
11/2011,54430.273738672804
12/2011,56106.46576788934
01/2012,57427.64542550639
02/2012,58963.94067963376
03/2012,58718.31223640857
04/2012,57772.98064484196
05/2012,54688.14206544758
06/2012,57829.82789581593
07/2012,60228.164058578725
08/2012,61169.60418602232
09/2012,61504.458354998686
10/2012,61729.34557786795
11/2012,62533.55024060684
12/2012,63169.520237071505
01/2013,64811.95574404888
02/2013,65186.15425021803
03/2013,66685.89332047416
04/2013,67731.88561217587
05/2013,68560.31202796228
06/2013,65236.44521072249
07/2013,67642.02223840666
08/2013,67154.19438288988
09/2013,69872.06327883057
10/2013,72497.52732928788
11/2013,73243.47984543134
12/2013,73715.81373798993
01/2014,72098.62656327781
02/2014,75236.5726800059
03/2014,74205.84590306685
04/2014,76042.96753111185
05/2014,78043.44065992918
06/2014,77652.94280845039
07/2014,76760.92105286517
08/2014,78708.07636787544
09/2014,79377.92949037824
10/2014,77640.93835188367
11/2014,79823.21322396003
12/2014,77992.35789913638
01/2015,83078.71279866851
02/2015,88546.99486317304
03/2015,89893.65583812095
04/2015,90330.8616251772
05/2015,91128.67300738995
06/2015,87014.5927453522
07/2015,90908.66431305883
08/2015,82708.2128394428
09/2015,79226.01546132322
10/2015,85664.02495189165
11/2015,87780.15683816587
12/2015,82785.32407965891
01/2016,77535.64935886313
02/2016,75084.21136908048
03/2016,75162.5784134083
04/2016,77321.01781566012
05/2016,79355.79076522644
06/2016,76927.12339838137
07/2016,78723.51113871856
08/2016,78653.1322479022
09/2016,78131.7093241645
10/2016,77372.9675827041
11/2016,78041.13377206204
12/2016,83031.80850240076
01/2017,82175.85358823974
02/2017,85016.09487370092
03/2017,87972.54790475275
04/2017,88843.54227869563
05/2017,90527.15492754118
06/2017,87949.1823285359
07/2017,86817.78310106196
08/2017,86029.80252873473
09/2017,89769.11474445753
10/2017,91280.26683628785
11/2017,89555.24808360377
12/2017,90190.19283767659
01/2018,91160.06105102548
02/2018,86535.4975381609
03/2018,84763.29615953482
04/2018,88722.73013515251
05/2018,88353.28059395526
06/2018,88281.96843254314
07/2018,91823.89535239669
08/2018,88579.7465731582
09/2018,89374.5319716853
10/2018,85942.25831852043
11/2018,85722.96996053176
12/2018,80696.05461270311
01/2019,84759.0679065458
02/2019,88914.69482745198
03/2019,91862.99126411894
04/2019,94752.13850894339
05/2019,90870.03893567984
06/2019,95017.38950148961
07/2019,95059.88995114631
08/2019,94062.65878470909
09/2019,97697.53349971384
10/2019,98154.49196838369
11/2019,100645.02302512804
12/2019,102426.19496254316
01/2020,101210.35882812894
02/2020,92456.55738645572
03/2020,82866.84672333495
04/2020,86755.43846424928
05/2020,88321.40015095223
06/2020,91438.0269916834
07/2020,89273.50479310828
08/2020,90727.67776591043
09/2020,89220.25718153374
10/2020,82998.1320966782
11/2020,93955.97803796956
12/2020,95678.47437805565
01/2021,94714.73718186453
02/2021,96413.89102889392
03/2021,103042.75434519365
04/2021,105288.48663728307
05/2021,107499.39546093988
06/2021,109873.57929636876
07/2021,111288.91042976073
08/2021,113497.05335579746
09/2021,109965.60787383348
10/2021,115924.5139952019
11/2021,113095.12357720215
12/2021,120191.94261157964
01/2022,118008.032668994
02/2022,114929.85440334704
03/2022,117622.31770896676
04/2022,118507.63772545474
05/2022,117584.78520977896
06/2022,110480.18661523212
07/2022,117355.62740498195
08/2022,112519.72580510701
09/2022,107167.36156039563
10/2022,113963.7126651825
11/2022,122220.51033845572
12/2022,117616.52975372468
01/2023,124167.1458310571
02/2023,125759.91890477402
03/2023,127779.31744047531
04/2023,131810.69476415418
05/2023,128632.66826549072
06/2023,131251.01510190548
07/2023,132952.2011117881
08/2023,130378.96493048097
09/2023,129006.62403625522
10/2023,125443.65078975793
11/2023,131268.04203300487
12/2023,134947.35703365933
01/2024,138945.44467601116
02/2024,141380.1566203021
03/2024,146946.3937586838
04/2024,146677.43610942824
