Data,DE000A0F5UJ7
01/2010,37814.24250017058
02/2010,37467.65184490895
03/2010,40607.46898114575
04/2010,39441.82175898858
05/2010,35889.69226837575
06/2010,35707.67068964096
07/2010,40953.66624563917
08/2010,38868.82108642003
09/2010,38733.30285987945
10/2010,38602.824443788115
11/2010,35104.63426988065
12/2010,36350.23987755911
01/2011,39519.814298200945
02/2011,40558.55306497983
03/2011,37027.401642959056
04/2011,37789.202882673104
05/2011,36927.07188648464
06/2011,34966.0676816151
07/2011,32623.496884352135
08/2011,27041.990278871403
09/2011,25297.83527089667
10/2011,26875.63594579274
11/2011,24710.100327206157
12/2011,25168.451197243805
01/2012,27622.792501767646
02/2012,29366.2501063954
03/2012,28596.09656978924
04/2012,26346.633196146733
05/2012,23406.405075087707
06/2012,25741.89722265483
07/2012,25542.85174182692
08/2012,27425.08711779118
09/2012,28779.951719236535
10/2012,30148.47523801248
11/2012,31233.129883503243
12/2012,31911.900212181605
01/2013,34701.702136061926
02/2013,33970.78418136942
03/2013,32221.108322165855
04/2013,33968.14488133526
05/2013,35433.623236384235
06/2013,31966.291958851485
07/2013,35083.33913887643
08/2013,34914.79694189147
09/2013,36550.23224014872
10/2013,38754.635904274386
11/2013,38877.16283071856
12/2013,38920.69838332274
01/2014,39450.995689786825
02/2014,40776.01542367798
03/2014,40419.87915649371
04/2014,40538.58941014719
05/2014,41283.25145727367
06/2014,39211.183476527
07/2014,39562.3579919484
08/2014,40348.26608482868
09/2014,40945.26902022741
10/2014,39899.149738995206
11/2014,40382.37621242831
12/2014,38725.492125243145
01/2015,38504.23216189296
02/2015,42423.596062957295
03/2015,44374.19568377862
04/2015,44738.60346232633
05/2015,45767.534957436226
06/2015,44422.80670675485
07/2015,46311.64313949603
08/2015,41736.38079623348
09/2015,38687.520787702226
10/2015,40341.571591949214
11/2015,40617.66800394671
12/2015,38392.09837951136
01/2016,32807.35336576778
02/2016,31155.56663517595
03/2016,30640.492688397615
04/2016,32500.782802121295
05/2016,33003.59809964092
06/2016,27147.923474549065
07/2016,28847.553990580753
08/2016,31334.731646356224
09/2016,30468.79206606679
10/2016,33145.73309654213
11/2016,34498.484608259256
12/2016,37133.52197573803
01/2017,37796.24062904932
02/2017,37236.544394602344
03/2017,39383.9939166379
04/2017,40586.038803627525
05/2017,40316.404606476746
06/2017,40720.73283113409
07/2017,41818.37118295071
08/2017,40461.57866616512
09/2017,42398.01934546954
10/2017,41827.68815269787
11/2017,40941.16076416584
12/2017,41300.30164458818
01/2018,43363.44033250446
02/2018,41866.74873220148
03/2018,39156.305091464936
