Data,IE00BTJRMP35
07/2003,56429.679270194254
08/2003,62363.5080817324
09/2003,58902.56565249685
10/2003,64071.182491677246
11/2003,62837.30536532001
12/2003,63989.7006091301
01/2004,67568.9541176922
02/2004,70482.23458120214
03/2004,72510.25926296887
04/2004,68114.89544752437
05/2004,65389.14062609277
06/2004,65910.3997958777
07/2004,65358.910687275835
08/2004,67680.21876086592
09/2004,69859.85693952508
10/2004,69680.8883494358
11/2004,72929.20574430015
12/2004,74599.69872930074
01/2005,78188.93564392593
02/2005,83618.57149387685
03/2005,79862.51770785106
04/2005,77763.93948551462
05/2005,84577.00537563884
06/2005,89213.21433322456
07/2005,95504.47779430136
08/2005,95520.36318403448
09/2005,105765.7632038644
10/2005,98995.87962664146
11/2005,109491.03698204747
12/2005,115685.35324296779
01/2006,125251.4552829546
02/2006,127673.33929268179
03/2006,126361.52018042035
04/2006,130684.38677570882
05/2006,113989.81486893806
06/2006,115117.86260881953
07/2006,116299.43263515316
08/2006,118523.36649785787
09/2006,121305.07876946575
10/2006,126694.64918676885
11/2006,130913.56518030592
12/2006,137112.86803728584
01/2007,137970.54959430266
02/2007,134482.1747581096
03/2007,138725.36590299444
04/2007,142240.2119541404
05/2007,150851.302328969
06/2007,157355.7069460145
07/2007,163273.71279773596
08/2007,159856.1542330616
09/2007,171564.9134356656
10/2007,187147.7458059203
11/2007,170162.58808069135
12/2007,171212.08710204583
01/2008,148368.3149884176
02/2008,156230.5499791942
03/2008,141917.3664484813
04/2008,156122.13562240347
05/2008,159368.64540571877
06/2008,141137.5814675958
07/2008,137236.50285003116
08/2008,133808.71324335164
09/2008,113720.73741589586
10/2008,92609.26458931241
11/2008,85832.44607997486
12/2008,84623.91944234949
01/2009,85984.12974761029
02/2009,82238.94866538577
03/2009,89362.82187591435
04/2009,104493.12177687715
05/2009,115246.92027035548
06/2009,113410.4417127912
07/2009,126191.53272386956
08/2009,124573.87486971164
09/2009,132439.90207142016
10/2009,131189.28491832648
11/2009,134780.41820337105
12/2009,146100.6788959839
01/2010,142301.072233251
02/2010,146978.54910686216
03/2010,159906.62744319983
04/2010,163849.5630297987
05/2010,161729.40246513113
06/2010,161016.19065219167
07/2010,164373.09137038005
08/2010,165636.57771148093
09/2010,170986.17780310518
10/2010,173286.22065987793
11/2010,179842.95270166037
12/2010,187421.3062103577
01/2011,177948.44898845098
02/2011,174478.7953420198
03/2011,179887.56856359963
04/2011,177327.96700106905
05/2011,178424.85439232487
06/2011,174901.41577385642
07/2011,176575.6804126658
08/2011,158719.28134919325
09/2011,145092.2123029605
10/2011,158458.4772375806
11/2011,154309.0049520484
12/2011,158084.99799806558
01/2012,172856.30592479705
02/2012,179576.92095926727
03/2012,174706.46398181087
04/2012,174496.42281472997
05/2012,165128.19828123663
06/2012,169005.6850162944
07/2012,176693.9576804224
08/2012,171588.3967051407
09/2012,177460.97977301473
10/2012,175520.7105552089
11/2012,177831.52431428057
12/2012,183580.4642961484
01/2013,181222.09581718963
02/2013,184683.1436395556
03/2013,186108.03757302518
04/2013,183724.33025255767
05/2013,179978.5367337382
06/2013,167625.500987032
07/2013,166953.07797662006
08/2013,164622.40100543827
09/2013,171849.1044330961
10/2013,178400.9647910595
11/2013,176166.97860167423
12/2013,171341.6044907011
01/2014,163488.44536778593
02/2014,165281.58133326564
03/2014,170676.3249022403
04/2014,170519.23046482314
05/2014,179636.60823522665
06/2014,183774.77343381627
07/2014,191361.22623437957
08/2014,198556.46051562318
09/2014,192691.40095415208
10/2014,195875.39610657503
11/2014,194422.51038884273
12/2014,190751.71710646764
01/2015,206073.81529016793
02/2015,213677.19245229033
03/2015,220068.2526625017
04/2015,227378.59928985624
05/2015,223158.73425889027
06/2015,213241.76044618944
07/2015,202579.1681875752
08/2015,180220.57257252172
09/2015,175023.45041377895
10/2015,190660.09619883195
11/2015,190793.67093220737
12/2015,181339.63088090866
01/2016,169045.84152039274
02/2016,169258.57382910312
03/2016,183304.4394687892
04/2016,184018.77751743657
05/2016,181118.7787005866
06/2016,189391.57452553045
07/2016,198805.8784046113
08/2016,203435.01328566842
09/2016,205545.3163559026
10/2016,210069.86752461945
11/2016,206242.17451565867
12/2016,208653.79402052384
01/2017,215672.00396054846
02/2017,225572.6678588244
03/2017,229255.653824424
04/2017,229163.92442797398
05/2017,229832.51891043797
06/2017,228379.77018442564
07/2017,235637.34176279925
08/2017,238948.84885646688
09/2017,238400.2279984526
10/2017,250299.08709371038
11/2017,246311.30985000572
12/2017,252179.06798717973
01/2018,263001.45036399533
02/2018,255861.89359649687
03/2018,248950.6491101704
04/2018,252824.56435099232
05/2018,251811.6308600114
06/2018,242328.42775191396
07/2018,246181.59526966108
08/2018,241308.32830819266
09/2018,241627.1189530538
10/2018,225598.5603522105
11/2018,234029.90049835475
12/2018,226124.42740156085
01/2019,245093.2427437227
02/2019,247179.36673856233
03/2019,253281.24019078593
04/2019,259015.09489593687
05/2019,241707.32529518986
06/2019,251781.12871540125
07/2019,253984.87807869658
08/2019,244154.2753927978
09/2019,252218.99058476312
10/2019,256597.76775484497
11/2019,260236.65321328375
12/2019,273507.0783682201
01/2020,265021.4703669648
02/2020,252736.74485040226
03/2020,214245.09605936793
04/2020,235594.33392736613
05/2020,231874.5987500015
06/2020,247625.7643752919
07/2020,255127.1779997616
08/2020,258781.73975575704
09/2020,259699.40963275338
