Data,IE00BD1F4K20
02/2003,19088.55487609681
03/2003,19084.78947864567
04/2003,20043.062447576856
05/2003,20797.52057629067
06/2003,21581.118716449168
07/2003,22478.02137690342
08/2003,24375.258434102452
09/2003,22454.317616397046
10/2003,24208.98295646731
11/2003,24001.70268084252
12/2003,23620.768741338845
01/2004,24718.767527403677
02/2004,25222.176488676974
03/2004,25607.871585715005
04/2004,25355.750757262154
05/2004,25396.040736452822
06/2004,26085.85750435167
07/2004,25178.482508487363
08/2004,25017.70057850749
09/2004,25362.234132241243
10/2004,25391.851406561633
11/2004,25799.581469636592
12/2004,26239.470056552746
01/2005,26459.726473296305
02/2005,26795.86052304562
03/2005,27159.79347268853
04/2005,26157.79450168044
05/2005,28863.105595134693
06/2005,30109.48172413036
07/2005,31769.95440259948
08/2005,31341.09694574077
09/2005,32170.16255369925
10/2005,31324.131411196966
11/2005,33582.46283223325
12/2005,33892.28798175649
01/2006,34470.79330055313
02/2006,35132.74806565751
03/2006,35318.64840119307
04/2006,34367.6437779981
05/2006,32297.27973354806
06/2006,32717.862872826656
07/2006,31711.202885175386
08/2006,32361.01868612466
09/2006,33594.323214562675
10/2006,34712.667461298945
11/2006,34619.411157954826
12/2006,34730.85761555552
01/2007,36453.79570258099
02/2007,35670.32457455541
03/2007,35552.613148691315
04/2007,36090.2796586817
05/2007,37860.11161822931
06/2007,37047.83308880293
07/2007,34740.09925691253
08/2007,34828.14678003573
09/2007,34544.058423543895
10/2007,34230.1186108476
11/2007,31840.017078095727
12/2007,31711.517548749813
01/2008,29667.80599174127
02/2008,28227.10436443263
03/2008,26691.1620666576
04/2008,28662.857063817133
05/2008,29904.937071840566
06/2008,26562.035487751684
07/2008,26220.18720306313
08/2008,28395.093003316204
09/2008,26028.459789566466
10/2008,22545.301738576734
11/2008,20685.588698524265
12/2008,19977.98987499003
01/2009,19978.323537520457
02/2009,18202.232898552145
03/2009,18900.994793269372
04/2009,22188.498170507166
05/2009,21784.24959502326
06/2009,21645.859946678207
07/2009,23620.957553492244
08/2009,24657.434653948683
09/2009,25525.089419412874
10/2009,24135.21681320747
11/2009,24914.68330468101
12/2009,27551.13099403032
01/2010,27437.707292550378
02/2010,29704.796021456565
03/2010,32016.60524287041
04/2010,33574.70756223397
05/2010,33672.36410676737
06/2010,31689.27432340836
07/2010,31907.466675151518
08/2010,31356.736188135623
09/2010,32205.540684431573
10/2010,32979.60216494316
11/2010,35808.02787806773
12/2010,37319.5490106562
01/2011,37222.43131748918
02/2011,38273.14738040441
03/2011,37851.39761638869
04/2011,37347.982655529035
05/2011,38377.33953778538
06/2011,37274.33218068485
07/2011,36467.76374097216
08/2011,33619.39589716394
09/2011,32570.03710897777
10/2011,35589.64755159965
11/2011,36911.01943735841
12/2011,38159.91694228187
01/2012,40005.68884021903
02/2012,40922.46227811361
03/2012,41924.022809818496
04/2012,41956.14260136513
05/2012,41250.871440705945
06/2012,41835.883195339804
07/2012,42923.703924886635
08/2012,43215.42431751843
09/2012,43056.79668750008
10/2012,42509.74774175048
11/2012,43283.984790924806
12/2012,43840.55514251027
01/2013,45775.20925947008
02/2013,47902.45213683472
03/2013,51319.93964307501
04/2013,50955.29613318508
05/2013,52445.00429812552
06/2013,51439.37905201847
07/2013,53833.84767197193
08/2013,52590.60083220871
09/2013,53966.006008116616
10/2013,55265.522066173886
11/2013,56155.97161707373
12/2013,57151.116721104765
01/2014,56699.69240381426
02/2014,58786.82022596866
03/2014,58824.877266666044
04/2014,58198.08094430789
05/2014,60729.30969824116
06/2014,62400.79861197239
07/2014,61929.070058009725
08/2014,65608.08163210929
09/2014,66287.52993998227
