Data,IE00BK1PV551
01/2001,229908.14323839574
02/2001,211440.3577391038
03/2001,206786.6616936241
04/2001,220896.389526038
05/2001,228163.97322213044
06/2001,220947.08674376927
07/2001,211111.52977629236
08/2001,192071.09034613788
09/2001,175608.36592481102
10/2001,180695.32522055315
11/2001,194426.0431893096
12/2001,197484.61859466007
01/2002,195352.25957789633
02/2002,193289.80324796407
03/2002,200084.97110564195
04/2002,187158.68034047497
05/2002,179871.97591627992
06/2002,158941.04170937583
07/2002,148360.94175901703
08/2002,147835.11144356782
09/2002,131174.7589258364
10/2002,140762.36558132278
11/2002,147366.66683364534
12/2002,132696.3966135522
01/2003,124718.23874855698
02/2003,122902.14149123477
03/2003,121206.50194576348
04/2003,129130.87397180169
05/2003,128484.89340950394
06/2003,135189.71248044583
07/2003,139226.04430137132
08/2003,147283.8218560427
09/2003,138927.59925953974
10/2003,147515.82786223572
11/2003,145077.64868369058
12/2003,146381.95586255117
01/2004,151662.04511287808
02/2004,153755.45580313823
03/2004,155134.82080597867
04/2004,155456.1139822606
05/2004,153619.87422894224
06/2004,157303.7926217611
07/2004,153609.12319172174
08/2004,153342.72623408504
09/2004,152467.15169895487
10/2004,152151.572934493
11/2004,153398.83156534968
12/2004,155418.71447487242
01/2005,158724.6310343924
02/2005,160985.4004796169
03/2005,161402.76370644468
04/2005,157945.65908228394
05/2005,168887.72751488318
06/2005,173689.30729426284
07/2005,179714.19462905152
08/2005,179481.2871627729
09/2005,186500.1666588644
10/2005,182233.5142312402
11/2005,192340.62344083018
12/2005,196104.77131075333
01/2006,199403.7618625751
02/2006,203149.68660672806
03/2006,203656.59437302485
04/2006,202560.13223392435
05/2006,190576.39381480584
06/2006,192813.2163463837
07/2006,193165.381378662
08/2006,196853.42538909696
09/2006,202174.79125530913
10/2006,208968.83434423548
11/2006,205878.80876078954
12/2006,210510.4458129935
01/2007,216513.80775498826
02/2007,211162.84395836663
03/2007,213267.22748197106
04/2007,217943.87106707456
05/2007,226545.15748427014
06/2007,223896.30529032808
07/2007,215675.90624516897
08/2007,215509.56844429488
09/2007,218177.0811561848
10/2007,220662.93925836284
11/2007,207106.0678513319
12/2007,204956.86291585915
01/2008,187364.9232407414
02/2008,182603.07645304693
03/2008,173446.5845099512
04/2008,185730.5792740677
05/2008,188922.3956222135
06/2008,171001.1913288775
07/2008,168430.80196733636
08/2008,175910.447268269
09/2008,159641.7008994107
10/2008,145026.75541784274
11/2008,135936.13032672842
12/2008,128279.510704357
01/2009,127076.01120990879
02/2009,115600.21028552788
03/2009,118096.37664650985
04/2009,131652.15777130713
05/2009,135177.96478789632
06/2009,134203.96532359588
07/2009,145508.19936742896
08/2009,150065.5455660373
09/2009,152069.49862627912
10/2009,147755.46626676293
11/2009,151486.88096674814
12/2009,160787.7575857427
01/2010,158973.04026921207
02/2010,165893.42748732166
03/2010,177330.36733241339
04/2010,179511.64327525796
05/2010,175582.60362270544
06/2010,170032.19119817895
07/2010,173109.47953765097
08/2010,171192.58702639368
09/2010,173854.24635270666
10/2010,177587.3141455744
11/2010,185208.02032945954
12/2010,193379.88625231167
01/2011,192951.99231897906
02/2011,197627.33135419412
03/2011,190509.61840185558
04/2011,189845.47693134926
05/2011,192015.7615942039
06/2011,188058.59932820406
07/2011,187118.0040678212
08/2011,171617.5545372961
09/2011,167764.09944413215
10/2011,178506.11388030546
11/2011,181686.07640882337
12/2011,188278.61722451283
01/2012,194140.65045570224
02/2012,199549.11797731087
03/2012,203399.57254863964
04/2012,203218.52274147098
05/2012,197784.5928068399
06/2012,204744.06549456067
07/2012,212509.5596660182
08/2012,212213.3844276726
09/2012,212630.60719032105
10/2012,210136.0467836856
11/2012,212908.26654045892
12/2012,213458.9991042301
01/2013,218404.7844708021
02/2013,225745.85930688522
03/2013,236843.6009066885
04/2013,239274.55553940544
05/2013,240541.72024595222
06/2013,233249.2477934818
07/2013,241885.2824458126
08/2013,237413.9643879427
09/2013,244266.1640657713
10/2013,251258.2728550613
11/2013,256247.38187497781
12/2013,258213.609152194
01/2014,253668.00636628742
02/2014,260599.44456630154
03/2014,261408.52613660632
04/2014,262863.55955983803
05/2014,272780.45092632296
06/2014,276580.243378348
07/2014,277798.09158403234
08/2014,287987.39122355124
09/2014,293596.3504566484
10/2014,296841.2048762928
11/2014,303737.6361644833
12/2014,307209.77232914494
01/2015,323900.9775255535
02/2015,344809.44681537815
03/2015,354531.3971900136
04/2015,348036.65823141066
05/2015,356980.1728561803
06/2015,341798.403042189
07/2015,354922.63268157886
08/2015,324050.4741674521
09/2015,312381.0219783813
10/2015,342777.83163743856
11/2015,355139.3315239741
12/2015,338970.18604934093
01/2016,317674.7745486985
02/2016,316186.90881298593
03/2016,322853.4988387619
04/2016,327393.3983286463
05/2016,336530.07554737065
06/2016,334264.46754906897
07/2016,347988.83905927266
08/2016,347628.51211080333
09/2016,348512.008403163
10/2016,348425.0328556386
11/2016,363715.4338977072
12/2016,375682.0166819728
01/2017,377034.02993273915
02/2017,393212.08095240325
03/2017,393844.1743835557
04/2017,390873.9032618143
05/2017,388729.5779713514
06/2017,383632.55006387347
07/2017,382201.6636724648
08/2017,379507.36892319773
09/2017,388589.50915171753
10/2017,401587.21755832515
11/2017,402918.864922125
12/2017,403400.70292343065
01/2018,408817.12213175424
02/2018,399612.7205695446
03/2018,387444.5833468473
04/2018,399686.94725761074
05/2018,415192.0512100866
06/2018,416387.72141448
07/2018,426473.2130829063
08/2018,434832.2329206318
09/2018,440017.51951046556
10/2018,416932.258705358
11/2018,420080.52376035316
12/2018,384987.14563528384
01/2019,413507.91606468614
02/2019,428562.95768889657
03/2019,441119.03738219425
04/2019,457383.1552008677
05/2019,433508.89354724024
06/2019,452707.92047114007
07/2019,464221.64224309917
08/2019,459391.138502961
09/2019,475428.4271030869
10/2019,475868.7629705535
11/2019,496707.1102153659
12/2019,500033.03489876195
01/2020,505094.5417896922
02/2020,465480.6577661175
03/2020,404578.1282789298
04/2020,452012.92125200835
05/2020,462714.0182998368
06/2020,472250.33635178156
07/2020,467620.78717305115
08/2020,494946.65247092146
09/2020,487262.32235941506
10/2020,472642.14281479403
11/2020,520451.908018379
12/2020,529569.4443313393
01/2021,530054.7598562926
02/2021,544225.8879053027
03/2021,581239.4794695363
04/2021,590224.5988695405
05/2021,592794.0430162594
06/2021,617583.8342051218
07/2021,628178.694305422
08/2021,646814.5667718492
09/2021,633509.16294591
10/2021,665497.2796687591
11/2021,666962.8819289599
12/2021,697635.3188208026
01/2022,670680.7698798733
02/2022,651102.173962225
03/2022,674773.258869471
04/2022,651542.4392824332
05/2022,641403.2854213677
06/2022,604129.044698396
07/2022,664084.2958096161
08/2022,648814.3530944302
09/2022,603611.5601925378
10/2022,636030.3874238599
11/2022,649864.3037554489
12/2022,605244.4888410693
01/2023,637982.8470264702
02/2023,635093.599943547
03/2023,639205.0424369085
04/2023,644030.3335116833
05/2023,655284.4863349881
06/2023,683107.4604481665
07/2023,695890.4959639662
08/2023,688846.226234618
09/2023,676068.978796431
10/2023,654799.7809729985
11/2023,695643.0252044533
12/2023,721825.6189747622
01/2024,744731.2164105938
02/2024,776976.9316159956
03/2024,802934.622361048
04/2024,779690.9599416117
