Data,IE00B5BD5K76
01/2004,187376.15935457722
02/2004,192320.60838579191
03/2004,189268.241486322
04/2004,192034.56805263716
05/2004,191121.58488811404
06/2004,194347.2083093945
07/2004,190803.76726523746
08/2004,189767.97821896744
09/2004,192622.7882645115
10/2004,194420.16101141763
11/2004,199908.16060720032
12/2004,203369.97366612777
01/2005,208556.85075121114
02/2005,215305.3469510375
03/2005,214609.2729840124
04/2005,209264.81082032432
05/2005,220651.3592808066
06/2005,228093.44681444968
07/2005,236362.45510562405
08/2005,237801.9498482744
09/2005,246707.51733707575
10/2005,239295.81912890723
11/2005,248562.5496641698
12/2005,256676.5219267132
01/2006,266181.8319040695
02/2006,271832.55799448007
03/2006,277026.7801322102
04/2006,281097.49635248026
05/2006,266280.6742222248
06/2006,270381.85122186504
07/2006,273320.33348326857
08/2006,280080.9234666358
09/2006,286717.1980619033
10/2006,298142.03452753223
11/2006,296928.7910683476
12/2006,307136.7300735479
01/2007,314077.21819510346
02/2007,306833.0595846333
03/2007,315373.1066863496
04/2007,328636.1643456209
05/2007,338165.8994926974
06/2007,336769.2764137366
07/2007,324712.6257238691
08/2007,321147.12098795496
09/2007,326099.53978559014
10/2007,334937.96208247705
11/2007,317292.3531626137
12/2007,312554.5787039349
01/2008,277111.33112672495
02/2008,276024.4090727982
03/2008,265843.65604358213
04/2008,282715.7838988882
05/2008,284528.4447410628
06/2008,255523.0243781267
07/2008,250590.28585022292
08/2008,255012.75738304417
09/2008,223064.46792590292
10/2008,196946.51412086855
11/2008,183856.95217667913
12/2008,176947.51062176257
01/2009,170884.61155748533
02/2009,155597.41658080247
03/2009,158066.1280353735
04/2009,180539.8624747052
05/2009,190606.9067331073
06/2009,186382.46685864168
07/2009,205883.9919172012
08/2009,216796.38632224433
09/2009,221091.45097619173
10/2009,216187.17080337484
11/2009,219142.7224093908
12/2009,231959.528718634
01/2010,225110.93579602087
02/2010,227051.71273213509
03/2010,243379.76714463643
04/2010,239691.23522514474
05/2010,227730.97806553543
06/2010,226682.15084243292
07/2010,238354.25475260822
08/2010,235864.91658001186
09/2010,243198.47348677745
10/2010,249887.85253827609
11/2010,246154.4606683924
12/2010,259525.20939090152
01/2011,263231.10770592483
02/2011,269060.8783812838
03/2011,259790.0099820994
04/2011,268226.159300219
05/2011,267916.6103099217
06/2011,261524.66102525347
07/2011,256057.24421465976
08/2011,227352.67009564987
09/2011,216573.06143732622
10/2011,234131.52553989424
11/2011,233260.7408397124
12/2011,238139.24285675527
01/2012,244796.0578130374
02/2012,255109.77625678747
03/2012,255239.61162394096
04/2012,252049.97977876206
05/2012,235596.73281352947
06/2012,250486.05211687586
07/2012,259594.16613254294
08/2012,263995.4266534007
09/2012,265062.33245015686
10/2012,267588.8565825371
11/2012,274663.47091879573
12/2012,277917.3961502871
01/2013,286411.35466204566
02/2013,287396.87202155695
03/2013,294034.9282619604
04/2013,300499.6022874852
05/2013,302557.9670816052
06/2013,286300.6213264036
07/2013,302845.68529620237
08/2013,299860.1099726693
09/2013,314967.1273033549
10/2013,325159.69386771315
11/2013,329701.46382254304
12/2013,332653.15975657385
01/2014,326276.37342578766
02/2014,342548.74944154517
03/2014,339637.02289418585
04/2014,346522.48111786554
05/2014,355836.9419361775
06/2014,354113.9036962567
07/2014,347804.03369216423
08/2014,354293.0256441027
09/2014,357356.4782077621
10/2014,349544.3788974803
11/2014,359985.1233983898
12/2014,354162.58231305785
01/2015,380309.7461580535
02/2015,406492.94684701075
03/2015,413350.4516697862
04/2015,413724.8708093086
05/2015,419670.6520201802
06/2015,398779.7509335528
07/2015,419526.5960867805
08/2015,381001.0048467691
09/2015,363572.6637579446
10/2015,396153.2467267777
11/2015,404960.09151227796
12/2015,383343.04449671414
01/2016,356960.67467368435
02/2016,351566.4131984135
03/2016,357294.68418258167
04/2016,365415.6040616831
05/2016,371346.8040323113
06/2016,356459.4132661493
07/2016,370986.09923013835
08/2016,371414.7818704099
09/2016,373645.97786851163
10/2016,368545.5422340696
11/2016,371041.65632569836
12/2016,393938.6687520283
01/2017,394087.2431779691
02/2017,404707.80193503445
03/2017,417224.86844983156
04/2017,422476.41742719174
05/2017,431440.2227304497
06/2017,419550.0624048523
07/2017,420434.0683150413
08/2017,417157.200920914
09/2017,431580.95585542265
10/2017,439833.7149286864
11/2017,432915.0525419664
12/2017,434129.8511926321
