Data,IE00BKM4GZ66
06/2011,23250.319501866037
07/2011,23539.883390714822
08/2011,21097.921934818536
09/2011,19250.1752278185
10/2011,20948.36223280754
11/2011,20360.1991858064
12/2011,20855.645720269178
01/2012,22790.600771193913
02/2012,23748.86151887347
03/2012,23107.17719102701
04/2012,23060.334017587527
05/2012,21884.97135881236
06/2012,22376.50828784641
07/2012,23338.84306130958
08/2012,22731.748691003468
09/2012,23513.687592219947
10/2012,23233.941555041707
11/2012,23552.500528426313
12/2012,24311.74832337054
01/2013,24035.626033999277
02/2013,24563.684830497394
03/2013,24813.27709332472
04/2013,24532.12432469891
05/2013,24090.217997779553
06/2013,22363.630357662034
07/2013,22261.613550866157
08/2013,21906.499044987653
09/2013,22866.996899594604
10/2013,23705.13505202765
11/2013,23400.010060661327
12/2013,22784.415022442052
01/2014,21848.00496028922
02/2014,22111.49247608582
03/2014,22806.838802546434
04/2014,22786.762730942555
05/2014,23990.574161975368
06/2014,24516.069776961507
07/2014,25488.67411861032
08/2014,26451.953757267132
09/2014,25778.72442099512
10/2014,26104.65385017208
11/2014,25894.95517861125
12/2014,25466.760667673556
01/2015,27542.682614401125
02/2015,28527.889834079007
03/2015,29431.578900469438
04/2015,30460.3462170326
05/2015,30079.704325448893
06/2015,28657.548379732023
07/2015,27190.848356004786
08/2015,24167.85854289067
09/2015,23569.11701411559
10/2015,25633.97618726236
11/2015,25700.503126038533
12/2015,24507.76379422017
01/2016,22797.409250722525
02/2016,22819.6405878307
03/2016,24613.827840258862
04/2016,24741.43443256063
05/2016,24358.89827241043
06/2016,25418.48377180228
07/2016,26655.673601826606
08/2016,27253.00991032335
09/2016,27536.148565497384
10/2016,28075.956892131675
11/2016,27561.841301118973
12/2016,27868.950348286435
01/2017,28777.770987132066
02/2017,30181.045608524084
03/2017,30677.578831808194
04/2017,30622.36432583645
05/2017,30622.248283654688
06/2017,30418.262550571828
07/2017,31291.354546201685
08/2017,31720.232393275823
09/2017,31665.008915968156
10/2017,33245.79110073388
11/2017,32782.459477965196
12/2017,33567.76682667586
01/2018,34901.47026603606
02/2018,33976.90970920393
03/2018,33084.15711349054
04/2018,33613.34161224658
05/2018,33544.29944231396
06/2018,32183.108083763163
07/2018,32658.708212277124
08/2018,32035.658135426453
09/2018,31974.292056032293
10/2018,29786.32444817573
11/2018,30943.27818190831
12/2018,29933.875909694176
01/2019,32331.576253850722
02/2019,32644.78897499931
03/2019,33454.39840831618
04/2019,34142.14228547275
05/2019,31946.71629792795
06/2019,33195.06348586821
07/2019,33476.284080110505
08/2019,32176.932943630654
09/2019,33241.323429925986
10/2019,33804.46882141197
11/2019,34266.816949951826
12/2019,35966.266705800335
01/2020,34876.127029296294
02/2020,33193.63586132487
03/2020,27876.50536752663
04/2020,30780.642133142854
05/2020,30341.096796733083
06/2020,32451.225808931675
07/2020,33444.170522438704
08/2020,33986.82442413627
09/2020,34105.95428536575
10/2020,34750.52816975989
11/2020,37225.617666791615
12/2020,39040.565245607635
01/2021,40564.03009001892
02/2021,41140.977212707316
03/2021,42029.70823250099
04/2021,41960.80553560515
05/2021,42526.94730079826
06/2021,43855.98180327735
07/2021,41180.63654943664
08/2021,42396.01867349842
09/2021,41721.92412710118
10/2021,41855.5766476695
11/2021,41204.13863902235
12/2021,42248.798039579655
01/2022,41940.22418726825
02/2022,40554.865239948034
03/2022,40245.10775619708
04/2022,40060.77205484568
05/2022,39485.21731909051
06/2022,37841.068062762
07/2022,38621.488968302074
08/2022,39664.57606002385
09/2022,36022.92001904904
10/2022,34461.16653584717
11/2022,37568.56917368157
12/2022,36066.44512646149
01/2023,38220.8876915709
02/2023,36643.157181810755
03/2023,36773.78287883694
04/2023,36094.22674253008
05/2023,36621.64109453476
06/2023,37435.33470993243
07/2023,39236.30047878374
08/2023,37613.77978532344
09/2023,37616.71657112888
10/2023,36017.993316245025
11/2023,37871.27684205595
12/2023,38964.60923566333
01/2024,38048.38801289534
02/2024,39788.17733442941
03/2024,40698.72724742727
04/2024,41330.94176569087
