Data,DE000A0F5UK5
06/2020,124103.7961381113
07/2020,125865.28892673082
08/2020,132118.93866625152
09/2020,130489.37949663519
10/2020,123893.42202423367
11/2020,145584.26817086
12/2020,161356.09209423102
01/2021,165182.30533496683
02/2021,185032.84521969277
03/2021,186757.70374111552
04/2021,193638.26026607875
05/2021,196854.04156640754
06/2021,192076.1476799851
07/2021,205874.9676293834
08/2021,200458.81936951634
09/2021,185991.07946196696
10/2021,190786.6724090877
11/2021,189118.91218017525
12/2021,203854.20056068056
01/2022,208964.71938753637
02/2022,226674.50550419674
03/2022,245866.47668080253
04/2022,239346.88184351294
05/2022,240515.52368931705
06/2022,194640.36909710057
07/2022,205780.15692861265
08/2022,203154.3754943061
09/2022,195249.15087488422
10/2022,200333.02052600402
11/2022,230768.99177835064
12/2022,222690.96178927287
01/2023,237945.51477361776
02/2023,223205.47426595673
03/2023,214284.99039413297
04/2023,202976.4752193278
05/2023,191534.06831385038
06/2023,196995.94700700438
07/2023,207960.48959279107
08/2023,196880.37241848852
09/2023,206649.91014236014
10/2023,198559.28961377303
11/2023,207075.6467364632
12/2023,217371.98809393408
01/2024,206891.68911289086
02/2024,193292.12309700748
03/2024,207443.8329118587
04/2024,227799.61281222975
