Data,IE00B3Z3FS74
12/2003,63685.356729708474
01/2004,67245.99467889698
02/2004,70143.66938121755
03/2004,72160.1987457492
04/2004,67784.25058923248
05/2004,65070.032581928856
06/2004,65587.12118410366
07/2004,65036.69735198602
08/2004,67344.93567579011
09/2004,69512.0924554847
10/2004,69332.27697414682
11/2004,72562.6098284814
12/2004,74222.89161982313
01/2005,77792.14353254797
02/2005,83192.2803392324
03/2005,79453.29527357363
04/2005,77363.48401481089
05/2005,84139.53105327656
06/2005,88749.65574479605
07/2005,95006.01058516881
08/2005,95019.4379139082
09/2005,105208.7338018617
10/2005,98471.87449491477
11/2005,108909.01707152369
12/2005,115067.68357029065
01/2006,124579.83338485405
02/2006,126985.61630045189
03/2006,125677.6887698317
04/2006,129974.01933934272
05/2006,113366.94557334768
06/2006,114485.995200277
07/2006,115658.21758808767
08/2006,117866.99837185089
09/2006,120630.3591810322
10/2006,125986.93612720484
11/2006,130179.13569084987
12/2006,136340.40577258216
01/2007,137189.84683944134
02/2007,133717.7811350669
03/2007,137933.511133451
04/2007,141424.84584253895
05/2007,149983.0390888171
06/2007,156446.25636606858
07/2007,162326.14744742608
08/2007,158924.36466327976
09/2007,170560.90127489757
10/2007,186048.2775899044
11/2007,169158.25420942635
12/2007,170197.32991979748
01/2008,147484.69566097914
02/2008,155296.41936712034
03/2008,141064.93452958093
04/2008,155180.85560788115
05/2008,158403.91225352307
06/2008,140279.24939771253
07/2008,136398.38831544336
08/2008,132988.12254022085
09/2008,113020.0128379307
10/2008,92035.79920993684
11/2008,85298.64397426513
12/2008,84095.50084023991
01/2009,85445.11517327202
02/2009,81721.27563506855
03/2009,88798.26286407793
04/2009,103830.75554990272
05/2009,114513.7915587062
06/2009,112686.13268249526
07/2009,125382.77860991306
08/2009,123772.35366036904
09/2009,131584.67571976857
10/2009,130338.84476929264
11/2009,133903.43990814366
12/2009,145146.69526049393
01/2010,141368.26996278274
02/2010,146011.55115268411
03/2010,158850.92307893373
04/2010,162763.85611174293
05/2010,160653.67514845292
06/2010,159941.1908523151
07/2010,163271.68121006075
08/2010,164522.6195516645
09/2010,169832.12883208608
10/2010,172112.40204548757
11/2010,178620.41681604067
12/2010,186142.7887055176
01/2011,176729.89817518555
02/2011,173279.58568632227
03/2011,178646.85189616008
04/2011,176100.43819115683
05/2011,177185.330017205
06/2011,173681.9392300563
07/2011,175340.18823589096
08/2011,157604.34609720277
09/2011,144069.06128993185
10/2011,157337.46921518125
11/2011,153213.4187650499
12/2011,156958.77211457133
01/2012,171620.92262460888
02/2012,178289.2157058834
03/2012,173449.2264371788
04/2012,173236.36055558326
05/2012,163931.45432891353
06/2012,167776.74122470632
07/2012,175404.91333343205
08/2012,170332.2140919713
09/2012,176157.54622278886
10/2012,174227.12415407755
11/2012,176516.55155390908
12/2012,182218.568164372
01/2013,179873.13983503226
02/2013,183303.92795962607
03/2013,184713.59817185454
04/2013,182343.13325783508
05/2013,178620.94116945344
06/2013,166356.6200463596
07/2013,165685.1281857227
08/2013,163368.00975657292
09/2013,170535.5628843404
10/2013,177033.08021603938
11/2013,174811.79722836698
12/2013,170019.17247545562
01/2014,162222.37435796295
02/2014,163997.56853831737
03/2014,169346.30235748657
04/2014,169186.19844602593
05/2014,178228.07157117958
06/2014,182329.33357600513
07/2014,189851.55857567932
08/2014,196985.282652379
09/2014,191161.7086926142
10/2014,194315.64846553825
11/2014,192869.47412520062
12/2014,189223.18119975904
01/2015,204417.76942560883
02/2015,211954.93405108136
03/2015,218289.18283756892
04/2015,225534.9741285735
05/2015,221343.6861215926
06/2015,211501.83782652506
07/2015,200920.95826720886
08/2015,178740.35570722615
09/2015,173581.45088705287
10/2015,189084.9284801974
11/2015,189212.67254215002
12/2015,179832.24241471558
01/2016,167636.14956097145
02/2016,167842.9169677042
03/2016,181767.1087274796
04/2016,182470.91161507493
05/2016,179590.74423870366
06/2016,187789.2556707219
07/2016,197119.21652017953
08/2016,201704.15000786204
09/2016,203791.4556197204
10/2016,208272.30527150023
11/2016,204472.15892188752
12/2016,206857.96957504985
01/2017,213810.60430930182
02/2017,223620.47331530965
03/2017,227265.99476069523
04/2017,227169.3798134996
05/2017,227826.47590154776
06/2017,226380.7115140108
07/2017,233569.09644442127
08/2017,236845.69842073007
09/2017,236295.9852034953
10/2017,248083.91146047463
11/2017,244125.22440503852
12/2017,249934.80132933296
01/2018,260654.6215852532
02/2018,253572.25653164295
03/2018,246716.51954742058
04/2018,250549.50163726773
05/2018,249539.41937438512
06/2018,240135.54905862376
07/2018,243947.8450996131
08/2018,239112.69745470796
09/2018,239422.60965047794
10/2018,223534.30364961067
11/2018,231882.90755928803
12/2018,224044.16228889988
01/2019,242832.87010486226
02/2019,244893.6839976394
03/2019,250933.01071028577
04/2019,256607.43218521352
05/2019,239454.1309621864
06/2019,249428.04009004706
07/2019,251604.95801672502
08/2019,241860.18111838374
09/2019,249843.07305803773
10/2019,254174.3558162653
11/2019,257772.5198262574
12/2019,270910.84543370083
01/2020,262499.01327121665
02/2020,250324.650496761
03/2020,212194.1040568397
04/2020,233333.65845665682
05/2020,229643.78313101083
06/2020,245237.6690866327
07/2020,252660.6083660946
08/2020,256273.52130272432
09/2020,257175.8899099502
10/2020,262693.4938622762
11/2020,280203.5364602398
12/2020,293749.41372194904
01/2021,306149.42290454917
02/2021,308836.0536814523
03/2021,314469.4665408209
04/2021,312761.89171982027
05/2021,316910.6998811398
06/2021,325979.3172536316
07/2021,303996.24741212785
08/2021,313498.8873201054
09/2021,307727.6464956644
10/2021,308992.5868403309
11/2021,303727.9439738207
12/2021,310532.48607752175
01/2022,309266.27299752977
02/2022,298853.17801550956
03/2022,294734.26871985703
04/2022,293149.48285240715
05/2022,289706.2889647032
06/2022,279138.97620878863
07/2022,283803.19015073765
08/2022,290689.6158735069
09/2022,263342.5950635034
10/2022,250881.80239953456
11/2022,275257.4626412461
12/2022,264106.46567392605
01/2023,280546.25142359576
02/2023,267614.4360596058
03/2023,269294.8578446622
04/2023,263676.5691038712
05/2023,266511.63280268764
06/2023,272174.0890670015
07/2023,285134.7690611058
08/2023,271420.06226854335
