Data,IE00BSPLC413
03/2014,104888.74735886331
04/2014,102742.90274118101
05/2014,105520.80744570882
06/2014,109752.50663004258
07/2014,106769.73491151445
08/2014,113478.91435854198
09/2014,111675.45741904486
10/2014,116803.85888440225
11/2014,117414.50006922665
12/2014,122342.41127053782
01/2015,126102.77798821789
02/2015,135100.4170896794
03/2015,142453.5408814108
04/2015,135016.26010612914
05/2015,139585.1937757657
06/2015,134799.18062898406
07/2015,134055.15209228682
08/2015,125005.91551456775
09/2015,118865.80191126849
10/2015,128281.17088900384
11/2015,135914.80814977433
12/2015,124115.46775359115
01/2016,114344.28723340403
02/2016,116872.57115675477
03/2016,123227.05231779828
04/2016,127208.14795576621
05/2016,130172.80646819639
06/2016,129837.56292039137
07/2016,136439.96150441468
08/2016,137876.9298089708
09/2016,138443.8904156642
10/2016,135619.80098817876
11/2016,156669.91768339003
12/2016,162703.15415541467
01/2017,160377.22264565865
02/2017,164790.6294530343
03/2017,161558.62870603247
04/2017,157884.21060954477
05/2017,149451.4918718484
06/2017,150763.7011348652
07/2017,147969.64971573508
08/2017,143674.4964401912
09/2017,152693.12792140534
10/2017,155582.83343638177
11/2017,157295.96197240995
12/2017,156719.8785543515
01/2018,153764.04852853558
02/2018,148527.92823547407
03/2018,148519.50858792936
04/2018,153206.76898570423
05/2018,166126.3961990391
06/2018,168597.1986351133
07/2018,171053.87108816108
08/2018,176848.13030881237
09/2018,174398.86923821695
10/2018,161775.53763255753
11/2018,163244.24215804331
12/2018,140998.98115148908
01/2019,158413.55852095303
02/2019,165950.10365016895
03/2019,164189.37832709687
04/2019,170837.38346494458
05/2019,154645.62917431415
06/2019,162849.15732320343
07/2019,166926.47974190634
08/2019,158111.31711164492
09/2019,168332.141057083
10/2019,167517.48879610392
11/2019,175509.1770698983
12/2019,179099.13268022472
01/2020,171065.5223192327
02/2020,154169.5324557457
03/2020,111203.4808406754
04/2020,130900.52320512361
05/2020,134895.085276681
06/2020,139320.4842784081
07/2020,134861.81817218685
08/2020,142183.10692166025
09/2020,137619.0340707918
10/2020,143819.46018799586
11/2020,170047.7858071651
12/2020,179275.69745889807
01/2021,192873.19107618867
02/2021,211098.28320085435
03/2021,232686.26878789873
04/2021,233179.18785824653
05/2021,239350.26226604986
06/2021,242677.6740370899
07/2021,236979.51765444086
08/2021,243420.2874999743
09/2021,244154.14317735055
10/2021,252784.14063600905
11/2021,250883.89830947932
12/2021,264118.67372309364
01/2022,257124.27473568488
02/2022,260947.80588119014
03/2022,265711.85680080653
04/2022,261213.33307354694
05/2022,263428.2305402656
06/2022,243288.28713285804
07/2022,272868.6753441284
08/2022,270683.64853912033
09/2022,249248.48416796583
10/2022,275642.4661223245
11/2022,276540.27881467366
12/2022,252588.89029063116
01/2023,277690.76265874517
02/2023,277756.23983662896
03/2023,252545.66589189452
04/2023,246783.28900982987
05/2023,245376.61849167655
06/2023,265982.0293357581
07/2023,281396.26628857706
08/2023,274820.1111724288
09/2023,267106.05095472856
10/2023,250616.18131790616
11/2023,265986.85029849934
12/2023,296546.71014264703
01/2024,289766.9460105727
02/2024,299481.47289717867
03/2024,314403.72712387884
