Data,IE00B7K93397
05/2011,41044.97027609119
06/2011,40166.78723004069
07/2011,39878.63149070159
08/2011,37212.40355229143
09/2011,37019.128938195725
10/2011,39600.68627998703
11/2011,41226.08584262154
12/2011,43185.45640165242
01/2012,44304.83787930377
02/2012,45298.2084942247
03/2012,47089.1296495437
04/2012,47291.83736106487
05/2012,47351.24471099329
06/2012,48565.210801788424
07/2012,50461.44622545799
08/2012,50255.03961244168
09/2012,50276.838829898305
10/2012,49104.16453937733
11/2012,49410.64998658606
12/2012,49070.005713801824
01/2013,50250.7334774848
02/2013,52561.122515669864
03/2013,55906.87640372843
04/2013,55814.51448478344
05/2013,57404.2987697349
06/2013,56307.32342959732
07/2013,58297.771045687405
08/2013,56774.65093476844
09/2013,57378.66266475266
10/2013,59412.10552731051
11/2013,61351.626661943774
12/2013,62077.73270388545
01/2014,61144.50044627542
02/2014,62560.65034495093
03/2014,63194.514559967196
04/2014,63370.312420507486
05/2014,66009.93561668944
06/2014,67115.27971693655
07/2014,67563.23682064035
08/2014,71277.09771901046
09/2014,73649.46095911312
10/2014,75796.403323602
11/2014,78082.94542306957
12/2014,80072.4081979679
01/2015,83404.15795646078
02/2015,88699.40457452426
03/2015,91190.44095673137
04/2015,88312.89409463461
05/2015,91437.3548179287
06/2015,87903.02236786751
07/2015,91552.64604265601
08/2015,84117.35697509731
09/2015,82115.45424800139
10/2015,90537.35342974208
11/2015,94557.12262636687
12/2015,90423.4271441119
01/2016,85667.58779725937
02/2016,85794.8826798029
03/2016,87607.04355171983
04/2016,87799.19794658682
05/2016,91362.25818604662
06/2016,92018.99142910336
07/2016,95307.90511003426
08/2016,95269.36217618226
09/2016,95030.05134890763
10/2016,95119.67883353954
11/2016,101517.54260168933
12/2016,104437.10097869934
01/2017,104289.96078626375
02/2017,110037.38848960925
03/2017,109185.93301518563
04/2017,107884.38929988314
05/2017,106554.61264742663
06/2017,105414.53275932554
07/2017,104681.83148087039
08/2017,104121.6956360603
09/2017,106430.10453697525
10/2017,110475.21053148949
11/2017,111824.77493439014
12/2017,111699.2908147809
01/2018,113684.52347301629
02/2018,111661.63908550287
03/2018,107867.63417054847
04/2018,110440.14102749895
05/2018,116762.38261539584
06/2018,117882.48374466934
07/2018,121445.03774389518
08/2018,126304.93379296272
09/2018,127834.21501466955
10/2018,121798.83295481965
11/2018,123820.09340187474
12/2018,111732.79226932045
01/2019,120276.10906794664
02/2019,124908.89111252298
03/2019,129374.97690753879
04/2019,134804.33707528395
05/2019,126982.79779658324
06/2019,133184.06422086377
07/2019,137859.43319216542
08/2019,137075.56473920163
09/2019,141511.76208269974
10/2019,141127.71584291282
11/2019,148526.97800785722
12/2019,149562.7882727904
01/2020,151951.15601731
02/2020,140380.272695411
03/2020,123263.21209697994
04/2020,140075.4056003903
05/2020,143306.63223482983
06/2020,145333.1876413834
07/2020,145090.51196357387
08/2020,154306.77577710667
09/2020,151369.60536957107
10/2020,147455.1068300789
11/2020,159730.40580587462
12/2020,161922.27943136712
01/2021,162054.3129326045
02/2021,166712.74960666447
03/2021,179874.5033690305
04/2021,183857.64906492806
05/2021,183317.61898060242
06/2021,192582.97506809075
07/2021,197022.33888318914
08/2021,203971.06471325512
09/2021,198747.15846515627
10/2021,211446.42702338242
11/2021,215171.39792528114
12/2021,225527.51834793444
01/2022,217093.48215117832
02/2022,209762.9220317119
03/2022,219450.99614124445
04/2022,210954.46890847496
05/2022,207907.4041374794
06/2022,196711.80835547086
07/2022,218811.6616973267
08/2022,214022.1310530218
09/2022,199312.61205165542
10/2022,211821.80503429958
11/2022,213679.6108302924
12/2022,195872.11603546073
01/2023,204950.74490098862
02/2023,203958.99932754025
03/2023,206449.30120814362
04/2023,207627.13666912718
05/2023,214325.78351910642
06/2023,224617.96694465235
07/2023,228509.25875511786
08/2023,228055.4094020323
09/2023,222776.46689332358
10/2023,217556.44942976406
11/2023,230626.47928164783
12/2023,238484.41605822218
01/2024,247234.23751655154
02/2024,260675.4150801129
03/2024,269409.8169303402
04/2024,260621.00335607477
