Data,XS2115336336
05/2007,28051.12909707778
06/2007,27573.373086591197
07/2007,27788.418735958385
08/2007,28058.831077491945
09/2007,29981.133161667516
10/2007,31261.005258637775
11/2007,30357.75953675835
12/2007,32493.81835728178
01/2008,35498.302664372546
02/2008,36615.51727762159
03/2008,33741.406197644465
04/2008,32027.196764937198
05/2008,32630.89723442649
06/2008,33707.75503950157
07/2008,33583.70657248077
08/2008,32279.64137826924
09/2008,35304.63664298039
10/2008,32696.054714698606
11/2008,36523.20289359089
12/2008,35464.37426136589
01/2009,40930.97357380141
02/2009,42946.66297699686
03/2009,39274.402201037614
04/2009,37936.442436153724
05/2009,39445.792468478554
06/2009,37684.41714879541
07/2009,37848.26101019027
08/2009,38144.78531291227
09/2009,38737.46330822852
10/2009,40022.617834469274
11/2009,44567.74836275765
12/2009,43632.16026643443
01/2010,43959.23677486035
02/2010,46481.98126433903
03/2010,47093.401535549914
04/2010,50389.316439364884
05/2010,55813.186024247916
06/2010,57658.751532035996
07/2010,51023.659812506245
08/2010,55867.71678509621
09/2010,54436.09971520503
10/2010,55235.683627042046
11/2010,60482.800224936815
12/2010,59961.652717795296
01/2011,55051.13433434566
02/2011,57924.97009628101
03/2011,57512.8389149453
04/2011,58662.33557451214
05/2011,60628.10648163613
06/2011,59114.280983313714
07/2011,64798.54611038814
08/2011,71199.06330531003
09/2011,68049.6689196782
10/2011,69748.9521132652
11/2011,73781.04204674913
12/2011,68983.48571074185
01/2012,75022.73153995704
02/2012,74615.14677754247
03/2012,70526.27478008973
04/2012,70788.85885303705
05/2012,71145.57253204733
06/2012,71897.74989536895
07/2012,74758.89334008102
08/2012,73996.43792119836
09/2012,77739.1958722192
10/2012,74865.09434706291
11/2012,75196.74961425293
12/2012,71338.93141048418
01/2013,69482.86956863609
02/2013,68413.64520071875
03/2013,70562.68560205688
04/2013,63518.65400175332
05/2013,60591.658494593015
06/2013,51488.81486142329
07/2013,55936.74123369113
08/2013,59520.79256351991
09/2013,55465.57420649305
10/2013,54798.925382116
11/2013,51964.5711393279
12/2013,49168.86546851351
01/2014,52227.15218845201
02/2014,54178.841677801895
03/2014,52845.26091113214
04/2014,52466.64725931736
05/2014,51819.040386559594
06/2014,54278.85698707086
07/2014,54147.22460303222
08/2014,54942.874399191096
09/2014,54473.01311071493
10/2014,52368.94895400076
11/2014,53366.23084800091
12/2014,55625.180316107006
01/2015,62767.054362754825
02/2015,60801.71052550589
03/2015,62096.09350221084
04/2015,59221.13426259553
05/2015,61104.8664030954
06/2015,58871.868406572365
07/2015,56328.952045683334
08/2015,56908.4519303466
09/2015,55904.916178999505
10/2015,58285.24415988186
11/2015,56413.04365971788
12/2015,54824.80877832867
01/2016,57198.722688853035
02/2016,63708.077274495685
03/2016,61018.89837962934
04/2016,63307.416703790564
05/2016,61006.50672881296
