Data,DE000A0D8Q07
05/2003,29496.940352009577
06/2003,30616.310287154367
07/2003,32007.327048791136
08/2003,32782.95205065366
09/2003,31039.988490406973
10/2003,33424.95407508784
11/2003,34091.87799775938
12/2003,35241.0388740989
01/2004,36387.6393402763
02/2004,37075.56635576702
03/2004,35992.566802410336
04/2004,36383.625088072506
05/2004,36182.337262944966
06/2004,37154.4327497005
07/2004,36090.68301111071
08/2004,35618.10959327785
09/2004,36428.51241197778
10/2004,37377.04259283839
11/2004,38436.393836527976
12/2004,39505.20021644741
01/2005,40299.176318564336
02/2005,41430.48544119519
03/2005,41273.31999259096
04/2005,39889.284802100156
05/2005,42206.52730350891
06/2005,43794.9435817642
07/2005,45729.951478104456
08/2005,45291.50021456369
09/2005,47424.68397075464
10/2005,45897.40630998405
11/2005,47724.217613307774
12/2005,49611.31566269775
01/2006,51698.90180568486
02/2006,53254.316766745964
03/2006,54817.913169751555
04/2006,54900.04587305475
05/2006,52242.361912613065
06/2006,52564.93516297971
07/2006,53138.26233597674
08/2006,55007.85042736595
09/2006,56541.364475963775
10/2006,58308.831175289815
11/2006,58498.80453147003
12/2006,60909.911938143865
01/2007,62200.58648425602
02/2007,61205.26772166085
03/2007,63052.92702493463
04/2007,66006.0554197227
05/2007,68657.8917125252
06/2007,68099.00678986378
07/2007,65544.91829665266
08/2007,65011.663434341484
09/2007,65884.94647392166
10/2007,67827.19063017619
11/2007,65587.87103754196
12/2007,65216.3060665284
01/2008,56723.02771693
02/2008,56135.48549985546
03/2008,54632.44487801433
04/2008,58014.93827107537
05/2008,58570.08620214117
06/2008,51724.136658174466
07/2008,50841.54895869787
08/2008,51475.461993629215
09/2008,45570.65760499743
10/2008,38336.05976511861
11/2008,35979.873592869655
12/2008,36049.52394527351
01/2009,33578.91420107855
02/2009,29891.66087410579
03/2009,31114.74825000738
04/2009,36042.65179661773
05/2009,37721.08257901922
06/2009,37062.71977663573
07/2009,40585.143278464144
08/2009,42940.854254426384
09/2009,44837.19211555556
10/2009,42769.008028760385
11/2009,43473.83368690021
12/2009,45917.03337237031
01/2010,43784.989839638154
02/2010,42956.11730420265
03/2010,46362.981829616394
04/2010,45236.46412455904
05/2010,42530.49209200975
06/2010,42024.54071112513
07/2010,44670.86765847139
08/2010,42916.354606017005
09/2010,45199.81155747194
10/2010,46914.00150773489
11/2010,44598.001145008355
12/2010,47056.57400061397
01/2011,49168.88151687374
02/2011,50106.53182197565
03/2011,48836.18425840301
04/2011,50590.020000423036
05/2011,49417.88235566941
06/2011,48960.15794844817
07/2011,46083.49905510117
08/2011,40154.943435874535
09/2011,37747.240689288345
10/2011,40937.774608300584
11/2011,39946.813861312556
12/2011,39815.547179342444
01/2012,42013.904871364306
02/2012,43835.69511078007
03/2012,43713.50392935026
04/2012,41499.07286209229
05/2012,38567.343253807456
06/2012,40958.29550264037
07/2012,42088.81209107796
08/2012,43798.263002766165
09/2012,44315.47411949741
10/2012,45053.43583100194
11/2012,46300.47912824005
12/2012,47420.60418695887
01/2013,48904.811357332124
02/2013,48505.473508356634
03/2013,48486.67361007267
04/2013,49917.46475028638
05/2013,51631.65602753432
06/2013,48793.36138640132
07/2013,51902.47869304499
08/2013,51394.889525268234
09/2013,54462.95175649651
10/2013,57385.52354176329
11/2013,58099.39165667826
12/2013,58564.77332283026
01/2014,57337.57580353067
02/2014,60160.402727684355
03/2014,60374.962852780634
04/2014,60897.4036177552
05/2014,62432.10296910743
06/2014,61840.20863616122
07/2014,59729.80152391586
08/2014,60682.62722810544
09/2014,61163.97457392827
10/2014,59551.45493177781
11/2014,62314.14665910328
12/2014,60869.619367363215
01/2015,65243.37678512646
02/2015,70018.17722065002
03/2015,72095.31198817847
04/2015,71146.31423678406
05/2015,71498.3026035399
06/2015,68675.31448953797
07/2015,71898.96283526636
08/2015,65929.71385586078
09/2015,62961.95405187324
10/2015,68949.25841680403
11/2015,70966.21920066008
12/2015,67023.90227399577
01/2016,62766.46372915138
02/2016,60870.29203825718
03/2016,62558.06011424915
04/2016,63291.01595240729
05/2016,64645.59493685231
06/2016,60666.80189058764
07/2016,63799.033527521315
08/2016,64617.498298646206
09/2016,64565.22743216764
10/2016,65329.02798685041
11/2016,65080.91625593697
12/2016,69665.90592909892
01/2017,68963.05942571291
02/2017,70751.66517556398
03/2017,74553.16824413605
04/2017,76283.93056782593
05/2017,77489.12385761931
06/2017,75456.25967893944
07/2017,75767.71262829711
08/2017,75452.35373410542
09/2017,78840.41788937929
10/2017,80660.05976751438
11/2017,79047.70562683286
12/2017,78254.31878588487
01/2018,80794.84731840876
02/2018,77718.86437898583
03/2018,76061.39313592977
04/2018,79815.61265594196
05/2018,78602.7371741618
06/2018,77944.88260715027
07/2018,80669.51574108847
08/2018,78544.34779619578
09/2018,78347.88022804291
10/2018,73148.44854521478
11/2018,72340.53187592403
12/2018,68158.77220253686
01/2019,72409.58644513415
02/2019,75332.06879996006
03/2019,76364.60097930877
04/2019,80187.46592295462
05/2019,75605.56985664036
06/2019,79550.04035561823
07/2019,79635.19050944112
08/2019,78609.43139829596
09/2019,81475.66443718509
10/2019,82477.4109536895
11/2019,84764.69100494559
12/2019,85788.81789170965
01/2020,84295.62091823906
02/2020,77656.7211444747
03/2020,64523.282899511796
04/2020,68724.91016425875
05/2020,72269.17625623796
06/2020,75812.28817007625
07/2020,75085.77750242162
08/2020,77700.2201264123
09/2020,76278.981311555
10/2020,71894.39094756277
11/2020,84081.85016246181
12/2020,85828.90631873945
01/2021,84640.39496506297
02/2021,87677.86549427621
03/2021,93457.46906839352
04/2021,95497.0734891808
05/2021,97861.78386349707
06/2021,98805.79160121219
07/2021,100232.19818074204
08/2021,102852.07298856818
09/2021,99357.99187846783
10/2021,103500.39817867769
11/2021,100163.24850248826
12/2021,105082.37002537819
01/2022,101135.36255514715
02/2022,95879.03607840106
03/2022,95637.81018319051
04/2022,93992.79277176106
05/2022,94365.38814289129
06/2022,85498.99323022431
07/2022,91728.40188551541
08/2022,87107.85838824522
09/2022,81665.59371897526
10/2022,88168.9676000886
11/2022,95290.40916983054
12/2022,91965.02254933218
01/2023,100507.31780199261
02/2023,102420.57100201797
03/2023,102796.3716830969
04/2023,104255.93574719247
05/2023,101622.73663015018
06/2023,105476.89187183105
07/2023,107620.76093623794
08/2023,104271.43563219722
09/2023,101005.08497049054
10/2023,97616.02858145615
11/2023,105413.06987477702
12/2023,108805.43028515013
01/2024,110905.70424694088
02/2024,114513.09024195466
03/2024,119674.03181574147
04/2024,117438.17212731882
