Data,IE00B4L5Y983
08/1992,55693.973729894446
09/1992,56430.665800750096
10/1992,57157.66955977885
11/1992,61963.10384107495
12/1992,62393.68117294086
01/1993,63795.52604446451
02/1993,66903.72178858664
03/1993,71100.13316967171
04/1993,71833.27347529113
05/1993,73638.90594801534
06/1993,75120.33761826433
07/1993,79886.78041865957
08/1993,84153.88381959009
09/1993,79281.7623760231
10/1993,82390.33919193156
11/1993,79783.66761587482
12/1993,83617.79034824712
01/1994,90307.74294206916
02/1994,88761.2737320702
03/1994,83144.35156863868
04/1994,85929.70064918356
05/1994,84265.81653777523
06/1994,82634.29005235946
07/1994,81577.97523359089
08/1994,84099.05121317682
09/1994,80979.43829512039
10/1994,81659.52492410633
11/1994,79247.52009546547
12/1994,81619.21153924988
01/1995,78718.2067276336
02/1995,78959.57007776188
03/1995,79517.74682984756
04/1995,80683.30015031277
05/1995,82598.76787675501
06/1995,81852.24689640042
07/1995,84917.07146918621
08/1995,85506.04548165205
09/1995,89092.4906958511
10/1995,86291.92365134679
11/1995,89447.83827310216
12/1995,93486.92211748209
01/1996,96298.5145210221
02/1996,97405.7506842657
03/1996,98927.04761578921
04/1996,102079.61271683506
05/1996,103369.49893319259
06/1996,103048.72033856735
07/1996,97858.86547413208
08/1996,98049.84163605045
09/1996,102735.08918852573
10/1996,103736.55921110327
11/1996,108106.28986343904
12/1996,108690.57386401453
01/1997,112953.33125808189
02/1997,119189.36506698649
03/1997,118145.52212833714
04/1997,122628.83571454485
05/1997,129756.52860111895
06/1997,137714.54431945467
07/1997,148019.30315251902
08/1997,142008.45559120065
09/1997,145749.54855466736
10/1997,135524.9249172307
11/1997,135039.54356843056
12/1997,140327.48934286652
01/1998,147508.56881301478
02/1998,157091.28692492502
03/1998,164277.7353159288
04/1998,164707.81476414073
05/1998,160114.77428023107
06/1998,165053.91023119184
07/1998,165126.89745682882
08/1998,142471.00648577837
09/1998,138179.5077536203
10/1998,145059.05250819682
11/1998,158085.06817728467
12/1998,164700.27607997815
01/1999,173754.36222371468
02/1999,174696.1104772544
03/1999,186589.9332092895
04/1999,196541.69916700842
05/1999,191853.7903554215
06/1999,203231.55691451408
07/1999,195626.84500321402
08/1999,197454.41720671373
09/1999,193793.48768495157
10/1999,207942.11617288974
11/1999,221267.3448208077
12/1999,240326.76546508985
01/2000,232396.4259346688
02/2000,234803.46915622352
03/2000,255194.74620327013
04/2000,256921.35061249873
05/2000,244476.0788537699
06/2000,245947.27045492054
07/2000,247046.34077179257
08/2000,264661.68487331393
09/2000,254544.3841144324
10/2000,260552.36772084053
11/2000,237133.7161951985
12/2000,224818.76516210273
01/2001,229406.44082247402
02/2001,210977.04375259395
03/2001,206331.78687315554
04/2001,220408.75768260236
05/2001,227658.46134724605
06/2001,220455.6671885886
07/2001,210640.14884868532
08/2001,191640.46857859482
09/2001,175213.05644291895
10/2001,180287.1044485141
11/2001,193985.3000507357
12/2001,197035.3254471342
01/2002,194906.175754965
02/2002,192846.80479360538
03/2002,199624.7918353432
04/2002,186726.5669547938
05/2002,179455.13007450962
06/2002,158571.2069798433
07/2002,148014.40409249326
08/2002,147488.56854458398
09/2002,130866.04078239892
10/2002,140429.99257600468
11/2002,147017.52927201186
12/2002,132380.79035710142
01/2003,124420.50463846554
02/2003,122607.70602898495
03/2003,120915.10697975912
04/2003,128819.42023924865
05/2003,128173.9242371961
06/2003,134861.44766541346
07/2003,138886.85470495114
08/2003,146923.84410014976
09/2003,138586.8206594789
10/2003,147152.8281149319
11/2003,144719.4224151069
12/2003,146019.30299865373
01/2004,151285.09430447654
02/2004,153372.04118518837
03/2004,154746.68841328303
04/2004,155065.88818921987
05/2004,153232.96554749116
06/2004,156906.32864210915
07/2004,153219.6870859644
08/2004,152952.68867801962
09/2004,152078.06661997482
10/2004,151762.02587233932
11/2004,153004.82651756002
12/2004,155018.24631564785
01/2005,158314.35268513387
02/2005,160567.95910861786
03/2005,160982.9020301273
04/2005,157533.44894800673
05/2005,168445.64774551246
06/2005,173233.2552171445
07/2005,179240.8795313652
08/2005,179007.09180184742
09/2005,186005.9354657182
10/2005,181749.0397491448
11/2005,191827.76426283075
12/2005,195580.2768022978
01/2006,198868.81416137138
02/2006,202603.0323372891
03/2006,203106.88770992454
04/2006,202011.6925667154
05/2006,190058.71716834596
06/2006,192287.87983205979
07/2006,192637.48296083024
08/2006,196313.84266553837
09/2006,201618.98651689864
10/2006,208392.67174145507
11/2006,205309.42927827567
12/2006,209926.54613953803
01/2007,215911.50697328334
02/2007,210573.62929121192
03/2007,212670.38610362934
04/2007,217332.16956244493
05/2007,225907.5037091394
06/2007,223264.22464326685
07/2007,215065.17203427618
08/2007,214897.5130460471
09/2007,217555.65910743398
10/2007,220032.62390981967
11/2007,206512.64358853575
12/2007,204367.87586495886
01/2008,186824.78729703074
02/2008,182075.11109674544
03/2008,172943.57628101288
04/2008,185190.5053336661
05/2008,188371.49715125453
06/2008,170500.98139976047
07/2008,167936.69005824512
08/2008,175392.99345238516
09/2008,159170.64121672875
10/2008,144597.49408282034
11/2008,135532.5711432871
12/2008,127897.55260454137
01/2009,126696.57077184615
02/2009,115253.98001382648
03/2009,117741.70974171167
04/2009,131255.7989790497
05/2009,134769.89722043494
06/2009,133797.71492795672
07/2009,145066.61481152818
08/2009,149608.9216041835
09/2009,151605.53023468342
10/2009,147303.3967319184
11/2009,151022.1673452098
12/2009,160293.25331168034
01/2010,158482.78139836446
02/2010,165380.50606125593
03/2010,176780.70616880004
04/2010,178953.74775830426
05/2010,175035.42769601656
06/2010,169500.85364159913
07/2010,172567.1131839146
08/2010,170654.78839656847
09/2010,173306.66404168474
10/2010,177026.52970633542
11/2010,184621.6960366827
12/2010,192766.15327250393
01/2011,192338.0109686946
02/2011,196996.87006181394
03/2011,189900.2220574791
04/2011,189236.62252055857
05/2011,191398.3698803937
06/2011,187452.33616261382
07/2011,186513.21108969516
08/2011,171061.30702070481
09/2011,167218.91625098823
10/2011,177924.62885912595
11/2011,181092.7499303245
12/2011,187662.25258754517
01/2012,193503.53152409455
02/2012,198892.63733782558
03/2012,202728.7671688203
04/2012,202546.6250518166
05/2012,197128.97333192753
06/2012,204063.7339088236
07/2012,211801.72406152354
08/2012,211504.77032150788
09/2012,211918.8373715092
10/2012,209430.86138484476
11/2012,212192.0327262013
12/2012,212739.14433177223
01/2013,217666.47803819852
02/2013,224980.92285124288
03/2013,236039.18507919708
04/2013,238459.9162221183
05/2013,239720.77954638092
06/2013,232451.19777454596
07/2013,241055.7475957535
08/2013,236597.7549269916
09/2013,243424.42566435115
10/2013,250390.41119002114
11/2013,255360.20093104825
12/2013,257317.49272485496
01/2014,252785.52089622457
02/2014,259690.7387741749
03/2014,260494.83500143557
04/2014,261942.61191219263
05/2014,271822.57639975386
06/2014,275606.76060924196
07/2014,276818.0256171205
08/2014,286969.0707997073
09/2014,292555.805402297
10/2014,295786.7216552992
11/2014,302656.18953116576
12/2014,306113.4411483631
01/2015,322742.5299482293
02/2015,343573.5295610747
03/2015,353257.7699638523
04/2015,346783.41904891917
05/2015,355691.83926475066
06/2015,340561.8960254078
07/2015,353635.8087787203
08/2015,322872.63482445205
09/2015,311242.90745915304
10/2015,341526.377101587
11/2015,353839.9000843966
12/2015,337726.96778300445
01/2016,316506.8456465635
02/2016,315021.8124809101
03/2016,321661.21204605664
04/2016,326181.6653342144
05/2016,335281.8081338815
06/2016,333021.8097814075
07/2016,346692.38454305247
08/2016,346330.5109123049
09/2016,347207.82225289417
10/2016,347118.2787828798
11/2016,362348.44113846665
12/2016,374267.028993924
01/2017,375610.83106191107
02/2017,391724.6843366341
03/2017,392351.1223864022
04/2017,389388.841884817
05/2017,387249.4187000757
06/2017,382168.5715841056
07/2017,380739.96085383836
08/2017,378052.79740836826
09/2017,387096.9772734355
10/2017,400041.5370261079
11/2017,401364.72529479174
12/2017,401841.3600433408
01/2018,407233.4934392791
02/2018,398061.35321551014
03/2018,385937.13767858676
04/2018,398128.6536064233
05/2018,413569.98874655785
06/2018,414757.5413183672
07/2018,424800.09143715707
08/2018,433122.77752155013
09/2018,438284.0698443902
10/2018,415286.10109097074
11/2018,418418.4752545275
12/2018,383460.4572521624
01/2019,411864.93144338974
02/2019,426856.7228952948
03/2019,439359.256014405
04/2019,455554.8291318999
05/2019,431772.2052556432
06/2019,450890.7204879037
07/2019,462354.46798507863
08/2019,457539.54035555664
09/2019,473508.37706074584
10/2019,473942.988698717
11/2019,494693.05654426676
12/2019,498001.3727880817
01/2020,503038.16448276315
02/2020,463581.36737458257
03/2020,402923.47394801356
04/2020,450160.9091544317
05/2020,460814.40974043007
06/2020,470307.7376342998
07/2020,465693.3128451567
08/2020,492902.66357048636
09/2020,485245.960034543
10/2020,470682.2372019283
11/2020,518289.82725573436
12/2020,527365.1680767786
01/2021,527844.0688179566
02/2021,541951.6948658407
03/2021,578806.0990005914
04/2021,587748.7784834394
05/2021,590302.546653405
06/2021,614983.2278729246
07/2021,625528.3488294905
08/2021,644080.3820466656
09/2021,630825.8548740208
10/2021,662673.2250062659
11/2021,664127.0856690584
12/2021,694663.5749413728
01/2022,667818.056461509
02/2022,648317.4640772757
03/2022,671881.9070761427
04/2022,648745.0307579589
05/2022,638644.0033175414
06/2022,601524.7923206998
07/2022,661216.5783191102
08/2022,646007.065711731
09/2022,600994.4726835787
10/2022,633267.7328421486
11/2022,647036.2830961036
12/2022,602605.2486848048
01/2023,635195.8256780267
02/2023,632313.9069420103
03/2023,636402.0850920449
04/2023,641200.9135883804
05/2023,652400.2801756433
06/2023,680095.3560096616
07/2023,692816.358352697
08/2023,685797.4336337505
09/2023,673071.0225573876
10/2023,651890.53181248
11/2023,692546.8787270836
12/2023,718607.1685942367
01/2024,741404.646974347
02/2024,773500.148472138
03/2024,799335.2390182319
04/2024,776189.1118148293
