Data,IE00B0M62Q58
06/2002,147866.14142857853
07/2002,137985.05666706103
08/2002,137460.3550859139
09/2002,121933.6803818063
10/2002,130814.35400609336
11/2002,136918.11985387135
12/2002,123252.62619544017
01/2003,115810.41960755353
02/2003,114094.11676855662
03/2003,112490.52426679053
04/2003,119815.99346339978
05/2003,119185.65836862051
06/2003,125374.41917922995
07/2003,129085.30938757144
08/2003,136522.83975476073
09/2003,128741.87855455425
10/2003,136667.18778953137
11/2003,134373.01200732446
12/2003,135546.36711236686
01/2004,140400.5937139708
02/2004,142302.2909906194
03/2004,143542.1463787571
04/2004,143802.3487354246
05/2004,142066.61372750928
06/2004,145436.77583242682
07/2004,141983.26153570355
08/2004,141700.34774482428
09/2004,140854.6443238397
10/2004,140526.71384902336
11/2004,141642.37526019223
12/2004,143470.86379353525
01/2005,146485.57392390454
02/2005,148534.17616772203
03/2005,148880.88760337082
04/2005,145653.5296082288
05/2005,155706.4038105095
06/2005,160093.00646627232
07/2005,165604.91166498646
08/2005,165347.50839336024
09/2005,171770.95092699444
10/2005,167796.8915643976
11/2005,177059.9634115744
12/2005,180479.3249478448
01/2006,183468.83116548762
02/2006,186868.0121264685
03/2006,187286.0189274068
04/2006,186229.31173818154
05/2006,175163.61807522216
06/2006,177174.2880408588
07/2006,177452.11921998142
08/2006,180794.31321214524
09/2006,185634.86199671365
10/2006,191825.12842571686
11/2006,188939.05227824018
12/2006,193140.787896567
01/2007,198598.90516377342
02/2007,193639.38899072245
03/2007,195519.11567882955
04/2007,199756.0595919291
05/2007,207587.9494028167
06/2007,205107.12521307284
07/2007,197523.58878386658
08/2007,197320.22384204992
09/2007,199711.61991829614
10/2007,201935.49475048535
11/2007,189477.01488655654
12/2007,187461.80396064132
01/2008,171323.07957112513
02/2008,166924.67497523458
03/2008,158511.24230396483
04/2008,169696.5236822114
05/2008,172568.9533788871
06/2008,156154.45854095026
07/2008,153766.8966351984
08/2008,160555.62670351545
09/2008,145665.46512185698
10/2008,132292.39169795
11/2008,123965.81155251339
12/2008,116951.3971379708
01/2009,115823.96389392909
02/2009,105334.37577427307
03/2009,107581.65961159261
04/2009,119902.70913040366
05/2009,123082.87656732915
06/2009,122164.22958224108
07/2009,132422.77659527457
08/2009,136536.07549195786
09/2009,138324.08619399308
10/2009,134364.26125467094
11/2009,137722.78386301443
12/2009,146143.0045018889
01/2010,144455.8203328678
02/2010,150706.92866033423
03/2010,161057.95604596168
04/2010,162997.4643748856
05/2010,159387.76916237833
06/2010,154308.12300109997
07/2010,157060.96999237474
08/2010,155281.21329412088
09/2010,157655.37226637366
10/2010,160999.88372926266
11/2010,167867.19104999065
12/2010,175230.5681969205
01/2011,174797.56557488127
02/2011,178987.85624989306
03/2011,172495.22098964904
04/2011,171849.31880147225
05/2011,173769.47971007737
06/2011,170143.45601259972
07/2011,169248.51153739713
08/2011,155184.60947056956
09/2011,151660.04601397098
10/2011,161331.73146612267
11/2011,164164.06692766625
12/2011,170078.4066443784
01/2012,175329.84147732172
02/2012,180168.97451419098
03/2012,183598.93057620444
04/2012,183388.07597128558
05/2012,178437.02391647047
06/2012,184669.61490152858
07/2012,191626.0227924873
08/2012,191309.449615615
09/2012,191636.15252654394
10/2012,189338.39089589848
11/2012,191787.32516372454
12/2012,192233.8788565597
01/2013,196638.2236988087
02/2013,203196.87738240176
03/2013,213133.61099703677
04/2013,215266.14758672085
05/2013,216350.5566885289
06/2013,209735.5940755417
07/2013,217446.85589372079
08/2013,213371.11531163112
09/2013,219474.27367773233
10/2013,225700.0181148627
11/2013,230123.32390052642
12/2013,231829.64856383653
01/2014,227688.62075796985
02/2014,233851.35679004353
03/2014,234516.98212827687
04/2014,235761.75021077192
