Data,IE00B60SWY32
11/2015,391819.54823100637
12/2015,370874.5659487768
01/2016,345322.4840437325
02/2016,340078.195537864
03/2016,345593.7766107282
04/2016,353422.82804351463
05/2016,359132.8619826891
06/2016,344708.19639197795
07/2016,358730.1353451229
08/2016,359117.7511879915
09/2016,361248.14153546654
10/2016,356289.84833192575
11/2016,358676.2343621116
12/2016,380783.274821235
01/2017,380898.3289294813
02/2017,391134.88216678915
03/2017,403202.8214617706
04/2017,408247.6367534044
05/2017,416878.9272965653
06/2017,405358.79914125
07/2017,406182.5016786693
08/2017,402986.2474518749
09/2017,416889.7991975823
10/2017,424830.3649223479
11/2017,418115.8456162847
12/2017,419257.7576702279
01/2018,425390.2071248765
02/2018,408284.7513209589
03/2018,399804.3066501226
04/2018,419035.6927614751
05/2018,418375.84392313944
06/2018,416967.2609386645
07/2018,427917.30568821065
08/2018,418932.2938036893
09/2018,423081.9857625297
10/2018,399635.1487302215
11/2018,394419.8090609807
12/2018,373150.49885818403
01/2019,396359.1988438627
02/2019,412192.7620880401
03/2019,421323.15867058444
04/2019,436982.02267844486
05/2019,415453.140015264
06/2019,434373.2467928342
07/2019,434637.4595229796
08/2019,428051.80503259244
09/2019,445569.4766999404
10/2019,448875.3909162901
11/2019,462646.3293391074
12/2019,469861.60068160505
01/2020,465515.4480056142
02/2020,425143.5376121184
03/2020,364372.6641128363
04/2020,388765.3803822113
05/2020,396918.17425198754
06/2020,410708.88220445364
07/2020,403028.1277207015
08/2020,416313.2167046719
09/2020,410349.9862260733
10/2020,387473.72624806693
11/2020,442661.93199222867
12/2020,452437.61766937864
01/2021,450773.8252554778
02/2021,462294.33791448537
03/2021,492598.5121183032
04/2021,499688.9561912926
05/2021,515361.1325315109
06/2021,521828.4423302954
07/2021,531079.729677595
08/2021,541618.2234268077
09/2021,527011.1495307882
10/2021,547545.066960053
11/2021,532106.0015878356
12/2021,569015.8384093493
01/2022,551162.9919824235
02/2022,533454.0252798492
03/2022,537520.8366000785
04/2022,533486.5546966594
05/2022,528713.3196288756
06/2022,490979.1210651449
07/2022,524752.2046470989
08/2022,501720.97751618875
09/2022,469852.3579224109
10/2022,495021.86004112463
11/2022,526587.2189549566
12/2022,512250.338144086
01/2023,548023.5069147884
02/2023,555513.7242837683
03/2023,555207.016273701
04/2023,572596.7733571343
05/2023,553948.4208680028
06/2023,570614.2749980573
07/2023,579645.1361097314
08/2023,564497.6522035636
09/2023,555997.3293455319
10/2023,533886.9522717645
11/2023,569751.0903292134
12/2023,591680.6431852708
01/2024,602510.5609264856
02/2024,612416.3245685913
03/2024,636093.2014283809
04/2024,629361.2429320699
