Data,IE00B43VDT70
04/2022,42957.75867549191
05/2022,39230.58495839894
06/2022,37930.69096263959
07/2022,37958.98929607089
08/2022,34608.212013441065
09/2022,37618.44679461042
10/2022,37258.32190451471
11/2022,40036.01486636679
12/2022,43242.884099872834
01/2023,40873.02271186175
02/2023,37204.59622840763
03/2023,42263.82492569458
04/2023,43384.21868545445
05/2023,41861.250639310725
06/2023,39753.36085466086
07/2023,42461.63204800445
08/2023,43371.71813262791
09/2023,41831.709990122334
10/2023,41945.70533554433
11/2023,43931.476908148456
12/2023,41307.64837955658
01/2024,40866.78962619701
02/2024,39566.26432498854
03/2024,43510.117892705406
04/2024,47656.007527413465
