Data,DE000A0D8Q49
10/2002,52050.56083516723
11/2002,54783.79621758925
12/2002,51422.891991186974
01/2003,48469.21172029808
02/2003,47581.330531264124
03/2003,46111.029956470695
04/2003,48135.662504755244
05/2003,49437.82653078357
06/2003,51556.23674191889
07/2003,53277.486152997575
08/2003,56072.820161420495
09/2003,51739.87188802194
10/2003,55639.15693435867
11/2003,55203.94348742892
12/2003,55402.39006302233
01/2004,57403.51685946586
02/2004,59174.96815252849
03/2004,59301.79230825313
04/2004,58913.83066815993
05/2004,58862.19056603652
06/2004,60535.511748270575
07/2004,60537.248417506446
08/2004,62083.31476868697
09/2004,61663.71597925025
10/2004,61056.938501246375
11/2004,61206.77517696886
12/2004,60502.651121928044
01/2005,61502.827695938206
02/2005,61857.17229364262
03/2005,62557.890740571354
04/2005,62201.69765891209
05/2005,67217.06727479826
06/2005,69558.45754984548
07/2005,71965.4278997866
08/2005,70484.38624432465
09/2005,71171.78319488865
10/2005,70337.069684598
11/2005,72711.8807138027
12/2005,72280.84791313816
01/2006,71632.29624509608
02/2006,73998.87016329715
03/2006,72522.33088322973
04/2006,71742.09924204621
05/2006,69056.16192522093
06/2006,70323.48114972335
07/2006,72169.41525793019
08/2006,72555.49576389416
09/2006,74619.66772046307
10/2006,76894.86846009981
11/2006,75328.21243880202
12/2006,77161.43420010466
01/2007,79219.3111375239
02/2007,77551.99020494502
03/2007,77992.71486890237
04/2007,78579.70620397647
05/2007,81181.99228813099
06/2007,78275.47032109568
07/2007,72581.7224262812
08/2007,74236.16045472331
09/2007,72274.29090977508
10/2007,70886.6433040595
11/2007,67227.54731758004
12/2007,65262.47109256869
01/2008,64879.60470010731
02/2008,57953.143211653194
03/2008,55479.652280625014
04/2008,57772.81025452512
05/2008,57119.75674499926
06/2008,47821.19781400052
07/2008,50429.68611660048
08/2008,55686.590113915474
09/2008,58603.5239555475
10/2008,57617.208864334745
11/2008,52827.59664699837
12/2008,47499.89975634811
01/2009,43315.97559509839
02/2009,37268.204296121534
03/2009,38173.51448865693
04/2009,42467.72418310679
05/2009,41006.44741847978
06/2009,40841.14870747925
07/2009,44792.20818031549
08/2009,45834.399302239624
09/2009,46577.2633654445
10/2009,45373.192762530176
11/2009,47106.9708512176
12/2009,50837.19701118751
01/2010,50960.4632501391
02/2010,54176.710064513594
03/2010,57517.38887658636
04/2010,60099.79348267696
05/2010,60533.26334639929
06/2010,58822.621974586
07/2010,59461.346245318986
08/2010,59185.11914769213
09/2010,58938.4091396261
10/2010,59580.55875540266
11/2010,63108.78918514963
12/2010,64652.006227694685
01/2011,63253.29560160414
02/2011,64400.193267914256
03/2011,64211.69645760054
04/2011,63190.464035260666
05/2011,65857.66262744668
06/2011,64684.01657468136
07/2011,63564.30331917885
08/2011,62383.40766626266
09/2011,63678.819953336904
10/2011,66395.12532961281
11/2011,70318.01343333954
12/2011,74826.42748519177
01/2012,73463.72295053295
02/2012,74230.37110700797
03/2012,76097.04547854998
04/2012,77931.47623399297
05/2012,80378.63384056174
06/2012,81804.23258959297
07/2012,85542.27867038021
08/2012,83085.1307753539
09/2012,82487.79853662426
10/2012,82411.0098166031
11/2012,82238.22185474979
12/2012,81083.70169506756
01/2013,82834.79499723314
02/2013,86840.3616929449
03/2013,93316.66557443033
04/2013,94361.17213770522
05/2013,93577.73109525275
06/2013,92979.85756539028
07/2013,96674.5283542302
08/2013,92914.00115853394
09/2013,94049.70793486155
10/2013,98025.47015413291
11/2013,99301.63817903172
12/2013,99813.00929050277
01/2014,99296.56791201666
02/2014,100550.53368349315
03/2014,103494.91043236358
04/2014,105182.08577476339
05/2014,107790.86057538344
06/2014,110556.73311409405
07/2014,108061.34271607296
08/2014,114099.46164397323
09/2014,116071.6943966136
10/2014,123459.6845678334
11/2014,125004.32737663496
12/2014,130395.66781426514
01/2015,139407.51064286163
02/2015,141033.54264676428
03/2015,145629.8069927277
04/2015,140409.71449219345
05/2015,143642.55628306518
06/2015,136222.4888140777
07/2015,141135.87285196676
08/2015,132876.27958057792
09/2015,132875.66043888978
10/2015,142763.3956113998
11/2015,148830.6780379296
12/2015,142590.56311638854
01/2016,140976.18510535985
02/2016,145447.57897255715
03/2016,149368.0991981456
04/2016,149847.16819247912
05/2016,154758.07576723443
06/2016,161325.52733309637
07/2016,164407.85469826864
08/2016,162454.56985986308
09/2016,162542.87915469744
10/2016,162566.81207108416
11/2016,173626.35722973282
12/2016,179098.5477093605
01/2017,178154.2229944889
02/2017,185910.75191666099
03/2017,183371.11290629214
04/2017,180165.20964602128
05/2017,176843.1281072546
06/2017,175225.16420198532
07/2017,171630.73594226863
08/2017,168997.7217879597
09/2017,173418.7616400769
10/2017,178071.43486015228
11/2017,181959.67692598508
12/2017,181151.48040865472
01/2018,178036.61424977268
02/2018,173933.09073725186
03/2018,171710.30207034622
04/2018,177303.144856274
05/2018,185543.0750576199
06/2018,187976.89943682315
07/2018,190994.36206665155
08/2018,194369.19405307644
09/2018,194989.3133304309
10/2018,191665.05735915605
11/2018,195009.30101423696
12/2018,177909.6223483939
01/2019,189403.93927255765
02/2019,196099.81757783832
03/2019,201251.1474373012
04/2019,207525.03322564918
05/2019,193311.13972072455
06/2019,203108.2288610744
07/2019,208913.23900143532
08/2019,206398.05743230722
09/2019,219701.34485195027
10/2019,214582.55241686295
11/2019,221453.31601429684
12/2019,222551.97545816575
01/2020,222219.30869364238
02/2020,198506.40841481998
03/2020,161086.17281349088
04/2020,177774.62061024108
05/2020,177635.89637587575
06/2020,174585.4359846832
07/2020,169639.89872882838
08/2020,171670.88065472
09/2020,170723.33595178046
10/2020,173651.5376688021
11/2020,191766.5983746166
12/2020,193834.6802173925
01/2021,197258.03804561743
02/2021,214565.97335372976
03/2021,242658.39397990442
04/2021,244662.76289741395
05/2021,247554.16439489846
06/2021,247189.502272611
07/2021,244834.53501449138
08/2021,253018.84439351253
09/2021,251541.71994964007
10/2021,257378.67137891354
11/2021,257371.87502507048
12/2021,276889.5645571637
01/2022,284664.89946139825
02/2022,283023.7675953994
03/2022,297155.63852510264
04/2022,301988.1672043012
05/2022,312790.88016160746
06/2022,293729.4708191272
07/2022,311005.0734375108
08/2022,311788.85584569495
09/2022,288643.7473852205
10/2022,313064.6844797952
11/2022,318043.954828044
12/2022,299886.0941408624
01/2023,307416.44659523596
02/2023,302267.83376425
03/2023,288538.3037477089
04/2023,286541.6413410863
05/2023,271761.8784114399
06/2023,281221.94361752237
07/2023,288699.2887634562
08/2023,281542.441072145
09/2023,277594.18587458826
10/2023,269418.389698492
11/2023,280010.316472186
12/2023,292991.8679047797
01/2024,293439.36968131224
02/2024,297434.5176396813
03/2024,317495.0598751592
04/2024,310264.14384815935
