Data,IE00B44T3H88
08/2004,2736.6325958278185
09/2004,2867.5206046675326
10/2004,2724.1532383066165
11/2004,2871.152873944734
12/2004,2750.9928880307825
01/2005,2810.7404390041215
02/2005,2966.973595938523
03/2005,2876.2192904750827
04/2005,2888.1219421402407
05/2005,3062.802399365112
06/2005,3252.1602865305285
07/2005,3486.17342095469
08/2005,3473.4010531974604
09/2005,3723.56409972223
10/2005,3362.2700585304783
11/2005,3674.9778988926646
12/2005,3782.0305101192903
01/2006,4198.102666831187
02/2006,4416.82886546984
03/2006,4469.494102739362
04/2006,4539.003294471075
05/2006,4191.988955904886
06/2006,4328.828703463933
07/2006,4422.731771327467
08/2006,4487.453101459985
09/2006,4722.383452533163
10/2006,5031.544473103105
11/2006,5365.876443142778
12/2006,6159.629076380954
01/2007,5993.814792180397
02/2007,5770.933258950715
03/2007,5942.343777200443
04/2007,6032.922346269079
05/2007,6557.725270186281
06/2007,7282.669025482105
07/2007,7914.3164832332195
08/2007,8481.793914724973
09/2007,9828.67570420085
10/2007,11242.185856397942
11/2007,9510.34676222934
12/2007,9107.37556334656
01/2008,7067.666980943874
02/2008,7672.6687228732
03/2008,6459.663178539839
04/2008,7595.463808541034
05/2008,7230.079855847796
06/2008,6245.627620388805
07/2008,6449.0433723091355
08/2008,6270.117177079547
09/2008,5139.363630205151
10/2008,4449.133695151807
11/2008,4660.347512341733
12/2008,4706.990268882841
01/2009,4684.585405596492
02/2009,4595.334522430497
03/2009,4980.611285391314
04/2009,5545.006939910145
05/2009,6126.39275044518
06/2009,6360.08593731566
07/2009,7043.974294715428
08/2009,6483.8028720787415
09/2009,6611.7657787478465
10/2009,6959.855176932762
11/2009,7021.475892894875
12/2009,7352.495624365185
01/2010,6925.519800860836
02/2010,7280.473453489976
03/2010,7722.990992465022
04/2010,7788.215025489362
05/2010,7970.617466661338
06/2010,8091.573440788537
07/2010,7950.328424210182
08/2010,7939.753208227885
09/2010,8043.7821288782725
10/2010,8226.8446896492
11/2010,8557.790604912747
12/2010,8260.885372503548
01/2011,8015.748120678066
02/2011,7786.4169840069835
03/2011,7981.544796382921
04/2011,7750.754754514051
05/2011,8031.916984625069
06/2011,7697.059731132844
07/2011,7733.218214393879
08/2011,6916.527205277005
09/2011,6153.5467857063595
10/2011,6831.433452759609
11/2011,6526.016043656806
12/2011,6932.283808560685
01/2012,7541.092142074981
02/2012,7869.230537538851
03/2012,7371.068800714087
04/2012,7711.326949393266
05/2012,7349.992809489321
06/2012,7397.260770981738
07/2012,7686.610777831294
08/2012,7248.801987719416
09/2012,7531.983716023723
10/2012,7919.953532011301
11/2012,8068.433561939969
12/2012,8319.530088020038
01/2013,8430.857278055195
02/2013,8354.801407699506
03/2013,8170.802523963933
04/2013,8090.788784622155
05/2013,8058.804086431613
06/2013,7464.453606838455
07/2013,7650.174434809461
08/2013,7855.6432845508825
09/2013,8103.135517499384
10/2013,8219.799134055673
11/2013,8634.215111909716
12/2013,8224.932124160388
01/2014,7825.992835492176
02/2014,7854.8468713629045
03/2014,7732.408311202841
04/2014,7518.459944631488
05/2014,8009.665227942334
06/2014,8238.768986766958
07/2014,9092.819600098153
08/2014,9240.719326101396
09/2014,9065.891332716903
10/2014,9496.657815050234
11/2014,9672.375448528353
12/2014,10055.187562971447
01/2015,11038.152555230687
02/2015,11456.176933315202
03/2015,12250.68997712937
04/2015,13706.406774944522
05/2015,13488.642505945392
06/2015,12493.276849836453
07/2015,11369.549834645366
08/2015,9813.454459379893
09/2015,9632.750872856252
10/2015,10679.976358687376
11/2015,10741.760598089542
12/2015,10296.493237580095
01/2016,8954.605371740292
02/2016,8749.446084949039
03/2016,9358.997899722035
04/2016,9321.06018395356
05/2016,9454.03723224363
06/2016,9610.490226160464
07/2016,9932.531574528142
08/2016,10641.443217691252
09/2016,10878.85881636852
10/2016,10872.371524573455
11/2016,11051.048151926116
12/2016,10687.88417555078
01/2017,11180.859839396122
02/2017,11743.493973808061
03/2017,11882.99297093549
04/2017,11927.185883163314
05/2017,12226.14203627111
06/2017,12300.292420850996
07/2017,13034.453654629251
08/2017,13468.628075868739
09/2017,13625.396795297816
10/2017,14364.657621425502
11/2017,14321.624487863308
12/2017,14413.422590862747
01/2018,15602.287989238206
02/2018,14885.838823850252
03/2018,14263.398587676515
04/2018,14538.951235165647
05/2018,15283.868096240289
06/2018,14533.961309063066
07/2018,14079.612892184898
08/2018,13638.262250814254
09/2018,13529.684663204158
10/2018,12244.379702156702
11/2018,13088.238468302827
12/2018,12191.87812793432
01/2019,13489.343426990934
02/2019,14036.199439544838
03/2019,14602.83175449154
04/2019,14943.786927901316
05/2019,13063.753325341158
06/2019,13830.290235024368
07/2019,14036.451094780505
08/2019,13583.195938713876
09/2019,13758.130458951566
10/2019,13966.587715339469
11/2019,14431.323007623883
12/2019,15275.964082612387
01/2020,14774.10301366774
02/2020,15012.26063173939
03/2020,14041.841198178337
04/2020,15031.506964357992
05/2020,14603.857529053932
06/2020,15826.99449543248
07/2020,16371.800789950119
08/2020,17160.553376300144
09/2020,17014.932533947132
10/2020,17921.950597572228
11/2020,17976.57400237362
12/2020,18027.005622877277
01/2021,19560.654531646716
02/2021,19372.384978188915
03/2021,18758.40517508049
04/2021,18448.441774471925
05/2021,18402.189509692074
06/2021,18908.517979086577
07/2021,16278.010889392144
08/2021,16349.245422565866
09/2021,15863.25810109714
10/2021,16263.315735288086
11/2021,15663.779826983515
12/2021,15211.777961185442
01/2022,14980.478852624585
02/2022,14333.501082771638
03/2022,13296.75994532279
04/2022,13426.113952102607
05/2022,13359.985522045867
06/2022,14686.377040901507
07/2022,13538.788192935317
08/2022,13831.461552344792
09/2022,12118.446042143736
10/2022,9906.563958010665
11/2022,12273.213064237312
12/2022,12554.864020011815
01/2023,13811.267184982084
02/2023,12620.935252784542
03/2023,12874.167404998956
04/2023,12086.14482381271
05/2023,11371.459766800428
06/2023,11623.745974840118
07/2023,12696.718247109799
08/2023,11718.468394265845
09/2023,11686.240061958515
10/2023,11156.098803679342
11/2023,11105.564134958662
12/2023,10715.788331627924
01/2024,9761.691640201807
02/2024,10586.969191711058
03/2024,10696.725047496493
04/2024,11496.379597942423
