Data,IE00B14X4S71
10/2017,15227.619318602874
11/2017,14923.767976353432
12/2017,14745.629260643156
01/2018,14150.49378047238
02/2018,14424.649390859997
03/2018,14327.369728754791
04/2018,14588.132428606466
05/2018,15117.353835930213
06/2018,15171.464588505003
07/2018,15067.516221194044
08/2018,15226.198804772233
09/2018,15304.333709161918
10/2018,15675.652423475449
11/2018,15673.9758857446
12/2018,15674.593888198735
01/2019,15664.078236923946
02/2019,15776.886168525047
03/2019,16130.29581137186
04/2019,16186.42021467493
05/2019,16402.245364417675
06/2019,16155.531752409684
07/2019,16466.095161032255
08/2019,16774.20692250329
09/2019,16979.78872577862
10/2019,16629.991672756933
11/2019,16883.479126837028
12/2019,16538.808346732887
01/2020,16903.469626653085
02/2020,17169.63793614983
03/2020,17439.86764452851
04/2020,17575.305300361917
05/2020,17176.25473449534
06/2020,17084.541955376742
07/2020,16163.043448459715
08/2020,16033.445495895252
09/2020,16354.567008940057
10/2020,16360.488710301614
11/2020,15981.66370853053
12/2020,15609.487118159494
01/2021,15783.03193382974
02/2021,15788.563684229732
03/2021,16324.179837988422
04/2021,15848.519699279948
05/2021,15704.29676072236
06/2021,16096.053826865456
07/2021,16114.197076168884
08/2021,16189.69607315927
09/2021,16527.99794698748
10/2021,16378.336275639282
11/2021,16780.01788009605
12/2021,16796.965826929176
01/2022,16933.196255634553
02/2022,16797.400722282913
03/2022,16706.21838101448
04/2022,17511.383107206526
05/2022,17330.413603951696
06/2022,17759.224278884707
07/2022,18162.915932092903
08/2022,18374.61593652352
09/2022,18628.642220740796
10/2022,18296.508117517176
11/2022,17595.464712475452
12/2022,17147.674659870747
01/2023,17003.40869701336
02/2023,17211.081823711505
03/2023,17080.350752227398
04/2023,16958.193313256532
05/2023,17368.547842546468
06/2023,16986.83432282154
07/2023,16802.587888361908
08/2023,17107.487775267204
09/2023,17542.879864350085
10/2023,17559.66393226342
11/2023,17234.46454213642
12/2023,17239.988602801288
01/2024,17647.784367373893
02/2024,17587.120018495407
03/2024,17663.561873873266
04/2024,17757.40878590241
