Data,IE00B5L01S80
08/2003,22515.641692595236
09/2003,22209.831277168723
10/2003,22908.581703540243
11/2003,23010.83015060206
12/2003,22911.70731578454
01/2004,24321.635753826144
02/2004,25165.131581944264
03/2004,26664.946341798215
04/2004,24341.011010364102
05/2004,25142.01972664711
06/2004,25795.625455092657
07/2004,26269.284518664026
08/2004,27466.389178076945
09/2004,27156.78159887258
10/2004,27678.058149439225
11/2004,28341.258432714098
12/2004,29219.886073883394
01/2005,29066.746330654958
02/2005,29145.998279230378
03/2005,29024.707972348224
04/2005,30163.3479242917
05/2005,32126.0055590972
06/2005,34021.730746259804
07/2005,35575.312129556376
08/2005,34774.97601506959
09/2005,36202.17008367869
10/2005,35341.266448607596
11/2005,37177.50903192823
12/2005,38688.713691127705
01/2006,40059.21426556563
02/2006,41708.321539333585
03/2006,42942.68840235043
04/2006,41043.555414861
05/2006,38872.03450663937
06/2006,40450.43148805781
07/2006,41971.42901262867
08/2006,43408.381943316155
09/2006,44836.93584401715
10/2006,47009.216962631996
11/2006,47532.21272388131
12/2006,49071.40419686349
01/2007,52175.36524010954
02/2007,51676.58416948269
03/2007,51584.458773828796
04/2007,50677.757478022766
05/2007,51800.02885886492
06/2007,47819.10729451632
07/2007,44824.20102056772
08/2007,46305.207063138965
09/2007,47023.95324904181
10/2007,47401.73827166597
11/2007,43100.54259955996
12/2007,41010.57036202592
01/2008,38759.28608460163
02/2008,37101.489877349566
03/2008,35671.52434752181
04/2008,38563.76477725317
05/2008,37674.63705796479
06/2008,32770.218724685525
07/2008,33351.25459521252
08/2008,34601.74500842914
09/2008,32898.35016924129
10/2008,26275.095111822808
11/2008,22439.594726720512
12/2008,22454.438545105837
01/2009,21217.500050364208
02/2009,17870.519884889298
03/2009,18295.63058640134
04/2009,22113.5182657433
05/2009,23309.42777261603
06/2009,23514.337725922214
07/2009,25584.11083934749
08/2009,27201.093553346604
09/2009,28197.22961304531
10/2009,27618.894920612696
11/2009,27641.513539323965
12/2009,29960.5606498283
01/2010,29145.542751514226
02/2010,30575.942976803843
03/2010,32996.337935627365
04/2010,34416.865385758676
05/2010,34156.749146053735
06/2010,33543.25314653307
07/2010,34556.5241142009
08/2010,35218.8811213615
09/2010,35610.82316910331
10/2010,36430.94163943638
11/2010,37269.09304092009
12/2010,38430.9182795106
01/2011,38092.790297020314
02/2011,38896.85933364298
03/2011,37397.95545854306
04/2011,37555.81120217925
05/2011,38943.515602871696
06/2011,37645.19861857264
07/2011,38246.79461414977
