Data,IE00B9MRHC27
01/2004,390699.25952017604
02/2004,413425.88973249437
03/2004,407874.3704706478
04/2004,383895.1209432033
05/2004,379841.37600157526
06/2004,395803.720537135
07/2004,375461.835527597
08/2004,379003.94142356777
09/2004,402469.4507188705
10/2004,404292.79297361715
11/2004,429488.28177506744
12/2004,423694.145027127
01/2005,425513.10694569437
02/2005,449569.333135837
03/2005,447155.11280827585
04/2005,438123.36567239463
05/2005,475716.08516495227
06/2005,490696.24140374287
07/2005,509032.25201471784
08/2005,515095.1771794277
09/2005,541056.8111951879
10/2005,514597.5966432369
11/2005,532913.1217817167
12/2005,564092.7168238267
01/2006,579917.7872627444
02/2006,597144.3944523747
03/2006,639077.9449470033
04/2006,653070.460769644
05/2006,598652.3118560347
06/2006,597347.7017555628
07/2006,591413.1453347733
08/2006,607825.2929223686
09/2006,620066.907994471
10/2006,653700.4081716029
11/2006,660164.2581329453
12/2006,701598.1990268392
01/2007,731379.8474799048
02/2007,706297.9318100886
03/2007,739395.0628380341
04/2007,790068.6233045995
05/2007,812175.7813390929
06/2007,808770.4889500624
07/2007,802442.1473170314
08/2007,792932.9349470574
09/2007,836559.4453223061
10/2007,831392.3621796295
11/2007,770493.3110243852
12/2007,758712.0899155954
01/2008,660129.5194499263
02/2008,693673.520267966
03/2008,661505.0028485085
04/2008,693954.7374843026
05/2008,717796.8994276171
06/2008,624564.5813365191
07/2008,615560.7445028799
08/2008,620308.8197690425
09/2008,495034.1915892367
10/2008,415006.61916126293
11/2008,385534.07497350994
12/2008,371841.8264531852
01/2009,366054.6262824041
02/2009,336350.10996713024
03/2009,347606.52227882476
04/2009,426291.8220002054
05/2009,444901.0819110124
06/2009,433293.3937701368
07/2009,479447.0273866105
08/2009,504034.407153537
09/2009,506352.3136010945
10/2009,502625.406479356
11/2009,505800.0861476026
12/2009,526746.5210846355
01/2010,536168.259667826
02/2010,551067.7383211693
03/2010,600479.8172914021
04/2010,617081.3338162904
05/2010,575909.966175427
06/2010,576601.7092033688
07/2010,609851.3105823147
08/2010,593836.5449050573
09/2010,644510.0822987017
10/2010,647706.1669795903
11/2010,653505.6401005758
12/2010,708150.4745568616
01/2011,709510.8608548585
02/2011,705895.6074330383
03/2011,702652.4724980006
04/2011,720586.762850742
05/2011,708780.1892700387
06/2011,671124.5031532362
07/2011,647366.0149765838
08/2011,575868.0401909252
09/2011,535693.9817658686
10/2011,590867.2161368039
11/2011,591979.7873042733
12/2011,598572.2883939402
01/2012,619332.2395803856
02/2012,678099.3122338098
03/2012,669149.7005636825
04/2012,663042.8418107255
05/2012,604809.5376383746
06/2012,641870.9204264736
07/2012,691160.3110005041
08/2012,689384.6481477037
09/2012,694652.9072318602
10/2012,682415.0463300499
11/2012,701468.6486036568
12/2012,714491.0438911421
01/2013,753455.624749553
02/2013,771274.9908034224
03/2013,780680.5429911785
04/2013,786818.3127559171
05/2013,778569.5224730364
06/2013,726902.9071814602
07/2013,784086.5194475286
08/2013,774385.5798645513
09/2013,813065.0431489248
10/2013,823121.8940488757
11/2013,838131.1845559069
12/2013,852848.0116390156
01/2014,840092.3182293784
02/2014,898392.460586259
03/2014,892531.7641591077
04/2014,898525.8062660815
05/2014,924750.4197977798
06/2014,920606.6704959533
07/2014,913855.700616416
08/2014,925839.0521902558
09/2014,947147.8759006731
10/2014,925445.928992746
11/2014,932961.4707943796
12/2014,910623.3250874239
01/2015,995765.3504654149
02/2015,1069553.7304661365
03/2015,1099887.0852104845
04/2015,1090147.415690565
05/2015,1101836.8011036785
06/2015,1045904.317027983
07/2015,1092959.494953158
08/2015,997598.9901012758
09/2015,961701.7973638368
10/2015,1021295.3624861808
11/2015,1071617.4523164576
12/2015,1032776.1291090333
01/2016,966946.4504871245
02/2016,959346.5401898448
03/2016,975594.7939192152
04/2016,992681.8147431056
05/2016,1004899.0754853324
06/2016,972739.6353083142
07/2016,1007698.6957879909
08/2016,992539.315562573
09/2016,996581.4486984311
10/2016,962398.400608015
11/2016,966022.1236386709
12/2016,1019538.7449546234
01/2017,1043582.9944361389
02/2017,1059491.6532219625
03/2017,1078299.1708651606
04/2017,1109025.2521462322
05/2017,1131900.3184596617
06/2017,1117300.7080266222
07/2017,1121202.6923975365
08/2017,1133127.968490547
09/2017,1155560.3193863172
10/2017,1172100.4984246625
11/2017,1126570.1389076745
12/2017,1122143.5275710858
01/2018,1137542.1580828212
02/2018,1125246.179639731
03/2018,1091640.988495421
04/2018,1111014.4525037522
05/2018,1123031.4336608648
06/2018,1116671.3800667955
07/2018,1155809.4677251927
08/2018,1161565.9798744593
09/2018,1179901.5131119883
