Data,DE0002635299
11/2010,25561.90498579933
12/2010,26799.3460125864
01/2011,27384.417492238354
02/2011,28131.817924852563
03/2011,26796.677490048918
04/2011,27785.05275053045
05/2011,27779.318999742594
06/2011,26868.68680673309
07/2011,26779.766517083048
08/2011,24484.566512581026
09/2011,24008.846180470813
10/2011,24765.822424535436
11/2011,24730.68523713811
12/2011,24805.495372598387
01/2012,24974.12432094395
02/2012,25658.804199812945
03/2012,25834.3262680682
04/2012,24994.79797919694
05/2012,23983.442529053005
06/2012,25606.756451574598
07/2012,26164.25008914594
08/2012,26728.361654053882
09/2012,26770.73506300369
10/2012,26474.36034550194
11/2012,26114.511777643078
12/2012,26640.39803140362
01/2013,26578.446476719648
02/2013,26508.48233588977
03/2013,26795.88796097334
04/2013,27291.576398308243
05/2013,27074.04184604649
06/2013,26181.905013491007
07/2013,27333.72412001162
08/2013,27140.71985679442
09/2013,28866.11222397085
10/2013,29703.817658125336
11/2013,29987.123932066574
12/2013,30127.981551663794
01/2014,30218.25593041642
02/2014,31578.509300406222
03/2014,31716.17057218799
04/2014,32607.281516271865
05/2014,33871.45542885947
06/2014,34300.0221156934
07/2014,33453.26393691665
08/2014,34127.80055773487
09/2014,33619.116992770374
10/2014,33534.12845759597
11/2014,33974.88300378741
12/2014,34417.40856526515
01/2015,37251.188069220705
02/2015,39147.89991461897
03/2015,38927.90543402487
04/2015,38531.866738273224
05/2015,38607.685272938856
06/2015,37337.31248927419
07/2015,38658.44056385255
08/2015,35663.93940885663
09/2015,34940.10615820697
10/2015,37613.49884899822
11/2015,38518.468127787135
12/2015,37014.86271621658
01/2016,35144.61725174407
02/2016,34866.207187530716
03/2016,35290.06618306633
04/2016,36326.90215440276
05/2016,37071.427026216035
06/2016,35711.26019332367
07/2016,36242.18281347118
08/2016,36294.48432272564
09/2016,36121.94419620859
10/2016,36186.1736741868
11/2016,36923.035683519505
12/2016,39081.34938088855
01/2017,38018.62110933237
02/2017,39198.28836742862
03/2017,39945.43565018766
04/2017,40277.121803848095
05/2017,41659.90429303741
06/2017,40164.46703858208
07/2017,39735.27449517734
08/2017,39100.44241654043
09/2017,40880.851186792075
10/2017,41564.85458202005
11/2017,40866.05119706199
12/2017,40873.040296790474
01/2018,41734.0930637824
02/2018,40865.0263390085
03/2018,40263.16949157996
04/2018,42727.51076102229
05/2018,41994.609107613105
06/2018,41705.14930362639
07/2018,42676.60352422729
08/2018,41655.45152976401
09/2018,41927.97836548534
10/2018,40840.082620152905
11/2018,41116.43496997681
12/2018,38978.19956142903
01/2019,41319.2060478711
02/2019,42209.650513759254
03/2019,42756.17663140878
04/2019,44191.99487666024
05/2019,41715.48495978044
06/2019,42589.12438506494
07/2019,42916.1594292416
08/2019,42883.675160750354
09/2019,45629.451211254884
10/2019,46801.25900869189
11/2019,47321.45514511675
12/2019,48930.433123937524
01/2020,49253.35001083306
02/2020,44824.21408664431
03/2020,35091.22849524808
04/2020,35426.137988909555
05/2020,35807.40487657439
06/2020,37424.76410707747
07/2020,36521.608329711424
08/2020,37869.82566970044
09/2020,36009.54262059706
10/2020,34950.64597426517
11/2020,43116.64478462251
12/2020,43983.00786873285
01/2021,43814.764977557614
02/2021,45964.82946775369
03/2021,49805.74785965165
04/2021,49815.943135894806
05/2021,51395.23145482026
06/2021,51062.240107917285
07/2021,51985.92464616745
08/2021,52996.90190174952
09/2021,51359.10325431678
10/2021,52566.59723083427
11/2021,52035.01258890914
12/2021,54413.3912566339
01/2022,55135.61355966467
02/2022,52509.661177876194
03/2022,52131.40890366899
04/2022,51644.16695875962
05/2022,51911.01486381213
06/2022,45744.69866599011
07/2022,48293.00408578423
08/2022,46489.15049786946
09/2022,43622.91566571519
10/2022,46476.23766880607
11/2022,49124.93779983644
12/2022,48491.12152237853
01/2023,51812.22054249494
02/2023,52599.47753512477
03/2023,48877.27310158215
04/2023,49947.2202409127
05/2023,48532.6239315504
06/2023,49096.93708927098
07/2023,50924.1418029604
08/2023,49385.42007387874
09/2023,49568.56619276568
10/2023,47487.16144568865
11/2023,50634.93749057686
12/2023,53332.957851109335
01/2024,52320.471700798465
02/2024,50215.754511072744
03/2024,53605.262480901874
04/2024,54587.222235062465
