Data,IE0007P4PBU1
11/2012,8602.622109379106
12/2012,8872.637070702074
01/2013,8993.731658366227
02/2013,8914.99635277067
03/2013,8721.03755487883
04/2013,8637.961171189741
05/2013,8606.116834450379
06/2013,7973.6960752253735
07/2013,8174.213531036168
08/2013,8395.936844935955
09/2013,8662.689956151406
10/2013,8789.719720207191
11/2013,9235.213196142993
12/2013,8799.904147656229
01/2014,8375.423254137138
02/2014,8408.536458100274
03/2014,8279.709457920942
04/2014,8052.8257128909045
05/2014,8581.090258780123
06/2014,8828.827014233335
07/2014,9746.398816075953
08/2014,9907.528408197508
09/2014,9722.72685755213
10/2014,10187.295654513382
11/2014,10378.508842937732
12/2014,10792.03582245959
01/2015,11849.910767828615
02/2015,12301.837107271502
03/2015,13158.27917990919
04/2015,14725.351255147885
05/2015,14495.324988661987
06/2015,13429.538761987154
07/2015,12225.179438403762
08/2015,10555.238219487752
09/2015,10363.690260091777
10/2015,11493.143546102236
11/2015,11562.69683983159
12/2015,11086.48342368079
01/2016,9644.596683077525
02/2016,9426.200872903297
03/2016,10085.41413838849
04/2016,10047.221259169757
05/2016,10193.237198785173
06/2016,10364.641263459207
07/2016,10714.717632538646
08/2016,11482.313268289397
09/2016,11741.551023131264
10/2016,11737.680370143333
11/2016,11933.707537029839
12/2016,11544.71957596184
01/2017,12080.295124532411
02/2017,12691.411321802383
03/2017,12845.554846622246
04/2017,12896.753012729268
05/2017,13223.450600790951
06/2017,13307.175820124483
07/2017,14104.982966232696
08/2017,14578.577782350716
09/2017,14752.153433466836
10/2017,15556.4815826429
11/2017,15514.026420073174
12/2017,15617.60460093423
01/2018,16909.959494492086
02/2018,16137.972038158601
03/2018,15467.478245721628
04/2018,15770.417004390714
05/2018,16582.634618629356
06/2018,15773.425565101472
07/2018,15284.536310847108
08/2018,14809.491066786488
09/2018,14695.538233764802
10/2018,13303.397293322701
11/2018,14223.789058826904
12/2018,13253.45247701541
01/2019,14667.425262397135
02/2019,15265.95185391529
03/2019,15886.29940086443
04/2019,16261.458049163602
05/2019,14219.988531712805
06/2019,15058.161413946236
07/2019,15286.641013035176
08/2019,14797.092045519385
09/2019,14991.605915694285
10/2019,15222.750021563148
11/2019,15733.343252511282
12/2019,16658.38494179389
01/2020,16115.54945255146
02/2020,16379.62858331077
03/2020,15325.187935595713
04/2020,16409.390404014877
05/2020,15946.915741595869
06/2020,17286.7922206115
07/2020,17886.458358990785
08/2020,18752.953096830606
09/2020,18598.8202732626
10/2020,19595.230610401268
11/2020,19660.17931536826
12/2020,19720.57684979388
01/2021,21403.565283219014
02/2021,21203.26549572447
03/2021,20536.912779233426
04/2021,20203.037875174392
05/2021,20157.774122499446
06/2021,20717.782167209727
07/2021,17841.099380542226
08/2021,17923.93180342482
09/2021,17395.916066415837
10/2021,17839.264918399313
11/2021,17186.389868620536
12/2021,16695.03384314119
01/2022,16445.633445487132
02/2022,15739.763998277738
03/2022,14605.505232254705
04/2022,14751.485822263483
05/2022,14682.763189602076
06/2022,16144.396682402954
07/2022,14887.18381413468
08/2022,15212.975892698782
09/2022,13332.91772402383
10/2022,10902.923376934546
11/2022,13510.50727553355
12/2022,13824.154991322735
01/2023,15211.266379069151
02/2023,13904.331056290503
03/2023,14187.02166388481
04/2023,13322.42301014224
05/2023,12538.18626707736
06/2023,12819.700883158432
07/2023,14006.488722640075
08/2023,12931.059449097418
09/2023,12898.944510640682
10/2023,12317.229154739827
11/2023,12264.719415889045
12/2023,11837.530932907359
01/2024,10786.71483902461
02/2024,11701.526843891346
03/2024,11825.957804569898
04/2024,12713.183941673986
