Data,IE00B4TS3815
04/2002,187465.53754855608
05/2002,166041.41568537639
06/2002,135117.35757645796
07/2002,116406.4405145277
08/2002,126341.25136024294
09/2002,103082.11444425223
10/2002,117254.34312460228
11/2002,120613.56473623967
12/2002,116588.23254424502
01/2003,108916.25750008531
02/2003,106902.95130033555
03/2003,112262.03172072451
04/2003,128956.98846010857
05/2003,125169.40113821762
06/2003,132617.10242618198
07/2003,140353.1362818307
08/2003,151306.66949497734
09/2003,146467.31358745694
10/2003,158050.51491990278
11/2003,158671.8493730706
12/2003,167131.63155837968
01/2004,171719.24449270684
02/2004,179334.2423574466
03/2004,184708.4012380972
04/2004,169061.7555704578
05/2004,164426.15528463718
06/2004,170545.5203291748
07/2004,178491.20966969954
08/2004,185395.40410507808
09/2004,195360.73290288
10/2004,196218.98810652408
11/2004,203939.65956426234
12/2004,215101.4769184502
01/2005,220717.6028612185
02/2005,245288.03890083666
03/2005,230807.27537935122
04/2005,223933.12946037276
05/2005,252378.41217024034
06/2005,269486.825363666
07/2005,287246.94182041555
08/2005,300540.6531247445
09/2005,352056.90050024993
10/2005,333886.3002293975
11/2005,368648.10371242685
12/2005,371437.5822212422
01/2006,424188.1094390349
02/2006,436660.1761584821
03/2006,418200.9209804684
04/2006,435757.6736302943
05/2006,365365.9053431442
06/2006,385368.9768077132
07/2006,394895.06343602046
08/2006,395992.31875282753
09/2006,404974.47511255695
10/2006,435265.04049254477
11/2006,442705.27688517765
12/2006,474587.61603239883
01/2007,490624.72627306165
02/2007,467901.17341442464
03/2007,497074.9521734182
04/2007,512782.7275700346
05/2007,573434.6995520049
06/2007,586487.630059775
07/2007,585905.3949967017
08/2007,568657.3050121604
09/2007,617976.7201074914
10/2007,678866.3145098324
11/2007,626192.7019298071
12/2007,636003.5467405774
01/2008,590219.5171024447
02/2008,629397.207710331
03/2008,582971.9042654926
04/2008,651368.1250857709
05/2008,713580.843197675
06/2008,647882.4312193696
07/2008,597677.9388001584
08/2008,580551.6527155736
09/2008,480685.40610716474
10/2008,368434.2744898774
11/2008,345251.05637952697
12/2008,325661.930802917
01/2009,352679.9591817078
02/2009,338607.98350565054
03/2009,356856.35102981614
04/2009,420002.3486228609
05/2009,477043.1278280186
06/2009,465046.9986134759
07/2009,506710.63263020624
08/2009,512445.28405499295
09/2009,559289.0325085507
10/2009,562321.4949354633
11/2009,600463.1647894277
12/2009,638772.7797709253
01/2010,600130.4267919575
02/2010,643292.1669479326
03/2010,693076.8824145732
04/2010,698937.6140274681
05/2010,690852.0367959857
06/2010,669370.5489861954
07/2010,705324.9666669341
08/2010,708512.8666352502
09/2010,727113.7368339712
10/2010,738871.7651076228
11/2010,760537.6741218978
12/2010,786554.7264657541
01/2011,733178.9120054971
02/2011,739563.845538807
03/2011,745566.7883848457
04/2011,716091.7943983863
05/2011,719721.6890869759
06/2011,713611.4021151697
07/2011,698361.5799933724
08/2011,651943.0650467754
09/2011,575659.6218969974
10/2011,652181.679558444
11/2011,639716.3383975748
12/2011,652760.3106974266
01/2012,721679.5538794867
02/2012,743469.5539359121
03/2012,723971.3717827722
04/2012,704199.1005058192
05/2012,651595.5894410213
06/2012,666537.5611086866
07/2012,691961.7034126025
08/2012,670159.7382436877
09/2012,678543.6352470773
10/2012,672298.9069913592
11/2012,661299.4448680608
12/2012,692949.9577121951
01/2013,699705.9767539747
02/2013,701914.0917681811
03/2013,719513.423641323
04/2013,702747.0496034983
05/2013,657428.8752549101
06/2013,594593.0169761954
07/2013,579672.6351410336
08/2013,562995.7270953933
09/2013,598835.0489972291
10/2013,621049.3748169686
11/2013,594487.7079642212
12/2013,572245.1107544035
01/2014,528450.8677019805
02/2014,526417.0720477861
03/2014,573742.6313607765
04/2014,586669.2719738055
05/2014,596623.5381931065
06/2014,618767.727963565
07/2014,638034.0928224849
08/2014,698500.7542133783
09/2014,634142.5695915234
10/2014,636123.215038393
11/2014,608607.7077962804
12/2014,568395.9391031793
01/2015,572453.852950537
02/2015,599858.1000971927
03/2015,579661.6429621485
04/2015,613215.026470492
05/2015,582627.3307536456
06/2015,576651.997802623
07/2015,538924.7501471401
08/2015,471404.51528566936
09/2015,435535.9876196171
10/2015,469734.5024609888
11/2015,468561.9956779646
12/2015,435831.8901861968
01/2016,414387.17943232664
02/2016,431149.79534492426
03/2016,496188.90926664823
04/2016,524837.1265264334
05/2016,478512.8066278145
06/2016,535606.2477974821
07/2016,564386.9305027502
08/2016,567163.4715502666
09/2016,560788.2869150817
10/2016,628433.3659311367
11/2016,577981.4567290196
12/2016,588330.0056385037
01/2017,620297.7735738532
02/2017,651881.4030490016
03/2017,649510.3523674306
04/2017,635280.2121820877
05/2017,604151.0956541552
06/2017,597736.0216467048
07/2017,629633.3557581456
08/2017,653109.7483668663
09/2017,664189.0875590654
10/2017,649249.9580360905
11/2017,618314.1057918044
12/2017,638184.8431183709
01/2018,694996.0950830907
02/2018,683149.2736393191
03/2018,670582.0985981501
04/2018,675162.7100756911
05/2018,599095.1690237176
06/2018,582606.0510461793
07/2018,631916.6096588835
08/2018,583178.1193291286
09/2018,614307.834439317
10/2018,649770.5223204598
11/2018,633068.2774003509
12/2018,623033.0906414813
01/2019,713581.8880892905
02/2019,691212.1600217487
03/2019,684360.6183892293
04/2019,688188.3036008965
05/2019,678352.1551039963
06/2019,705452.2954171101
07/2019,720575.0702691842
08/2019,668670.8442647827
09/2019,695183.5069873425
10/2019,708573.7411573865
11/2019,689792.9156213395
12/2019,744194.22500111
01/2020,713775.8876447619
02/2020,631749.7227795288
03/2020,414532.03370689636
04/2020,443804.2578759271
05/2020,461470.0017065602
06/2020,482839.9486865829
07/2020,506115.90694866417
08/2020,470840.896655536
09/2020,455421.6843104493
10/2020,450454.64011874376
11/2020,535932.0721977574
12/2020,585467.403947328
01/2021,551945.9242705686
02/2021,535896.95149095
03/2021,579545.8697888809
04/2021,583078.9498641464
05/2021,623448.3770629677
06/2021,657123.4954083646
07/2021,629829.6408244013
08/2021,637959.1753648173
09/2021,584423.3860307527
10/2021,550209.7299533053
11/2021,547103.4334448902
12/2021,581769.2567070897
01/2022,633962.711737888
02/2022,661784.461554939
03/2022,754761.5948190992
04/2022,691683.2385633567
05/2022,736294.3212507451
06/2022,630315.1971425294
07/2022,669071.2592007616
08/2022,701138.4473132731
09/2022,695599.566959023
10/2022,749848.6872393696
11/2022,719901.8184850996
12/2022,672521.3338810185
01/2023,727391.8835135438
02/2023,695772.3709145348
03/2023,685221.4190068541
04/2023,696685.1043266669
05/2023,710515.4016948881
06/2023,782761.5218825807
07/2023,811119.6833586211
08/2023,762870.9318138286
