Data,DE000A0H08J9
05/2014,86060.23557646922
06/2014,84414.37243683756
07/2014,81806.08849359276
08/2014,83562.13465528839
09/2014,82786.85731151982
10/2014,81502.19934068009
11/2014,83628.26755983008
12/2014,83831.48732201451
01/2015,89718.02991259612
02/2015,97234.95525993375
03/2015,98454.36907179191
04/2015,98248.64644287211
05/2015,99639.48600287142
06/2015,94039.01604639627
07/2015,96794.53257483832
08/2015,89649.84027354019
09/2015,84048.89329046993
10/2015,90973.8939157884
11/2015,96450.38272453085
12/2015,90073.9817454497
01/2016,85074.57571672914
02/2016,85308.7198734244
03/2016,88959.48152946128
04/2016,89834.09455612223
05/2016,92775.47612123462
06/2016,87314.72187566439
07/2016,92302.44074636271
08/2016,94922.52110380327
09/2016,94689.01378193093
10/2016,92498.52282795132
11/2016,95445.3681470677
12/2016,99578.58915743395
01/2017,100292.68749776561
02/2017,104022.61084910856
03/2017,107519.25331292144
04/2017,112694.6083963917
05/2017,112567.00961616935
06/2017,110601.50105919768
07/2017,108676.04829436945
08/2017,108382.69040478476
09/2017,115280.06282902283
10/2017,119273.29174045731
11/2017,115855.67886719128
12/2017,115893.03640239671
01/2018,119860.96312667249
02/2018,115053.16468162657
03/2018,112026.73496469365
04/2018,115452.3975680558
05/2018,118729.03548976601
06/2018,117810.11810892774
07/2018,121968.39283592619
08/2018,121745.41110087988
09/2018,121387.1673424807
10/2018,110260.02712670236
11/2018,106914.1388892162
12/2018,100395.39641862686
01/2019,108367.05522701419
02/2019,113110.75835536317
03/2019,113928.21169978478
04/2019,122976.98525054242
05/2019,114206.20216171413
06/2019,122288.95976466993
07/2019,121530.59334621287
08/2019,119300.24351453867
09/2019,122815.16113901374
10/2019,126670.81818692383
11/2019,132536.76828881135
12/2019,134762.96453423201
01/2020,134246.78623491668
02/2020,121264.03787019438
03/2020,95896.73962830966
04/2020,103533.66921904638
05/2020,110499.0445431988
06/2020,115463.43122286013
07/2020,117032.81360774612
08/2020,124360.61799765394
09/2020,124834.21476037134
10/2020,120573.98581220018
11/2020,136899.56463718318
12/2020,142110.76650417896
01/2021,140913.36270996835
02/2021,146725.84728271002
03/2021,155698.32026606196
04/2021,159797.8547490442
05/2021,162967.30186979758
06/2021,166091.7413791287
07/2021,171902.6319199518
08/2021,177302.3337973669
09/2021,169248.23304116298
10/2021,172965.66927569816
11/2021,169436.21337397478
12/2021,181417.934962755
01/2022,164812.7181390288
02/2022,158241.88088550567
03/2022,158034.9873290934
04/2022,152456.18546834774
05/2022,149421.1381622254
06/2022,133593.78179645195
07/2022,152648.59040565937
08/2022,140019.43014750406
09/2022,130024.03529699189
10/2022,143773.95785663044
11/2022,152096.46911310148
12/2022,146776.7229367105
01/2023,158611.2726540167
02/2023,163825.575036853
03/2023,165406.23134816438
04/2023,167270.80677007826
05/2023,166323.41197789536
06/2023,172157.6064225547
07/2023,175214.14284159185
08/2023,165984.44275060538
09/2023,160617.59597956244
10/2023,150715.94007888073
11/2023,168441.4950248682
12/2023,180934.23081620195
01/2024,182065.89297029903
02/2024,194267.093233875
03/2024,201041.67215637115
04/2024,196235.94550274793
