Data,IE00B5L8K969
09/2004,27526.21399441419
10/2004,27059.708189807425
11/2004,28413.223791312885
12/2004,28629.945233319737
01/2005,30453.520394408246
02/2005,31984.182930992687
03/2005,30956.658880894607
04/2005,30097.585331236274
05/2005,32809.88639775411
06/2005,34388.86229255697
07/2005,36630.77940766547
08/2005,35170.78397949295
09/2005,37914.51960187842
10/2005,35370.27193111721
11/2005,39257.039472371725
12/2005,42064.05932598504
01/2006,44146.35715778464
02/2006,44949.657238674816
03/2006,44934.36806288069
04/2006,46410.46210341104
05/2006,41716.66518576361
06/2006,41912.83089913558
07/2006,41687.014291247586
08/2006,42875.861097778594
09/2006,45258.94890519379
10/2006,46371.93439013946
11/2006,48198.71351793159
12/2006,50097.849769125685
01/2007,49879.597139086734
02/2007,49005.2432637021
03/2007,49638.17287360497
04/2007,50950.88511888415
05/2007,54885.23533438624
06/2007,57971.925864947465
07/2007,61634.3125053267
08/2007,60783.46489520828
09/2007,65652.70450087334
10/2007,71610.1833193376
11/2007,63499.94049374257
12/2007,63328.86502546441
01/2008,53727.95291551031
02/2008,56576.68963124421
03/2008,50614.315004310774
04/2008,55757.06334093729
05/2008,53576.79811375784
06/2008,46134.55153781532
07/2008,46251.42557294731
08/2008,45560.62357284808
09/2008,39157.10332530538
10/2008,33335.831469961086
11/2008,31045.430393210107
12/2008,31571.529130853716
01/2009,32110.599952631957
02/2009,30463.028492711634
03/2009,33547.37531987145
04/2009,39239.42807834435
05/2009,42536.84542709907
06/2009,42305.34558887746
07/2009,47697.94043083793
08/2009,45951.32458900669
09/2009,48897.523648339666
10/2009,47908.416157140746
11/2009,48641.49710408432
12/2009,53030.464911410076
01/2010,51439.97652270066
02/2010,52966.43443303994
03/2010,57439.63063529604
04/2010,59511.97692354675
05/2010,58858.05337942041
06/2010,59831.446978069296
07/2010,59564.12146965262
08/2010,60323.41487385408
09/2010,62350.01889712112
10/2010,63011.13818083656
11/2010,65881.59061980445
12/2010,68105.6865798992
01/2011,65525.30887437247
02/2011,62354.849011657716
03/2011,65044.952309995926
04/2011,64545.153228057054
05/2011,65647.64424759043
06/2011,63946.71941123568
07/2011,65337.64094368422
08/2011,57759.60743478385
09/2011,53983.79242720779
10/2011,58333.683406626085
11/2011,55706.63318515262
12/2011,58147.96148556114
01/2012,63175.89245256519
02/2012,65484.93923168292
03/2012,63825.2768451353
04/2012,64414.10854118251
05/2012,62117.486136084546
06/2012,62769.86240624011
07/2012,65684.4037104779
08/2012,63550.36008228803
09/2012,66502.14580457518
10/2012,65894.66748498185
11/2012,67759.0486619916
12/2012,69000.98141595905
01/2013,67906.86951004648
02/2013,70051.26114362903
03/2013,70142.46565703668
04/2013,69721.90312668018
05/2013,69467.99371190778
06/2013,65058.29474028995
07/2013,64978.75410654269
08/2013,64408.83026162118
09/2013,66433.55388605225
10/2013,68930.31773931265
11/2013,69181.40368888594
12/2013,67401.21140423647
01/2014,65490.98936212862
02/2014,66184.12500943984
03/2014,67221.27405536508
04/2014,67032.36373866205
05/2014,71033.89159321724
06/2014,72760.17883937951
07/2014,76841.92826445679
08/2014,78819.3571021912
09/2014,77826.98855442154
10/2014,79327.98653391813
11/2014,79718.20613727756
12/2014,80439.20957757498
01/2015,88448.89750497295
02/2015,91096.0865529569
03/2015,95500.80849655089
04/2015,97986.05974509931
05/2015,97416.16145521501
06/2015,91748.02723942032
07/2015,86927.15102670556
08/2015,77200.71101316385
09/2015,76114.91242603643
10/2015,83399.87163743714
11/2015,83987.38501468804
12/2015,81048.16882973617
01/2016,74894.37746703651
02/2016,74124.5069730703
03/2016,78990.70992951619
04/2016,77854.2420148774
05/2016,78627.90875883111
06/2016,81318.43822129007
07/2016,85194.64853986989
08/2016,88492.23704668843
09/2016,89449.88973807478
10/2016,89885.19426460072
11/2016,89418.74625030786
12/2016,88994.55051468719
01/2017,92325.87034618066
02/2017,97099.40492015715
03/2017,99457.51158754226
04/2017,99360.36401595404
05/2017,101162.92958036385
06/2017,101265.18921491453
07/2017,104112.84472010467
08/2017,104705.62110784183
09/2017,104848.39351925465
10/2017,111978.74329272873
11/2017,110094.841109875
12/2017,111841.7434140008
01/2018,116291.11334785915
02/2018,112249.16611992753
03/2018,109757.24060081645
04/2018,112048.9728604193
05/2018,114139.60993965164
06/2018,109269.8333614747
07/2018,109382.28586316352
08/2018,109286.4827307893
09/2018,108138.8545643935
10/2018,98508.22272818451
11/2018,103199.78424174161
12/2018,99187.80541581965
01/2019,106084.73369165743
02/2019,108528.8105955398
03/2019,112281.76230966196
04/2019,114474.54747835244
05/2019,105044.50647042399
06/2019,109539.35074655205
07/2019,110090.43239392425
08/2019,107063.31744675175
09/2019,110679.56731452144
10/2019,112883.60916110704
11/2019,115241.53050013041
12/2019,120723.49225988449
01/2020,117186.01751951299
02/2020,114596.37991092389
03/2020,101370.45150784674
04/2020,111472.6746810649
05/2020,108546.43189376942
06/2020,116891.16569579684
07/2020,121241.17665842053
08/2020,124184.7209515559
09/2020,125233.225199027
10/2020,129460.14397339814
11/2020,135859.39515276268
12/2020,142034.74874709616
01/2021,149859.40220029122
02/2021,151425.5235046913
03/2021,151875.74553861225
04/2021,150924.28127490106
05/2021,151302.48815869848
06/2021,155508.45953424368
