Data,IE00B52MJY50
09/1997,155797.56331575237
10/1997,120533.40433433393
11/1997,114337.77247061045
12/1997,117749.37283254153
01/1998,113032.0871058092
02/1998,130158.4944147025
03/1998,129114.73329296293
04/1998,119295.01113951909
05/1998,104316.4730134893
06/1998,98764.94987662272
07/1998,95626.3599928274
08/1998,82377.7515086434
09/1998,85728.17662039802
10/1998,98526.32263832407
11/1998,106114.08255221095
12/1998,104233.15119750949
01/1999,108401.75815186181
02/1999,110859.38032625831
03/1999,122717.69559623214
04/1999,144968.91669162424
05/1999,136513.38343245594
06/1999,149626.42802841953
07/1999,143185.46657446536
08/1999,141524.29662412763
09/1999,137739.7070493291
10/1999,143146.63769355087
11/1999,160522.27469996217
12/1999,174329.78198970042
01/2000,166200.41221180593
02/2000,167002.44395263316
03/2000,171295.54466422572
04/2000,172705.96345644805
05/2000,152994.94609594907
06/2000,166403.72371737834
07/2000,171228.8919467617
08/2000,179884.2382773864
09/2000,170763.955596884
10/2000,168102.4296571765
11/2000,162207.30569526166
12/2000,159298.27522357926
01/2001,164435.97368049776
02/2001,159651.4420836426
03/2001,148233.99350369765
04/2001,155952.20961470457
05/2001,161735.88383202633
06/2001,161806.1662725914
07/2001,152301.99081677943
08/2001,142965.07713319073
09/2001,122297.7726536715
10/2001,130887.61589016713
11/2001,145632.75843574433
12/2001,152028.00916391888
01/2002,157157.96369498386
02/2002,154746.2389436469
03/2002,160315.77315099502
04/2002,156021.86415333694
05/2002,153003.98340815344
06/2002,136488.7164483902
07/2002,130715.94402584193
08/2002,130641.01672196899
09/2002,121862.92132848603
10/2002,128550.05955820874
11/2002,130911.84901731025
12/2002,120126.17299020824
01/2003,117492.73442955388
02/2003,116402.08692508042
03/2003,116553.46669703566
04/2003,120289.97026951247
05/2003,119046.87905175089
06/2003,127786.42854291273
07/2003,131216.5925624675
08/2003,142234.36174038515
09/2003,139169.98454494175
10/2003,149390.43595687448
11/2003,144541.2031809372
12/2003,146360.32891985387
01/2004,153085.7133919329
02/2004,158641.696474283
03/2004,160638.387974411
04/2004,155771.0326887897
05/2004,152968.60884775993
06/2004,153918.38372865753
07/2004,156781.06547431977
08/2004,160673.6431374599
09/2004,165260.003985846
10/2004,167278.5224244571
11/2004,173351.68204759437
12/2004,175472.66082686099
01/2005,182791.18793657655
02/2005,188103.1860443223
03/2005,185465.11555741346
04/2005,185323.48909600568
05/2005,194672.33718268934
06/2005,208188.09920208028
07/2005,215709.61637169615
08/2005,213847.6675480469
09/2005,228915.31805706522
10/2005,215551.71140601582
11/2005,227899.5248210078
12/2005,232215.4541413856
01/2006,240482.69011035358
02/2006,243831.8652700995
03/2006,241300.59431181438
04/2006,251748.38629826505
05/2006,230838.13671114112
06/2006,235333.53522444525
07/2006,237126.69778644948
08/2006,243179.60776287378
09/2006,246100.4196464451
10/2006,262256.6975810349
11/2006,264278.7406389575
12/2006,276415.4553045894
01/2007,283578.50627972523
02/2007,283103.7788062722
03/2007,293943.5358970872
04/2007,302301.32212907687
05/2007,311940.0490609454
06/2007,317751.97286093846
07/2007,314575.6342515036
08/2007,309478.60722343874
09/2007,342901.3171876418
10/2007,362714.52769444336
11/2007,331664.26989174786
12/2007,325103.2815572645
01/2008,289161.8497477703
02/2008,288977.89245944784
03/2008,263833.9585611322
04/2008,290110.0355678218
05/2008,295219.75857321074
06/2008,268870.9056047622
07/2008,257806.58892792658
08/2008,259888.0690256287
09/2008,222222.09458977205
10/2008,186823.59840367702
11/2008,177244.2314898348
12/2008,171489.3907197836
01/2009,168966.94941000323
02/2009,162750.1762361789
03/2009,175341.72850789098
04/2009,198891.33794678535
05/2009,212400.05073207754
06/2009,217794.980752872
07/2009,243025.72810739788
08/2009,249201.27636955725
09/2009,267745.74745149614
10/2009,266181.369095744
11/2009,268412.23432305834
12/2009,286127.1889522531
01/2010,275052.5827952099
02/2010,291948.06806632155
03/2010,315260.85286387394
04/2010,318650.00231523096
05/2010,297083.5677063751
06/2010,296893.6080464979
07/2010,308280.2035778934
08/2010,310568.35516356863
09/2010,325929.9820684987
10/2010,330033.18245158385
11/2010,344453.4786908968
12/2010,360419.4331057538
01/2011,347631.47501335683
02/2011,349512.68983824155
03/2011,348269.5897272905
04/2011,349880.3568312176
05/2011,349091.41606122133
06/2011,341433.32232877606
07/2011,344798.52688527625
08/2011,321744.99719646433
09/2011,293256.11338681314
10/2011,325410.02767979953
11/2011,315698.5146126376
12/2011,324370.1606760844
01/2012,349234.3407486428
02/2012,357508.75705862953
03/2012,349608.70734026557
04/2012,358762.93520054413
05/2012,336910.8684714511
06/2012,352684.50381304114
07/2012,385413.77423220925
08/2012,376282.45223610935
09/2012,381085.6055054802
10/2012,386032.42858726624
11/2012,392664.57270000066
12/2012,396017.3700371822
01/2013,405153.5999074583
02/2013,427982.8398835521
03/2013,436590.85908372386
04/2013,445006.29863170575
05/2013,407068.57139046676
06/2013,380722.5345850644
07/2013,387281.03750830627
08/2013,388194.2028531908
09/2013,406752.8846923187
10/2013,420616.27706282714
11/2013,409723.1585638748
12/2013,399361.5456102164
01/2014,384859.36808246374
02/2014,400980.64562550856
03/2014,411181.0072379118
04/2014,418736.2971044343
05/2014,434426.97553560784
06/2014,433008.4940836769
07/2014,458446.29893353616
08/2014,466367.0975357224
09/2014,442130.0462489889
10/2014,465404.4376842846
11/2014,449995.85801306687
12/2014,451180.37826473254
01/2015,484554.804992657
02/2015,509254.576515643
03/2015,524990.2738688963
04/2015,523417.83334181
05/2015,521612.42155296303
06/2015,492239.9850255557
07/2015,496347.2961835634
08/2015,428271.7082903896
09/2015,413025.63968326914
10/2015,449916.62612164865
11/2015,463371.9290836981
12/2015,460214.0347766364
01/2016,418428.77039508015
02/2016,419059.25121679506
03/2016,447949.4513997703
04/2016,456402.5297960263
05/2016,456394.15775523114
06/2016,462338.20132021327
07/2016,493889.87852571206
08/2016,485832.8620597266
09/2016,497421.3795114301
10/2016,496455.7200893427
11/2016,510506.3942097706
12/2016,512314.36661974044
01/2017,530572.199307456
02/2017,555073.73083466
03/2017,564383.5181633466
04/2017,554580.9048284477
05/2017,534864.0476851428
06/2017,536801.067793953
07/2017,544749.339815671
08/2017,541626.5775661184
09/2017,537762.2854407154
10/2017,553066.8527496055
11/2017,552527.1387487734
12/2017,566414.7308433643
01/2018,566247.1444926226
02/2018,558547.0085875558
03/2018,530596.7235055772
04/2018,557999.3997660022
05/2018,577991.8472996961
06/2018,570658.7526564723
07/2018,577777.3095624855
08/2018,571506.166098803
09/2018,571369.1233761132
10/2018,533138.5618966322
11/2018,546569.2392453443
12/2018,531736.307687606
01/2019,568045.6461551642
02/2019,593111.7498529587
03/2019,608109.8028004683
04/2019,619350.1516989955
05/2019,605768.9359872473
06/2019,631233.7618095789
07/2019,639465.7673163608
08/2019,608860.5999026332
09/2019,625210.3248604002
10/2019,628621.7317850842
11/2019,639678.0445613931
12/2019,640957.2873434615
01/2020,640638.2428017703
02/2020,595377.6361859686
03/2020,475687.2660785794
04/2020,535286.1937149655
05/2020,520611.1580433652
06/2020,559240.3846580401
07/2020,541998.5231448875
08/2020,568815.461974667
09/2020,545269.9056284213
10/2020,542563.8158036601
11/2020,607600.5086229192
12/2020,624543.6703938346
01/2021,635812.3072657781
02/2021,654907.753881109
03/2021,683622.3197702526
04/2021,691303.1791719408
05/2021,699110.3444756417
06/2021,706427.0227579098
07/2021,695363.5046225042
08/2021,703487.211258618
09/2021,692972.623699944
10/2021,711187.2464552777
11/2021,682810.4105531303
12/2021,707636.2643925237
01/2022,678039.8482255472
02/2022,694397.9278692147
03/2022,748938.8584188106
04/2022,742038.9424482102
05/2022,727031.3848787479
06/2022,687477.1317978172
07/2022,726973.7841234503
08/2022,728398.1750948325
09/2022,667674.4506822686
10/2022,659593.8043267338
11/2022,722514.8805258841
12/2022,705973.3435072949
01/2023,754921.8087480057
02/2023,720253.3283109516
03/2023,707091.664207366
04/2023,701436.6691121238
05/2023,677934.4753538152
06/2023,694819.1506149127
07/2023,714726.9336167261
08/2023,682424.9278042424
09/2023,678576.6605240566
10/2023,646665.5881013132
11/2023,671722.46446503
12/2023,724519.8798767028
01/2024,712908.8884745173
02/2024,717294.0090131796
03/2024,727503.3014822712
04/2024,724833.4423938637
