Data,IE00B6YX5C33
09/2013,57749.2693280217
10/2013,59797.28985467091
11/2013,61750.88034787351
12/2013,62483.25539128224
01/2014,61545.488876859905
02/2014,62972.46458856541
03/2014,63612.07561517557
04/2014,63790.62537115057
05/2014,66449.3510234262
06/2014,67563.71441988081
07/2014,68016.35366827442
08/2014,71756.82220347012
09/2014,74146.94635448983
10/2014,76310.24450110027
11/2014,78614.19534925086
12/2014,80619.15911023354
01/2015,83975.67422198538
02/2015,89309.3052283163
03/2015,91819.70280895854
04/2015,88924.59485743375
05/2015,92072.92032593388
06/2015,88516.32315489501
07/2015,92193.62322026625
08/2015,84708.5831455628
09/2015,82694.72758535421
10/2015,91178.10538363643
11/2015,95228.6027876845
12/2015,91067.93333592163
01/2016,86280.47274742048
02/2016,86410.83533764502
03/2016,88238.16664224795
04/2016,88433.91127581599
05/2016,92024.94025014232
06/2016,92688.73763010473
07/2016,96003.90638631456
08/2016,95967.48208416067
09/2016,95728.81680930787
10/2016,95821.49655420765
11/2016,102268.96096203795
12/2016,105212.68621745885
01/2017,105067.08362933801
02/2017,110859.96530900337
03/2017,110004.91633772681
04/2017,108696.36010863632
05/2017,107359.29256063575
06/2017,106213.28699110332
07/2017,105477.68917041367
08/2017,104915.93175980929
09/2017,107244.57200965178
10/2017,111323.31471388161
11/2017,112686.02263443907
12/2017,112562.38921668635
01/2018,114565.77579153248
02/2018,112530.07468436897
03/2018,108709.37558294024
04/2018,111304.67464399319
05/2018,117679.18982489477
06/2018,118811.02786227765
07/2018,122404.613885261
08/2018,127305.96964495626
09/2018,128850.55390807526
10/2018,122770.40913905547
11/2018,124810.8622234261
12/2018,112629.96264117777
01/2019,121244.6946622515
02/2019,125917.81569842398
03/2019,130423.12328210473
04/2019,135899.73061878636
05/2019,128018.03254271518
06/2019,134273.05560796917
07/2019,138990.00997730784
08/2019,138203.18781732357
09/2019,142679.33367764542
10/2019,142295.68576953418
11/2019,149759.74146040578
12/2019,150807.89287109327
01/2020,153219.9138847567
02/2020,141556.24679574792
03/2020,124299.3344435945
04/2020,141255.95488073683
05/2020,144517.94554822543
06/2020,146565.24356103377
07/2020,146324.17474157157
08/2020,155622.45989263742
09/2020,152664.13650311023
10/2020,148719.97730308992
11/2020,161104.2918401026
12/2020,163319.04599289506
01/2021,163456.30141163222
02/2021,168159.12625643963
03/2021,181439.27354369377
04/2021,185461.6055330057
05/2021,184921.50081824092
06/2021,194272.5443626471
07/2021,198755.71242576145
08/2021,205770.5410158772
09/2021,200505.69261451814
10/2021,213322.33817590898
11/2021,217085.68934616804
12/2021,227539.37105467214
01/2022,219035.78623287877
02/2022,211645.11654368616
03/2022,221425.4124919745
04/2022,212857.97702965554
05/2022,209788.73909008893
06/2022,198497.0801113953
07/2022,220802.46464280624
08/2022,215974.87771852672
09/2022,201136.54783692156
10/2022,213765.2424945921
11/2022,215645.43754774885
12/2022,197679.50707869543
01/2023,206846.85010339937
02/2023,205851.10055064634
03/2023,208369.65091680395
04/2023,209563.65160666182
05/2023,216330.01507324105
06/2023,226723.85237320265
07/2023,230657.29473431257
08/2023,230204.94553246134
09/2023,224882.00147780488
10/2023,219618.26994070344
11/2023,232817.6572075336
12/2023,240756.07253791735
01/2024,249595.25833815438
02/2024,263171.0354327648
03/2024,271995.63683821633
04/2024,263129.2673234256
