Data,IE00BYX8XD24
03/2016,32080.658281994027
04/2016,31973.34913052108
05/2016,32295.911390736608
06/2016,33903.09046721075
07/2016,34504.19329694615
08/2016,33789.20592829051
09/2016,33738.997479219885
10/2016,33030.63914696574
11/2016,33230.77237654566
12/2016,33873.13178963543
01/2017,34000.55168868245
02/2017,35293.1724531766
03/2017,35115.44623230353
04/2017,35274.3294997757
05/2017,35823.5701149406
06/2017,35705.14691140536
07/2017,36277.61178332978
08/2017,36018.304118881424
09/2017,36426.831584115
10/2017,37269.74545984448
11/2017,38985.35131926808
12/2017,39333.85593572213
01/2018,40516.93738007714
02/2018,39151.904594684325
03/2018,38504.83322757694
04/2018,38560.107839320335
05/2018,39091.888545098336
06/2018,39478.51667613942
07/2018,40684.08782195704
08/2018,41931.73818233282
09/2018,42169.35831704044
10/2018,39900.50907657175
11/2018,40714.90406169591
12/2018,37077.844673321655
01/2019,39764.95551717906
02/2019,41169.98872167402
03/2019,42086.25078558664
04/2019,43707.22247137878
05/2019,41742.136952670364
06/2019,44241.42299869188
07/2019,44945.12901721279
08/2019,45096.430016541286
09/2019,45814.10253311074
10/2019,45943.59748137195
11/2019,47016.29615986454
12/2019,48631.09499744849
01/2020,48751.1858050917
02/2020,44738.85455203428
03/2020,39117.32497486988
04/2020,43432.264483976076
05/2020,45300.9954069385
06/2020,45455.77487456534
07/2020,47598.31671905319
08/2020,49663.59542138936
09/2020,48710.04608234252
10/2020,47360.61488673029
11/2020,51023.350765473086
12/2020,52365.378903146775
01/2021,51144.766027247715
02/2021,50944.510866265846
03/2021,54098.315584573866
04/2021,56524.54207681557
05/2021,56698.75129174128
06/2021,57612.13186345602
07/2021,59247.111548109155
08/2021,60535.86378983548
09/2021,57429.12526349288
10/2021,60881.342052070584
11/2021,60536.26367392138
12/2021,64638.702430233374
01/2022,61384.61189919741
02/2022,59573.21450012453
03/2022,62443.73765629824
04/2022,59337.50874182602
05/2022,59354.77748596629
06/2022,56032.00938884107
07/2022,59207.19714724935
08/2022,57079.760457573284
09/2022,52617.38427199058
10/2022,56851.252788301994
11/2022,59422.04440409642
12/2022,57285.301895073615
01/2023,58991.614687816116
02/2023,56256.24796302711
03/2023,58231.84280999089
04/2023,59776.27228864702
05/2023,57843.57432470296
06/2023,60533.40372957352
07/2023,60966.5940730866
08/2023,59905.18713261495
09/2023,57385.95909248943
10/2023,56729.61065471357
11/2023,61120.79630610888
12/2023,62652.928575284546
01/2024,64426.879902769506
02/2024,66380.116841261
03/2024,68408.26142797325
04/2024,65876.2910132785
