Data,IE00BL25JN58
02/2002,44144.085632855014
03/2002,45146.287165104135
04/2002,43650.07040358029
05/2002,42484.404956916966
06/2002,38596.20446304964
07/2002,36545.07360896376
08/2002,36758.623983161604
09/2002,33761.25633199258
10/2002,34633.83488324271
11/2002,35081.9225686426
12/2002,33223.92906013423
01/2003,31232.362359469924
02/2003,30832.082279931197
03/2003,30667.760915501778
04/2003,31974.19267732556
05/2003,31710.78567644863
06/2003,33063.06860090664
07/2003,33350.72247888202
08/2003,35036.17414924087
09/2003,33638.17837392296
10/2003,34959.37031418216
11/2003,34653.91665929346
12/2003,34680.68536558645
01/2004,35759.762638171
02/2004,36416.97804347882
03/2004,37519.13833118325
04/2004,37563.820254562495
05/2004,37192.94522826644
06/2004,38061.174340319565
07/2004,37686.638042103834
08/2004,38180.538517000394
09/2004,37870.85549138018
10/2004,37833.40932658734
11/2004,38221.5256225851
12/2004,38737.9440307326
01/2005,39531.32046344135
02/2005,40057.83065077177
03/2005,40527.583363729995
04/2005,40588.97074067486
05/2005,43070.77558035573
06/2005,44531.00022859262
07/2005,45595.15295138895
08/2005,45370.110087222245
09/2005,46771.10802255398
10/2005,45640.340709077675
11/2005,47642.53273351714
12/2005,48340.27276298823
01/2006,48375.369868444905
02/2006,49732.42567179979
03/2006,49325.78877573363
04/2006,48554.38786870924
05/2006,46249.16310445621
06/2006,47037.94192448769
07/2006,47888.83165871034
08/2006,48928.74733011804
09/2006,50148.96369325911
10/2006,51505.27356028478
11/2006,50945.23300813356
12/2006,52348.97445157844
01/2007,53979.34398194154
02/2007,52845.76989909839
03/2007,53154.38124677037
04/2007,53934.168548741385
05/2007,55271.098665853664
06/2007,53415.17577679077
07/2007,51200.76194729242
08/2007,51961.09399206891
09/2007,52259.40387096703
10/2007,52547.973894838666
11/2007,50330.19649683107
12/2007,49577.68698887227
01/2008,46598.66235035899
02/2008,45168.77206233443
03/2008,42992.679396131505
04/2008,44973.03295856007
05/2008,45583.970116621305
06/2008,41961.018910371575
07/2008,42433.32659926757
08/2008,44969.698814573414
09/2008,43481.56763413472
10/2008,41026.79091942864
11/2008,39710.22689724815
12/2008,37016.9914786582
01/2009,37314.24082706909
02/2009,34101.66209044278
03/2009,33624.893100657326
04/2009,36152.82207139927
05/2009,36409.73851147627
06/2009,36794.0735644918
07/2009,39312.285701016364
08/2009,40040.9993788902
09/2009,40496.2319758948
10/2009,38981.4279710122
11/2009,40039.51058463792
12/2009,41801.153552081356
01/2010,42069.120351192185
02/2010,43925.38687946807
03/2010,45737.27076655409
04/2010,46188.11772912852
05/2010,46887.200888438034
06/2010,47297.93606742231
07/2010,46597.67250438769
08/2010,48045.92578523008
09/2010,47235.17767636969
10/2010,47768.479142590935
11/2010,49802.17285204095
12/2010,50692.820590297444
01/2011,49320.35632321195
02/2011,50228.12483382878
03/2011,49109.573506709035
04/2011,49015.302328667836
05/2011,51074.65135478444
06/2011,50335.02012073009
07/2011,50506.688992992385
08/2011,49384.30280668812
09/2011,51133.44029964765
10/2011,51486.29199080639
11/2011,53248.48356751359
12/2011,56417.04262028726
01/2012,55935.34486221047
02/2012,56087.32349955247
03/2012,57318.80331520827
04/2012,58451.278813190045
05/2012,59509.60771382143
06/2012,61117.212307282585
07/2012,64042.00630753398
08/2012,62811.19765975482
09/2012,62317.955892485734
10/2012,61469.876108673925
11/2012,61553.94092276264
12/2012,60084.01643808499
01/2013,61222.51169436525
02/2013,64802.95250302546
03/2013,69867.59063787061
04/2013,70510.5268449716
05/2013,67513.08656050838
06/2013,66814.11270876935
07/2013,67937.22752410524
08/2013,66298.09963219975
09/2013,67127.91204869647
10/2013,68866.9651174635
11/2013,69015.63752851289
12/2013,68470.2360956421
01/2014,67960.85152611572
02/2014,69154.95188810972
03/2014,70051.52064661114
04/2014,70819.1930464382
05/2014,73171.0376255866
06/2014,74118.30831126822
07/2014,74829.49059901739
08/2014,78190.82282001605
09/2014,80055.22273489118
10/2014,82866.57362920031
11/2014,84865.81068191469
12/2014,86942.25153309814
01/2015,94729.99289576859
02/2015,98123.62034268188
03/2015,101952.2502630489
04/2015,98868.22534630002
05/2015,100642.59737426767
06/2015,96548.29980743016
07/2015,101685.18275175888
08/2015,95139.31006628687
09/2015,94083.93470380992
10/2015,101380.8356300745
11/2015,104510.13724942702
