Data,IE00B58ZM503
06/2012,9458.306135581257
07/2012,10068.354946737685
08/2012,10197.662946447708
09/2012,10369.978633638208
10/2012,9966.727840718751
11/2012,9970.355601705132
12/2012,9708.873842112844
01/2013,9939.788914868563
02/2013,9532.006808287426
03/2013,9595.008481213066
04/2013,9325.429654059635
05/2013,9114.87987957914
06/2013,8683.917952547665
07/2013,8800.736342123171
08/2013,9098.765463558682
09/2013,8864.822764455648
10/2013,8732.463133245461
11/2013,8661.456332607462
12/2013,8767.448343052363
01/2014,8792.031119366633
02/2014,9338.712815668983
03/2014,9375.659404753442
04/2014,9602.613171328834
05/2014,9324.932842962306
06/2014,9379.163786272075
07/2014,8910.294654213376
08/2014,8815.83769055733
09/2014,8265.591886272625
10/2014,8197.892871282016
11/2014,7862.967736760123
12/2014,7261.984382761607
01/2015,7018.561055702836
02/2015,7198.174879893942
03/2015,6827.348737005757
04/2015,7217.655420704646
05/2015,7021.711569739398
06/2015,7141.812642933968
07/2015,6382.44260995059
08/2015,6322.744516311711
09/2015,6105.669713425531
10/2015,6077.439365647769
11/2015,5635.497855604459
12/2015,5460.727948656743
01/2016,5368.109582255341
02/2016,5280.004140128463
03/2016,5480.8924355789495
04/2016,5946.505565229554
05/2016,5934.532836452026
06/2016,6178.653769325038
07/2016,5862.005514677362
08/2016,5757.7092538645575
09/2016,5936.973643597154
10/2016,5907.099659782193
11/2016,5985.031312921228
12/2016,6091.863143347927
01/2017,6099.161552766436
02/2017,6110.932559346767
03/2017,5947.511592151784
04/2017,5856.753289638576
05/2017,5778.066233353364
06/2017,5766.142911359669
07/2017,5895.590721564615
08/2017,5918.386807941707
09/2017,5908.509568689147
10/2017,6034.435455281942
11/2017,6005.636695005063
12/2017,6184.09191187897
01/2018,6305.791182115882
02/2018,6195.876740292825
03/2018,6156.420554879205
04/2018,6314.474058594243
05/2018,6402.763615605694
06/2018,6177.874589839862
07/2018,6045.065148647189
08/2018,5937.355684603959
09/2018,6050.014720720983
10/2018,5918.661158034919
11/2018,5884.101128245536
12/2018,5478.043644792028
01/2019,5775.56709497959
02/2019,5832.950124913846
03/2019,5821.740393913832
04/2019,5796.135700652616
05/2019,5600.528146051913
06/2019,5749.747339218905
07/2019,5710.459626323696
08/2019,5576.969204594208
09/2019,5641.512209780479
10/2019,5754.668482601812
