Data,IE00B5SSQT16
03/2009,89930.95597935814
04/2009,105159.69672276985
05/2009,115984.72406028367
06/2009,114139.3880965402
07/2009,127005.48314153134
08/2009,125380.56633860162
09/2009,133300.66535608436
10/2009,132045.25261539224
11/2009,135663.1180161483
12/2009,147060.90859350088
01/2010,143240.0059811849
02/2010,147951.92687532128
03/2010,160969.32129288308
04/2010,164942.48473812113
05/2010,162812.3056807297
06/2010,162098.3886716966
07/2010,165481.90375032858
08/2010,166758.0502451182
09/2010,172148.03972705614
10/2010,174468.0152219273
11/2010,181073.82521586312
12/2010,188708.5729739264
01/2011,179175.37099023414
02/2011,175686.274100926
03/2011,181136.87084036702
04/2011,178564.02150703772
05/2011,179673.01878999115
06/2011,176129.42391387693
07/2011,177819.84704249928
08/2011,159842.07583263822
09/2011,146122.60372522208
10/2011,159587.44401275285
11/2011,155412.39772934184
12/2011,159219.2764762087
01/2012,174100.5507588281
02/2012,180873.894271678
03/2012,175972.78283559615
04/2012,175765.61855391925
05/2012,166333.64859407293
06/2012,170243.5996631829
07/2012,177992.44264921302
08/2012,172853.81184216042
09/2012,178774.02486855953
10/2012,176823.86882581652
11/2012,179156.25988096613
12/2012,184952.5048390849
01/2013,182581.134238633
02/2013,186072.70201685315
03/2013,187512.96868838058
04/2013,185115.95456584706
05/2013,181346.41634371007
06/2013,168904.0282528597
07/2013,168230.6990820293
08/2013,165886.39219584205
09/2013,173172.73030755686
10/2013,179779.38409253347
11/2013,177532.63144027593
12/2013,172674.28916911772
01/2014,164764.365504834
02/2014,166575.61483012562
03/2014,172016.75967290907
04/2014,171862.73188731473
05/2014,181056.24099779184
06/2014,185231.63570758383
07/2014,192882.86039822522
08/2014,200140.13061041452
09/2014,194233.29531668266
10/2014,197447.62426340868
11/2014,195988.01289472712
12/2014,192292.56185006036
01/2015,207743.23543128892
02/2015,215413.40172906045
03/2015,221861.77709376853
04/2015,229237.24853328583
05/2015,224988.62020684837
06/2015,214995.95262088103
07/2015,204251.02150434512
08/2015,181713.01026866498
09/2015,176477.39266873433
10/2015,192248.3460110416
11/2015,192387.83966647426
12/2015,182859.6164651852
01/2016,170467.35226972256
02/2016,170686.1351335946
03/2016,184854.73361983892
04/2016,185579.7345386142
05/2016,182659.77569558067
06/2016,191007.52471693588
07/2016,200506.92967082455
08/2016,205180.68569049725
09/2016,207314.22675279176
10/2016,211882.89878727417
11/2016,208027.46752224752
12/2016,210465.16340252306
01/2017,217549.56159250485
02/2017,227541.8556071078
03/2017,231262.68158012963
04/2017,231175.93070206308
05/2017,231856.17468777258
06/2017,230396.43103717908
07/2017,237723.8490278447
08/2017,241070.6217502259
09/2017,240523.15611779582
10/2017,252533.98633894967
11/2017,248516.91592130158
12/2017,254443.4300943153
01/2018,265369.3497133287
02/2018,258172.1471088705
03/2018,251204.95323403855
04/2018,255120.22777255214
05/2018,254104.4747855525
06/2018,244541.2759956942
07/2018,248435.7426612169
08/2018,243524.0648091499
09/2018,243851.87074870802
10/2018,227681.8274749
11/2018,236196.7180258415
12/2018,228223.9552781302
01/2019,247374.59852959402
02/2019,249486.3247688635
03/2019,255651.38497878757
04/2019,261445.2869986517
05/2019,243981.66451944594
06/2019,254156.35669060875
07/2019,256387.2494761767
08/2019,246470.07157063708
09/2019,254617.44210266435
10/2019,259044.22425674
11/2019,262724.2797118013
12/2019,276128.1262084859
01/2020,267568.1029134104
02/2020,255172.0207604126
03/2020,216315.86026592838
04/2020,237876.8549197546
05/2020,234127.02855755328
06/2020,250037.0541784049
07/2020,257617.76477202374
08/2020,261314.4433090904
09/2020,262247.62730589526
10/2020,267887.15569934394
11/2020,285756.7802925151
12/2020,299585.4058142124
01/2021,312246.74830953946
02/2021,315002.49883188924
03/2021,320764.1426324544
04/2021,319038.4258149597
05/2021,323286.4445571705
06/2021,332553.67256548366
07/2021,310143.87555552454
08/2021,319854.19179434044
09/2021,313981.94807243295
10/2021,315288.2963465898
11/2021,309932.1510427026
12/2021,316891.18515776336
01/2022,315614.88869612734
02/2022,305003.814523994
03/2022,300815.38498410955
04/2022,299212.941729852
05/2022,295713.48999571375
06/2022,284941.8445364784
07/2022,289717.26737700927
08/2022,296761.6828241005
09/2022,268858.262144799
10/2022,256149.92315333645
11/2022,281050.2411744019
12/2022,269678.62458623725
01/2023,286478.7434002984
02/2023,273287.79299656546
03/2023,275017.5036791706
04/2023,269293.57446343947
05/2023,272202.49716439244
06/2023,277999.47486319643
07/2023,291251.45434914465
08/2023,277257.10347907565
