Data,IE00B4WXJD03
11/2011,276977.2175115325
12/2011,284492.9364311891
01/2012,306205.5478695614
02/2012,313358.41360225
03/2012,306329.5232888482
04/2012,314248.4100580777
05/2012,295002.95079800737
06/2012,308716.18923232635
07/2012,337262.2761531853
08/2012,329159.3510415099
09/2012,333251.26969114906
10/2012,337466.07767420134
11/2012,343151.3497254368
12/2012,345966.9907307789
01/2013,353833.2222261852
02/2013,373652.762129816
03/2013,381043.48951205343
04/2013,388261.2198365257
05/2013,355031.7100563485
06/2013,331935.22645461786
07/2013,337542.65150966047
08/2013,338226.0250895338
09/2013,354283.1000006763
10/2013,366240.0659725851
11/2013,356633.1023280149
12/2013,347495.2221726602
01/2014,334760.65571051056
02/2014,348671.7739710257
03/2014,357425.2504105708
04/2014,363873.6575620878
05/2014,377387.25920951465
06/2014,376029.2268377962
07/2014,397994.34669960325
08/2014,404738.0228810764
09/2014,383568.91574903927
10/2014,403632.70478274405
11/2014,390134.71536774916
12/2014,391031.61874004273
01/2015,419826.4159783943
02/2015,441086.77045662125
03/2015,454569.089695147
04/2015,453056.05028185016
05/2015,451342.3169141238
06/2015,425776.4019595902
07/2015,429187.207314197
08/2015,370179.77377728204
09/2015,356878.3299530321
10/2015,388635.34227879136
11/2015,400128.4089298993
12/2015,397268.1450704766
01/2016,361065.64796018385
02/2016,361489.3398617126
03/2016,386290.13882210746
04/2016,393450.9051359962
05/2016,393312.5375495111
06/2016,398303.90660562686
07/2016,425352.87757813116
08/2016,418272.1474041238
09/2016,428109.7225625032
10/2016,427135.91675085534
11/2016,439082.32534620864
12/2016,440490.9866803856
01/2017,456042.35116949264
02/2017,476950.12129952706
03/2017,484790.62330766296
04/2017,476208.8389618873
05/2017,459119.58530155465
06/2017,460629.25556757906
07/2017,467296.1285435179
08/2017,464461.5995545686
09/2017,460993.02859618096
10/2017,473959.0995454574
11/2017,473338.5970101016
12/2017,485078.0310205935
01/2018,484772.8172580339
02/2018,478019.0225219404
03/2018,453939.1036508901
04/2018,477231.4828749523
05/2018,494171.0359039287
06/2018,487736.66846967116
07/2018,493658.2532129799
08/2018,488135.57774457044
09/2018,487855.8147796928
10/2018,455050.5472163275
11/2018,466362.3696516032
12/2018,453550.65788809507
01/2019,484369.94618655764
02/2019,505582.2424772025
03/2019,518198.40402574494
04/2019,527604.0908339625
05/2019,515858.83035522787
06/2019,537372.1347492109
07/2019,544200.9539419396
08/2019,517973.81020285183
09/2019,531710.2955634462
10/2019,534434.2907710605
11/2019,543655.8730267227
12/2019,544561.8698499193
01/2020,544109.2867149531
02/2020,505487.007970592
03/2020,403699.09734296304
04/2020,454144.05034872465
05/2020,441542.17014927435
06/2020,474157.31556337856
07/2020,459380.58572839043
08/2020,481956.63715941395
09/2020,461845.8641867914
10/2020,459399.8462969782
11/2020,514314.6069926144
12/2020,528485.0191734745
01/2021,537844.3088317425
02/2021,553818.1863848254
03/2021,577915.8532219123
04/2021,584216.4057803989
05/2021,590619.4582088335
06/2021,596603.8304018556
07/2021,587061.4109170915
08/2021,593724.1721283145
09/2021,584652.2366634246
10/2021,599824.7993922154
11/2021,575691.4563046544
12/2021,596430.745511046
01/2022,571286.615969051
02/2022,584878.7870251328
03/2022,630622.664546895
04/2022,624602.5789951743
05/2022,611761.9425231977
06/2022,578275.0203394084
07/2022,611305.0797055591
08/2022,612299.0676544938
09/2022,561049.9748370589
10/2022,554072.7531173053
11/2022,606743.0976624516
12/2022,592649.837222494
01/2023,633543.4987566075
02/2023,604237.9264386515
03/2023,592994.8756480466
04/2023,588054.7094226318
05/2023,568155.4502095622
06/2023,582116.5775697235
07/2023,598601.19602411
08/2023,571347.9465247603
09/2023,567935.6049268482
10/2023,541038.2801329566
11/2023,561821.9833763214
12/2023,605793.9421199749
01/2024,595883.6943762351
02/2024,599350.3620987808
03/2024,607681.1714856676
04/2024,605248.4863723849
