Data,IE00B5SG8Z57
07/1998,96560.88487366842
08/1998,83186.82547805717
09/1998,86573.62294368692
10/1998,99501.5907722799
11/1998,107168.60443771428
12/1998,105273.44645239112
01/1999,109488.0444336533
02/1999,111974.85626631
03/1999,123957.15647075814
04/1999,146438.28198359555
05/1999,137903.1473469026
06/1999,151155.43424103005
07/1999,144654.95187528676
08/1999,142982.7609423061
09/1999,139165.12727764202
10/1999,144633.81090984755
11/1999,162195.9925851218
12/1999,176154.22480186517
01/2000,167947.11712139446
02/2000,168764.5757159573
03/2000,173110.00707779915
04/2000,174542.57876625046
05/2000,154629.2201959841
06/2000,168187.67169410794
07/2000,173071.57644793557
08/2000,181827.2788454287
09/2000,172616.05850506143
10/2000,169932.8580368274
11/2000,163980.6239727093
12/2000,161046.62328618756
01/2001,166247.41985586123
02/2001,161417.10826768962
03/2001,149880.11405219042
04/2001,157690.28502327847
05/2001,163544.9882744628
06/2001,163622.8712371303
07/2001,154018.8037301652
08/2001,144583.0578286403
09/2001,123687.8792650382
10/2001,132380.51324694138
11/2001,147299.35397817692
12/2001,153773.92829820825
01/2002,158969.2034687788
02/2002,156536.30739485213
03/2002,162176.79102288996
04/2002,157839.79375732475
05/2002,154793.32604248993
06/2002,138091.36696199307
07/2002,132256.56445240177
08/2002,132186.26474418663
09/2002,123309.84804728023
10/2002,130081.5232274349
11/2002,132476.86960784314
12/2002,121567.77321157543
01/2003,118907.79682357232
02/2003,117808.96823866607
03/2003,117967.08635297584
04/2003,121753.823434274
05/2003,120500.67765542043
06/2003,129351.97524827845
07/2003,132829.55281691937
08/2003,143988.29083221362
09/2003,140892.1255127245
10/2003,151244.91908355046
11/2003,146341.79141829978
12/2003,148189.67606534503
01/2004,155005.2952004365
02/2004,160637.4047621065
03/2004,162665.90781296522
04/2004,157743.89626929417
05/2004,154912.55197075426
06/2004,155880.8513925242
07/2004,158786.52751975422
08/2004,162735.51312205393
09/2004,167387.5098191243
10/2004,169438.98851517125
11/2004,175597.64527530095
12/2004,177753.42025463458
01/2005,185174.4785450998
02/2005,190563.45180492694
03/2005,187898.8172377018
04/2005,187763.16144953933
05/2005,197242.90496763654
06/2005,210945.3554949222
07/2005,218575.2775012809
08/2005,216697.70034570957
09/2005,231975.19248821336
10/2005,218442.62227819077
11/2005,230965.14240825133
12/2005,235348.75151324988
01/2006,243737.34400241854
02/2006,247142.0020805802
03/2006,244586.66546460614
04/2006,255186.9283105576
05/2006,234001.70582164553
06/2006,238568.46252710436
07/2006,240396.21450213957
