Data,IE00B3F81G20
12/2019,28837.114215474994
01/2020,28126.48124908927
02/2020,26305.10255616973
03/2020,20260.01279870165
04/2020,23247.15641483171
05/2020,23230.124518668315
06/2020,25177.934448623517
07/2020,26005.576903373058
08/2020,26858.65008152852
09/2020,26930.790280178033
10/2020,26791.058218984672
11/2020,29833.6038353905
12/2020,31372.948493567437
01/2021,31730.551559439282
02/2021,33646.72568785033
03/2021,35303.69553118435
04/2021,36317.04421008087
05/2021,36855.45729882665
06/2021,38720.0718238054
07/2021,38183.48567858535
08/2021,38816.81892839115
09/2021,38874.35945532242
10/2021,38726.148620775995
11/2021,38502.77395925655
12/2021,40255.43229412515
01/2022,39040.382558881094
02/2022,37903.919810982
03/2022,39246.57247904455
04/2022,39253.371483834686
05/2022,37974.38807212164
06/2022,35047.38007183132
07/2022,36711.863920710835
08/2022,38367.158340518276
09/2022,35402.12923486905
10/2022,34766.06069880855
11/2022,36334.21882559294
12/2022,34985.98812630766
01/2023,36471.17080237882
02/2023,36128.7079400686
03/2023,35600.159076750926
04/2023,35480.41220590499
05/2023,36865.60955992614
06/2023,37888.97740837731
07/2023,39804.645975122
08/2023,39818.990850439965
09/2023,39992.30181754171
10/2023,37949.53724785245
11/2023,40401.818392038134
12/2023,41733.712589078474
01/2024,41799.99021068241
02/2024,42972.65667019926
03/2024,43052.70607143487
04/2024,44274.57376063074
