Data,DE000ETFL250
11/2020,99171.50157224426
12/2020,101002.83704958159
01/2021,99998.93637813331
02/2021,101806.2203581058
03/2021,108819.40331475144
04/2021,111205.54218559977
05/2021,113555.52818557947
06/2021,116078.60581185788
07/2021,117589.34383801452
08/2021,119938.17561970443
09/2021,116222.30724542968
10/2021,122535.75280715051
11/2021,119561.33879732584
12/2021,127079.86006781709
01/2022,124787.73936583551
02/2022,121549.35433608742
03/2022,124413.0993397383
04/2022,125366.12064517767
05/2022,124406.57466463171
06/2022,116906.38379192147
07/2022,124197.32940183576
08/2022,119096.05978408878
09/2022,113446.75044393634
10/2022,120656.45473251038
11/2022,129414.23653601734
12/2022,124556.52740396664
01/2023,131510.2720309323
02/2023,133214.77488318246
03/2023,135371.64225078226
04/2023,139660.6034010661
05/2023,136311.93281155927
06/2023,139104.7677259305
07/2023,140926.2960153712
08/2023,138217.5146190539
09/2023,136781.09584160006
10/2023,133021.64059595548
11/2023,139215.61669429447
12/2023,143136.2565320482
01/2024,147396.04167333996
02/2024,149998.48446557124
03/2024,155924.03108769507
04/2024,155659.43143794007
