Data,IE00B4JY5R22
04/2000,57618.87382546717
05/2000,55105.08180503666
06/2000,54959.97697708343
07/2000,55924.05719063962
08/2000,61636.48080100839
09/2000,59311.90784763598
10/2000,61493.6477197933
11/2000,54894.145856598676
12/2000,51472.65469466355
01/2001,53359.53125759382
02/2001,48721.638722963005
03/2001,47776.856658604556
04/2001,51226.81080446559
05/2001,53970.13876155289
06/2001,52648.03627944131
07/2001,50483.997910377046
08/2001,45233.13184213989
09/2001,41696.23099641155
10/2001,42902.97381343769
11/2001,46934.68329461894
12/2001,47795.06975194822
01/2002,48049.75025253429
02/2002,47039.224574324864
03/2002,48392.4749187717
04/2002,44017.685718132365
05/2002,41922.309031670404
06/2002,36634.379698325785
07/2002,34435.68962794095
08/2002,34480.06865889323
09/2002,30643.17566951836
10/2002,33321.90728177908
11/2002,35054.011229357195
12/2002,31227.21084696663
01/2003,29479.249452990396
02/2003,29123.84003260177
03/2003,29096.99276203075
04/2003,30821.38943204261
05/2003,30543.962752640793
06/2003,31998.060888249427
07/2003,32870.7598529148
08/2003,34705.768220478436
09/2003,32195.215128511616
10/2003,34099.2091911828
11/2003,33326.910822994294
12/2003,33303.216560258545
01/2004,34582.91228009041
02/2004,34962.11714105543
03/2004,34975.62748433485
04/2004,35219.232581587
05/2004,34962.309814726024
06/2004,35762.70307964554
07/2004,34906.58616149758
08/2004,34833.895024543934
09/2004,34360.06120801253
10/2004,33981.19945249099
11/2004,33866.83128582115
12/2004,34175.77358777069
01/2005,34836.28003981196
02/2005,34968.22637273718
03/2005,35119.794221972355
04/2005,34466.784750266044
05/2005,37363.43305368794
06/2005,38150.09189488777
07/2005,39559.52434542464
08/2005,38854.896975877295
09/2005,39670.87175698572
10/2005,39064.8896565067
11/2005,41411.21961260165
12/2005,41320.75576536405
01/2006,41284.73614983098
02/2006,42237.343354926496
03/2006,41947.35809571581
04/2006,41035.74432624902
05/2006,38823.01306559469
06/2006,39343.4759589309
07/2006,39412.50238710766
08/2006,40080.25565391572
09/2006,41727.059425596504
10/2006,42957.994403705816
11/2006,42096.671896109736
12/2006,42777.76129814106
01/2007,44142.02018236244
02/2007,42429.739020686124
03/2007,42552.89128110132
04/2007,43493.62398164808
05/2007,45513.01464256671
06/2007,44577.35886306479
07/2007,42551.618276472145
08/2007,43189.040080409635
09/2007,43299.616402122
10/2007,43165.506756934956
11/2007,40474.23505232604
12/2007,40296.237619054504
01/2008,37493.27671481163
02/2008,35558.999139422755
03/2008,33955.57114655148
04/2008,36227.22338896409
05/2008,36766.44730758241
06/2008,33114.33836343489
07/2008,33152.546903632
08/2008,35626.28364946873
09/2008,33426.22811094853
10/2008,31177.617845600038
11/2008,29003.752697652264
12/2008,26801.35272588373
01/2009,26646.51319174399
02/2009,24128.93199440111
03/2009,24929.368477545813
04/2009,27379.292203493675
05/2009,27218.605461551113
06/2009,27198.869092470093
07/2009,29243.429575423892
08/2009,30010.109131296227
09/2009,30336.54575900418
10/2009,29452.368645568637
11/2009,30750.91274603209
12/2009,32682.500813618815
01/2010,32494.270381642207
02/2010,34473.27260431452
03/2010,36794.956954958354
04/2010,37830.34561071312
05/2010,37654.646704684215
06/2010,35782.201262039765
07/2010,36058.64416904491
08/2010,35370.19735187092
09/2010,35788.53365992138
10/2010,36584.379034985766
11/2010,39001.26223048384
12/2010,40468.1571917623
01/2011,40422.40407543572
02/2011,41371.69857599811
03/2011,40294.9647049394
04/2011,39658.76260753042
05/2011,40498.29582209489
06/2011,39629.44682045105
07/2011,39342.83423288066
08/2011,36710.133929752075
09/2011,36517.32659037959
10/2011,39061.76018329277
11/2011,40662.761065944556
12/2011,42592.98624280775
01/2012,43694.52610486644
02/2012,44671.663908970695
03/2012,46435.207995809615
04/2012,46632.39200678448
05/2012,46688.25074774146
06/2012,47882.49586974921
07/2012,49749.28144816364
08/2012,49542.885820021584
09/2012,49561.48612359472
