Data,DE000A2T5DZ1
10/2001,66035.02667826248
11/2001,65235.39580700398
12/2001,65442.828974379045
01/2002,66786.14067078505
02/2002,70198.30563493598
03/2002,71242.68840561637
04/2002,72817.96257724789
05/2002,77132.53554347607
06/2002,75184.86344717791
07/2002,71881.60997999743
08/2002,73772.24084072547
09/2002,76309.75121330592
10/2002,74672.36484271288
11/2002,75145.37504095663
12/2002,80693.58560078299
01/2003,86484.1626006671
02/2003,81726.85708084816
03/2003,78726.32003194785
04/2003,79137.60069296767
05/2003,84894.83764297994
06/2003,81239.090694591
07/2003,83256.9898771243
08/2003,88112.85260077908
09/2003,90982.1458326829
10/2003,90530.84625054481
11/2003,93326.15459207924
12/2003,97712.08382173532
01/2004,93569.94330161801
02/2004,92614.95933150678
03/2004,99089.20180501779
04/2004,90812.51370919816
05/2004,91881.96838721483
06/2004,92436.42320363357
07/2004,91367.23645923541
08/2004,95026.097436551
09/2004,96943.35832859656
10/2004,99208.7419911803
11/2004,105656.78625950344
12/2004,102020.54527472868
01/2005,98282.79666267821
02/2005,101335.0071528798
03/2005,99439.33565246756
04/2005,101301.96234288649
05/2005,96315.66794528929
06/2005,101536.04860906016
07/2005,99608.769664163
08/2005,100550.74588348473
09/2005,109788.89062796268
10/2005,109159.51261805194
11/2005,114884.30876448902
12/2005,118854.08314888582
01/2006,131717.0025844715
02/2006,128704.95317207421
03/2006,134665.6128900423
04/2006,148950.8346686793
05/2006,150965.41783658476
06/2006,141765.5783379992
07/2006,146092.2418365849
08/2006,143947.71743996514
09/2006,138284.33287101588
10/2006,139260.53545592492
11/2006,149104.68394636846
12/2006,146501.40078105425
01/2007,149846.23609385142
02/2007,152934.67528681867
03/2007,152301.73249918065
04/2007,155742.9835281884
05/2007,151555.02709526903
06/2007,149509.32280717825
07/2007,152889.60678194987
08/2007,154314.0933771289
09/2007,170548.67082941893
10/2007,181145.5621423074
11/2007,179687.3862557413
12/2007,191761.51285605418
01/2008,211562.0238097731
02/2008,222523.27110086917
03/2008,213719.1888436622
04/2008,199314.01756248128
05/2008,202599.62104108403
06/2008,212687.03787413685
07/2008,209790.55879152438
08/2008,190271.10130011223
09/2008,201948.93874865177
10/2008,166753.8793264351
11/2008,185790.21523446921
12/2008,197225.83108554577
01/2009,209563.44685365236
02/2009,216876.22543714536
03/2009,208691.3349140404
04/2009,201026.24335954638
05/2009,221931.72941294787
06/2009,212504.12983647437
07/2009,213431.7973432316
08/2009,217086.15202927627
09/2009,226133.11801667511
10/2009,236080.45725716575
11/2009,266789.5307366502
12/2009,250388.67695293916
01/2010,244492.5679339082
02/2010,251126.77798536973
03/2010,252656.60345537006
04/2010,266982.04601185623
05/2010,273257.70040222566
06/2010,281394.6980516875
07/2010,264302.9560051876
08/2010,281593.1964178419
09/2010,295252.34222543164
10/2010,304099.0353687989
11/2010,312260.4195385825
12/2010,318157.46376840735
01/2011,299232.79398489697
02/2011,318039.7780329777
03/2011,324207.86763458035
04/2011,345803.50239625527
05/2011,345873.0966178951
06/2011,338739.21357137134
07/2011,366261.9209247851
08/2011,407704.9970555088
09/2011,364019.50778850407
10/2011,386775.4457966828
11/2011,391991.99539376324
12/2011,353312.37608058384
01/2012,391188.60160893976
02/2012,396844.50689981686
03/2012,372563.7887407909
04/2012,369875.02669099503
05/2012,348820.8637835275
06/2012,357731.44573194487
07/2012,362829.57760714006
08/2012,368594.1611446824
09/2012,396936.48639937205
10/2012,384018.34936970164
11/2012,385409.3156590751
12/2012,371391.51439236884
01/2013,371391.7822227879
02/2013,354213.919537254
03/2013,356228.64081547555
04/2013,327260.2341727522
05/2013,310516.0389217856
06/2013,265285.23615449556
07/2013,292428.8120171234
08/2013,310149.94797098095
09/2013,294833.6578207827
10/2013,294145.32180438866
11/2013,278239.30244574626
12/2013,266678.08192967286
01/2014,277544.81425058126
02/2014,294170.2256196752
03/2014,286331.54269301734
04/2014,285482.2928688443
05/2014,276934.47998605133
06/2014,291093.96499512775
07/2014,284377.38681080006
08/2014,284360.0481428569
09/2014,268916.56340379594
10/2014,257245.29165075882
11/2014,261217.17386821815
12/2014,264743.74651099887
01/2015,278090.835329068
02/2015,267760.02007588814
03/2015,261684.40406187132
04/2015,260078.55026924514
05/2015,262418.5162649852
06/2015,257807.11105184868
07/2015,241707.49728623556
08/2015,249652.7114331015
09/2015,244921.2426556041
10/2015,251043.98790725853
11/2015,233251.24498963036
12/2015,233223.16104770725
01/2016,243997.2010982072
02/2016,270903.1025332745
03/2016,271241.8783910173
04/2016,281787.49730137835
05/2016,265540.07656503964
06/2016,289223.01676116994
07/2016,293746.2747747611
08/2016,286445.5416345153
09/2016,289215.5553486525
10/2016,278041.6385603849
11/2016,257391.27622175906
12/2016,253124.33033741478
01/2017,264737.4337400865
02/2017,273960.9487980002
03/2017,271492.11030256504
04/2017,276080.7309825312
05/2017,275901.9957134449
06/2017,270559.1912627463
07/2017,275947.7214048607
08/2017,285445.9576840409
09/2017,279083.0669896295
10/2017,276140.76562186383
11/2017,278201.45263319724
12/2017,281618.4301391132
01/2018,292037.4594878598
02/2018,286000.3745160984
03/2018,287173.79693139327
04/2018,284734.3364930508
05/2018,282904.13130703365
06/2018,270878.5314163784
07/2018,264366.2032916174
08/2018,260241.52593132097
09/2018,256834.7410051774
10/2018,262711.4351766048
11/2018,263155.41901567933
12/2018,276891.2657264632
01/2019,285754.0454973816
02/2019,284740.06672930584
03/2019,279485.4684869659
04/2019,276533.3455123447
05/2019,279266.3232936836
06/2019,303595.72224343766
07/2019,307456.0528182618
08/2019,329038.08772214013
09/2019,319611.335957682
10/2019,324986.9552564973
11/2019,313914.2494124587
12/2019,327284.9631915205
01/2020,340289.2540633509
02/2020,345645.7939954274
03/2020,345297.01723904983
04/2020,365272.0666071929
05/2020,370674.45977901475
06/2020,378955.9548290026
07/2020,420965.46645146055
08/2020,419158.49966334295
09/2020,403883.29888092045
10/2020,402620.61936009536
11/2020,376915.2804035879
12/2020,404235.6457172058
01/2021,398218.17670900596
02/2021,372196.8879226867
03/2021,360967.1743500056
04/2021,377155.57768646954
05/2021,405214.11718937795
06/2021,375855.58660468564
07/2021,389031.0676026543
08/2021,386533.43008430675
09/2021,371014.0159588479
10/2021,376456.5497368831
11/2021,383787.97428030224
12/2021,386954.59090457874
01/2022,381497.33316770376
02/2022,405678.5875844717
03/2022,412356.9995101488
04/2022,405621.3714428741
05/2022,390031.46906019736
06/2022,385252.87507173885
07/2022,371594.6005159518
08/2022,363480.08197654656
09/2022,353964.196096272
10/2022,346870.6652080868
11/2022,370946.8437969834
12/2022,383229.43112329266
01/2023,406644.71923267003
02/2023,385473.2054748326
03/2023,418066.8663782237
04/2023,418480.5903920953
05/2023,414461.1360892363
06/2023,403271.7023679301
07/2023,415406.12363999354
08/2023,409243.11009619234
09/2023,393930.6722098517
10/2023,420373.47128617315
11/2023,428299.58056301065
12/2023,433777.667288112
01/2024,431657.97855986195
02/2024,430370.52828662377
03/2024,465122.5996187981
04/2024,484374.35925565404
