Data,IE00B0M63060
05/2022,14309.840782026198
06/2022,13197.295888402277
07/2022,13852.721216278642
08/2022,13151.652252338432
09/2022,11644.327208018018
10/2022,12495.57426541167
11/2022,13448.10934824188
12/2022,12978.289908452416
01/2023,13871.986122496986
02/2023,13996.829279172354
03/2023,13298.757055699432
04/2023,13722.667501915388
05/2023,13012.303107693
06/2023,12935.629232226007
07/2023,13490.341572080159
08/2023,13021.670588349254
09/2023,13229.744233905398
10/2023,12620.241840021174
11/2023,13509.523516033258
12/2023,14099.1006686763
01/2024,14105.923281952171
02/2024,13805.963283426745
03/2024,14698.762989679737
04/2024,14878.419974623468
