Data,DE000EWG2LD7
09/1985,25292.409438325343
10/1985,23693.374261566725
11/1985,23251.921244542944
12/1985,22824.636657297786
01/1986,23962.68621895355
02/1986,22211.35901466402
03/1986,21975.065397673483
04/1986,22205.566156247958
05/1986,21660.58244312305
06/1986,21975.66992880594
07/1986,21995.89686088635
08/1986,22962.3616444055
09/1986,25066.436618882402
10/1986,23491.23678584884
11/1986,23054.67670235366
12/1986,22811.849661754164
01/1987,21972.86855363746
02/1987,21876.441399272655
03/1987,22658.99777959963
04/1987,24080.00880249768
05/1987,23673.606823534752
06/1987,23903.51662046848
07/1987,25076.419944572124
08/1987,24777.008132197367
09/1987,24458.964611818283
10/1987,24776.54464341214
11/1987,24459.433097532594
12/1987,23430.1529055837
01/1988,22291.87354624758
02/1988,21343.38999581083
03/1988,22577.96762241502
04/1988,22054.62445907282
05/1988,22596.091715560713
06/1988,22462.376491737694
07/1988,23609.467260561552
08/1988,23640.287395941225
09/1988,21766.34642428315
10/1988,22069.439652358757
11/1988,21720.74820818288
12/1988,21103.982861267235
01/1989,21077.36682161675
02/1989,20960.486080743918
03/1989,20893.94070155127
04/1989,20700.704023503244
05/1989,20689.67673414205
06/1989,21715.26962914365
07/1989,20507.18556580162
08/1989,20344.315772706414
09/1989,21041.373661415808
10/1989,20735.912916502828
11/1989,22228.482882156124
12/1989,20940.817162226685
01/1990,21039.90637371306
02/1990,20394.19537887914
03/1990,18756.62164649219
04/1990,18479.218534744406
05/1990,17945.62948570064
06/1990,17527.307453833553
07/1990,17968.547171358437
08/1990,17891.009839839593
09/1990,18875.25251372799
10/1990,17025.670166359145
11/1990,16924.312751204674
12/1990,17398.15190534279
01/1991,16326.2676787109
02/1991,15910.053066770086
03/1991,16980.720978249083
04/1991,17991.559217838716
05/1991,18367.343223405784
06/1991,19472.72876965968
07/1991,19206.96438577703
08/1991,17984.553868636813
09/1991,17865.922185883075
10/1991,17970.540106264747
11/1991,17726.6970904611
12/1991,16559.33544626779
01/1992,16709.04484392502
02/1992,17029.74749766782
03/1992,16920.488088295642
04/1992,16505.35665804677
05/1992,16245.230458246428
06/1992,16056.196795039763
07/1992,15935.890177540781
08/1992,14759.201138169436
09/1992,15499.872306340927
10/1992,15693.59011649384
11/1992,16472.805003392634
12/1992,16398.1174304524
01/1993,16595.33730050206
02/1993,16862.124790719892
03/1993,17472.728761287246
04/1993,17702.648119623173
05/1993,18905.842257200824
06/1993,19509.11922873655
07/1993,21588.608135724902
08/1993,20118.327547638575
09/1993,18483.961167951293
10/1993,19442.675721198793
11/1993,20035.069175897657
12/1993,21092.565767963875
01/1994,20680.821111153444
02/1994,20800.25264659474
03/1994,20778.63547032893
04/1994,20156.20786896865
05/1994,20307.173680174263
06/1994,20010.924421006574
07/1994,19181.894675757965
08/1994,19291.44989390112
09/1994,19534.93861777924
10/1994,18627.783192182917
11/1994,18867.838430851967
12/1994,19223.567365669274
01/1995,18456.52714738844
02/1995,18327.539687253364
03/1995,18345.454866712917
04/1995,17891.18013875589
05/1995,17913.56451567045
06/1995,17891.22122417084
07/1995,17514.280601098464
08/1995,17997.49472150238
09/1995,18307.057423472346
10/1995,17958.905783051185
11/1995,18239.94205476106
12/1995,18476.249466632842
01/1996,19612.142439814943
02/1996,19486.515371956804
03/1996,19265.07505678307
04/1996,19181.782169337417
05/1996,19377.2569685852
06/1996,18806.06393785645
07/1996,18680.299702198605
08/1996,18566.196748302063
09/1996,18366.09344389645
10/1996,18447.53158968033
11/1996,17817.2771932269
12/1996,18125.788892647866
01/1997,17407.098302078888
02/1997,18854.259827772938
03/1997,18517.30116300079
04/1997,18190.22801821469
05/1997,18425.089978114105
06/1997,18036.36409540982
07/1997,18083.813106807775
08/1997,18542.630858497232
09/1997,18430.92332451944
10/1997,16968.42597516041
11/1997,15840.027527478991
12/1997,15850.854035227854
01/1998,17092.93806286771
02/1998,16638.47693046353
03/1998,16901.94954455718
04/1998,17328.47796843245
05/1998,16125.37085834961
06/1998,16391.844766421764
07/1998,16017.502033224044
08/1998,15098.933802743439
09/1998,15471.228616754865
10/1998,14821.105152829512
11/1998,15375.180404150711
12/1998,14901.25490429285
01/1999,15278.446227899381
02/1999,15877.235681917078
03/1999,15854.008045501607
04/1999,16482.130942051506
05/1999,15655.269278425856
06/1999,15400.83919990673
07/1999,14566.015845457918
08/1999,14686.60111872866
09/1999,17085.607955889078
10/1999,17437.955737820062
11/1999,17585.016271371183
12/1999,17607.55943016103
01/2000,17633.545074354854
02/2000,18422.646312866513
03/2000,17655.009685138004
04/2000,18450.444182523894
05/2000,17834.66580863147
06/2000,18376.49120971112
07/2000,18247.139188804864
08/2000,18954.711847834453
09/2000,19026.707439585178
10/2000,19150.86776551032
11/2000,18884.869641248417
12/2000,17857.03019120935
01/2001,17345.620787937198
02/2001,17574.998756009376
03/2001,17781.789570507826
04/2001,18067.83804990682
05/2001,19224.189660210322
06/2001,19446.974661880053
07/2001,18508.971864370742
08/2001,18166.953985779575
09/2001,19562.19501203227
10/2001,18787.56437509903
11/2001,18869.018492770512
12/2001,19120.15787216987
01/2002,19919.02455068278
02/2002,20911.772693933723
03/2002,21054.634149310343
04/2002,20850.878864804465
05/2002,21203.59355953576
06/2002,19458.82626921279
07/2002,18977.947342283238
08/2002,19386.56267634085
09/2002,20007.180617135404
10/2002,19578.94488943429
11/2002,19586.680332801065
12/2002,19918.026406060202
01/2003,20706.694359716123
02/2003,19638.71632169637
03/2003,18730.23287454254
04/2003,18437.139003484586
05/2003,18630.19074980943
06/2003,18452.872446952544
07/2003,19101.735312377277
08/2003,20948.10532649896
09/2003,20293.238427676897
10/2003,20253.8565476217
11/2003,20240.48362676907
12/2003,20133.213692640715
01/2004,19671.960215579267
02/2004,19426.70306591766
