Data,IE0005042456
12/2021,17304.340335940607
01/2022,17681.395518899208
02/2022,17651.080561474682
03/2022,17677.95792995351
04/2022,17955.92857660739
05/2022,17895.069042614257
06/2022,16768.842526581877
07/2022,17761.62310192591
08/2022,17154.94328733621
09/2022,15850.638114321353
10/2022,16738.045880759546
11/2022,17851.322484501485
12/2022,17147.45256799792
01/2023,18017.826112646333
02/2023,18410.791540219165
03/2023,17907.925267047358
04/2023,18490.12463393714
05/2023,17911.94398543659
06/2023,18282.441026335237
07/2023,18724.651472140355
08/2023,18265.420671091306
09/2023,18543.05938328337
10/2023,17671.738294010764
11/2023,18283.573550476707
12/2023,18869.661409050812
01/2024,18949.202095290384
02/2024,18984.70215501389
03/2024,19937.33797961561
04/2024,20485.96419011052
