Data,IE00B4L5YX21
11/2021,16823.774562830105
12/2021,17196.5340368176
01/2022,16563.38398610197
02/2022,16393.78391423621
03/2022,16391.436192904268
04/2022,15780.386493173537
05/2022,15756.906851729984
06/2022,15062.493032410797
07/2022,16196.359357182248
08/2022,16113.773230855651
09/2022,14933.743078176276
10/2022,15028.606178366379
11/2022,15730.831840069708
12/2022,15419.353578479257
01/2023,16056.007103150567
02/2023,15776.281927699249
03/2023,16018.679569292948
04/2023,15930.801080834699
05/2023,16566.44184378907
06/2023,16899.366603783958
07/2023,17192.319967376006
08/2023,17070.373595648365
09/2023,17131.503695506497
10/2023,16332.617196289051
11/2023,17161.36147541794
12/2023,17746.7290409789
01/2024,18783.7391091531
02/2024,19290.08248326335
03/2024,19946.810204974267
04/2024,19144.153913907638
