Data,IE00BCBJG560
01/2012,16430.866963737877
02/2012,16834.333766281456
03/2012,17109.234873063087
04/2012,17169.111942939908
05/2012,16663.124369862075
06/2012,17010.846422324103
07/2012,17406.56173650949
08/2012,17511.028134920653
09/2012,17678.20848955691
10/2012,17487.148458423886
11/2012,17669.94442519549
12/2012,17948.054342321575
01/2013,18491.01266101342
02/2013,19237.603930636084
03/2013,20406.538958386733
04/2013,20234.94856745457
05/2013,20549.037925668516
06/2013,19994.774066067763
07/2013,20965.15339246192
08/2013,20621.75584734341
09/2013,21606.718349595096
10/2013,22044.837153411263
11/2013,22492.423944241364
12/2013,22723.903528207687
01/2014,22751.01751809847
02/2014,23430.417538494145
03/2014,23371.038234555774
04/2014,22875.63107706676
05/2014,23548.706327363656
06/2014,24381.464218110727
07/2014,23881.070040766357
08/2014,24970.516625501623
09/2014,24704.661030676492
10/2014,25237.079743202594
11/2014,25429.892752778047
12/2014,26294.53600198064
01/2015,27722.866132201743
02/2015,29599.70015212954
03/2015,30990.3191399702
04/2015,30005.33534265132
05/2015,31122.587469726128
06/2015,30237.688673370205
07/2015,30708.98882034483
08/2015,28434.713653012142
09/2015,27253.995864211774
10/2015,29299.272344037203
11/2015,30853.212042080835
12/2015,29227.423394694655
01/2016,26871.414583887257
02/2016,27134.254446787676
03/2016,28141.44932810866
04/2016,28757.153046073
05/2016,29757.831570918224
06/2016,29334.34812245593
07/2016,30915.210946815238
08/2016,30905.731943677358
09/2016,31290.2800002095
10/2016,30723.77759128004
11/2016,32945.69460815446
12/2016,34035.36226849276
01/2017,34119.27044216872
02/2017,35360.21341377147
03/2017,35317.55338514439
04/2017,35238.238831198396
05/2017,34549.2713130918
06/2017,34504.077213659424
07/2017,34332.103670369244
08/2017,34023.376709521595
09/2017,35425.80397566119
10/2017,36450.50072455451
11/2017,36581.09136524871
12/2017,36686.60622606875
01/2018,36561.45154764049
02/2018,35791.717604881174
03/2018,35508.03016472969
04/2018,36553.245687626186
05/2018,38754.577838478144
06/2018,38766.405096583585
07/2018,38969.07061154948
08/2018,40112.35449722075
09/2018,39797.77861585466
10/2018,36663.071594491405
11/2018,36761.58164689709
12/2018,33095.963202679115
01/2019,36377.27920604807
02/2019,37976.47749007004
03/2019,38357.59180417038
04/2019,39615.20146983917
05/2019,37254.5732433016
06/2019,38633.505006758896
07/2019,39646.22408881302
08/2019,38690.320371462505
09/2019,40026.35607204277
10/2019,40148.47519218121
11/2019,42095.59325824661
12/2019,42578.853258080526
01/2020,42069.471410435195
02/2020,38457.96619067452
03/2020,30535.24508600569
04/2020,34892.47647123327
05/2020,36489.891973842765
06/2020,37223.972540128954
07/2020,36550.484008669424
08/2020,38335.9664024913
09/2020,38251.97664128048
10/2020,38269.96769225484
11/2020,43117.42416951304
12/2020,45196.827060506206
01/2021,46634.409761431525
02/2021,49016.410132519006
03/2021,51750.61036302823
04/2021,52165.72831307205
05/2021,52097.298411982185
06/2021,53596.56546270262
07/2021,53188.870614410764
08/2021,54740.30271887706
09/2021,54208.3593928802
10/2021,55835.82571294607
11/2021,54440.41608423824
12/2021,56640.927551411376
01/2022,53144.76223319374
02/2022,53047.79675316515
03/2022,54025.892044015476
04/2022,52460.96206415428
05/2022,51520.143774457916
06/2022,47838.14643843891
07/2022,53157.55207700739
08/2022,52442.79905040443
09/2022,48284.422873815674
10/2022,51285.5696221284
11/2022,52020.962895814955
12/2022,48872.673478905155
01/2023,52569.550330948776
02/2023,52532.486745412665
03/2023,49994.714819939996
04/2023,49463.75896329051
05/2023,49446.099813829605
06/2023,51671.5719328905
07/2023,53426.79289087227
08/2023,52122.51070517731
09/2023,50673.01960869809
10/2023,47441.256944029796
11/2023,50380.843828424564
12/2023,54637.61571613676
01/2024,54156.89237013431
02/2024,56019.013776161446
03/2024,58297.77033727538
04/2024,55767.80860351919
