Data,IE00B53L4X51
08/2004,12688.197798673666
09/2004,13100.09981415843
10/2004,13514.547418133321
11/2004,13956.352810866147
12/2004,14559.527507075025
01/2005,14758.715616578633
02/2005,14997.69815678445
03/2005,15206.105748317135
04/2005,14645.975118018114
05/2005,15197.973757996797
06/2005,15686.068843985004
07/2005,16336.509686533413
08/2005,16248.428695723145
09/2005,16852.15081728749
10/2005,15881.752036443262
11/2005,16522.862208259117
12/2005,17300.673250397067
01/2006,17755.90929488868
02/2006,18233.771331928925
03/2006,18363.46127082683
04/2006,18418.50194396582
05/2006,18051.600329877958
06/2006,18245.33627927108
07/2006,18321.254162267913
08/2006,18982.792466381965
09/2006,19246.56336116994
10/2006,19868.796849832885
11/2006,20281.3720068639
12/2006,20862.26713872816
01/2007,21240.636646829542
02/2007,20710.101409214425
03/2007,21014.340437281353
04/2007,22094.91408640906
05/2007,22206.247469202084
06/2007,21774.668158490385
07/2007,20869.55170202966
08/2007,20846.26023353409
09/2007,20685.498032888794
10/2007,21084.048514914968
11/2007,20347.506490995205
12/2007,20121.8806984096
01/2008,17859.92044932664
02/2008,17519.41119291645
03/2008,16486.29602845401
04/2008,17781.267735918045
05/2008,17974.42171819315
06/2008,15960.06094905493
07/2008,15405.112182802624
08/2008,15652.303441242868
09/2008,13943.89399080781
10/2008,11674.933312837196
11/2008,10987.277160665572
12/2008,10694.331400501196
01/2009,9853.264523301728
02/2009,8395.881095819952
03/2009,8719.304200755954
04/2009,10570.864607774283
05/2009,11221.083010766255
06/2009,10838.968779876657
07/2009,11695.909373536346
08/2009,12741.412791137489
09/2009,13392.619609214575
10/2009,12587.611484721267
11/2009,12554.504969453335
12/2009,13306.923578941713
01/2010,12529.347686263278
02/2010,12052.81821921526
03/2010,13067.608250452502
04/2010,12343.53505127757
05/2010,11432.35308232895
06/2010,11358.234911180474
07/2010,12360.737223549928
08/2010,11602.477717169575
09/2010,12108.605230489251
10/2010,12671.211762863993
11/2010,11332.279465116077
12/2010,11962.382252183263
01/2011,13072.209966195573
02/2011,13316.934504401923
03/2011,12875.157982891964
04/2011,13318.288048246071
05/2011,12780.698830831725
06/2011,12296.318104382603
07/2011,11226.321324786437
08/2011,9477.521106048804
09/2011,9083.214480742152
10/2011,9812.512747392111
11/2011,9407.66589900753
12/2011,9294.833180058475
01/2012,9747.057981121887
02/2012,10069.3616166139
03/2012,9837.914412876084
04/2012,8990.842748105979
05/2012,8073.70950611717
06/2012,9060.710332455497
07/2012,8814.866412510808
08/2012,9582.897207916672
09/2012,9620.660956697067
10/2012,9910.125611987487
11/2012,10098.766731051057
12/2012,10393.135228307166
01/2013,11134.748437995897
02/2013,10165.168470041948
03/2013,9790.446315549694
04/2013,10728.74758664117
05/2013,11187.247307857511
