Data,IE00B0M63730
12/1998,27358.92369900481
01/1999,27312.997646852862
02/1999,27703.64025268023
03/1999,31592.49851946907
04/1999,39399.761189488505
05/1999,38111.21169105596
06/1999,45253.337734276596
07/1999,42002.677483604646
08/1999,43152.48982842875
09/1999,39329.608317954735
10/1999,42035.33054192892
11/1999,47833.14429149508
12/1999,51536.58308940005
01/2000,51712.5567113713
02/2000,49343.681941547475
03/2000,52528.597779241434
04/2000,50704.77770821517
05/2000,45465.05367335915
06/2000,46339.3085485375
07/2000,46170.538339078914
08/2000,47287.568383368176
09/2000,42462.21201925953
10/2000,40738.77272283941
11/2000,37492.73759349587
12/2000,34898.906516038776
01/2001,39617.242126369725
02/2001,37855.115380799834
03/2001,35401.135140096354
04/2001,35340.886674787755
05/2001,36760.32053304023
06/2001,35968.158751798524
07/2001,33491.503724278366
08/2001,31485.848853527157
09/2001,26536.39976544414
10/2001,28156.97234574069
11/2001,32542.35289407106
12/2001,35812.783625940196
01/2002,38023.4647409474
02/2002,38044.89743056213
03/2002,40459.2603938039
04/2002,39717.295157653716
05/2002,37351.57041988338
06/2002,33239.67758297797
07/2002,32636.872586810932
08/2002,31734.816198296336
09/2002,28030.821579823933
10/2002,29500.548467978777
11/2002,30774.908021904408
12/2002,27110.882693054653
01/2003,26580.77373338466
02/2003,25479.691629711888
03/2003,24049.566627530636
04/2003,24385.769548459673
05/2003,24937.02904373014
06/2003,27286.940039386493
07/2003,29906.48733768708
08/2003,33232.71013408858
09/2003,31288.891212441133
10/2003,34007.22610519214
11/2003,32435.45392318144
12/2003,32393.810589237273
01/2004,35257.51115191235
02/2004,36450.94665877163
03/2004,36280.492961762895
04/2004,34940.28811967999
05/2004,33405.25816692875
06/2004,33182.782283221066
07/2004,32595.604607771125
08/2004,34086.65862228241
09/2004,34418.04198618673
10/2004,33651.85756567415
11/2004,34994.236709949575
12/2004,35063.500132298126
01/2005,36946.78622595096
02/2005,38440.41550426352
03/2005,37444.86999447176
04/2005,37074.3630060394
05/2005,39861.19019793754
06/2005,41579.48550698062
07/2005,44308.11316963489
08/2005,42498.19783785432
09/2005,45206.96725132969
10/2005,42412.497511226175
11/2005,46400.92519809834
12/2005,48973.57733417029
01/2006,51114.84220446545
02/2006,52007.7550672914
03/2006,51550.062221948676
04/2006,53297.59440589185
05/2006,48400.07608395254
06/2006,48672.92728665944
07/2006,48524.56874270044
08/2006,49617.15955514228
09/2006,51856.11976722675
10/2006,53033.318421010896
11/2006,55032.93618442329
12/2006,57569.61412978842
01/2007,57595.28311706838
02/2007,56888.030359596705
03/2007,57654.172936586416
04/2007,58473.43215042804
05/2007,62442.84690693738
06/2007,65597.71397473046
07/2007,69385.5304882328
08/2007,68620.03320918437
09/2007,74057.79775237844
10/2007,79896.5556499114
11/2007,70857.05884181985
12/2007,70006.96562876427
01/2008,59715.60236055921
02/2008,62602.064409847844
03/2008,56842.1005409642
04/2008,62329.964342925705
05/2008,60906.50846536344
06/2008,53265.187051614295
07/2008,52933.51761995038
08/2008,51859.49183545448
09/2008,44656.8611483548
10/2008,38233.644337622165
11/2008,36222.186278005895
12/2008,36452.1993357747
01/2009,37284.92277886812
02/2009,35467.66475938495
03/2009,38386.29405659403
04/2009,44802.56445032422
05/2009,48061.385235248184
06/2009,47795.42140924385
07/2009,54248.595258534624
08/2009,51836.99900311435
09/2009,54832.955635562095
10/2009,54164.00653585149
11/2009,54401.890312394535
12/2009,59225.81571909466
01/2010,57323.47313571253
02/2010,59212.37990814846
03/2010,63744.86290180248
04/2010,65844.85767995047
05/2010,65208.13125434272
06/2010,66264.1469328691
07/2010,66466.02151511682
08/2010,67523.5738790717
09/2010,69413.60264921123
10/2010,70212.28489186316
11/2010,74202.92892535403
12/2010,75940.04224557811
01/2011,74490.95131272248
02/2011,70669.41326093399
03/2011,72727.92588291442
04/2011,72520.52593560838
05/2011,74120.81314574275
06/2011,71720.40788587306
07/2011,73839.28861139067
08/2011,65844.96554082503
09/2011,60645.56666338888
10/2011,65709.40575847698
11/2011,63410.91613716987
12/2011,66542.15779795939
01/2012,71723.4552343736
02/2012,74574.26941833949
03/2012,72827.36424688308
04/2012,73947.68594264671
05/2012,71366.16186656123
06/2012,72134.3000404383
07/2012,76099.4852321977
08/2012,73619.35539907934
09/2012,76298.56312111385
10/2012,75954.43955818575
11/2012,77920.79814408142
12/2012,79289.51947599859
01/2013,78203.34340846255
02/2013,81180.88735845532
03/2013,81378.37677476474
04/2013,80890.91334439618
05/2013,80367.82740774447
06/2013,75404.10292187287
07/2013,75983.67462122797
08/2013,75677.1772021799
09/2013,77937.4527873296
10/2013,80101.41491086347
11/2013,80614.93540994705
12/2013,78349.60687776172
01/2014,75827.48727053615
02/2014,76735.92879991342
03/2014,77089.45335036392
04/2014,77391.66540460108
05/2014,81517.54148405648
06/2014,82961.87956480256
07/2014,88108.57827187383
08/2014,89821.39106750507
09/2014,88170.23359512647
10/2014,90086.81104875768
11/2014,90489.78337116049
12/2014,91435.25061354422
01/2015,100094.40958807248
02/2015,102531.02381150163
03/2015,108010.01260795105
04/2015,112456.74918352552
05/2015,111377.23227889139
06/2015,104748.04787709058
07/2015,99211.25272265267
08/2015,87350.60376870768
09/2015,85648.2435833102
10/2015,94629.43132277527
11/2015,95312.0030647714
12/2015,91881.7207073242
01/2016,84475.56833078874
02/2016,84501.84861226544
03/2016,89693.04105135359
04/2016,88570.80483747991
05/2016,88985.63289378847
06/2016,91966.69283090968
07/2016,96234.17937342462
08/2016,99518.0864024789
09/2016,101125.56448495072
10/2016,101373.88723551408
11/2016,101799.30248722713
12/2016,100392.96477778135
01/2017,104636.38787453987
02/2017,109444.29650625112
03/2017,111647.18302319096
04/2017,111549.89887428243
05/2017,113649.67778027798
06/2017,113852.76211497874
07/2017,116466.40141051108
08/2017,117318.62955947028
09/2017,117781.15183026507
10/2017,124722.03240786742
11/2017,123383.42276571499
12/2017,124883.07454759971
01/2018,129812.96836012631
02/2018,125978.46294407504
03/2018,123209.98853402158
04/2018,126066.81020843677
05/2018,128714.21940291052
06/2018,122469.0811760957
07/2018,121959.70560580441
08/2018,121278.03482523351
09/2018,121433.00227181333
10/2018,110134.71327558937
11/2018,114885.7820558197
12/2018,110541.79218950533
01/2019,119392.96464423533
02/2019,122859.46416931762
03/2019,125919.20862615989
04/2019,128636.42078065345
05/2019,117012.03615933121
06/2019,123220.02473573173
07/2019,124057.44317279628
08/2019,119617.35690736199
09/2019,123010.92965207125
10/2019,125506.64404853978
11/2019,127823.21426544945
12/2019,134036.6618041841
01/2020,129532.15056600836
02/2020,127281.4618695543
03/2020,113976.88930926679
04/2020,124256.91467060937
05/2020,120083.06074329402
06/2020,129600.26169622813
07/2020,132684.46074676127
08/2020,136293.6061063877
09/2020,136561.7267797019
10/2020,140646.4866469084
11/2020,148208.02547802494
12/2020,153953.9430751198
01/2021,163141.763608289
02/2021,164568.05304677377
03/2021,164788.95772935526
04/2021,164458.3524296206
05/2021,163327.34548607317
06/2021,167566.0713419455
07/2021,153102.89873602876
08/2021,155442.77509996467
09/2021,151017.28395263408
10/2021,152631.48706617375
11/2021,150072.28098407344
12/2021,152018.11319379255
01/2022,149014.435553551
02/2022,145300.35664992672
03/2022,140944.45400696973
04/2022,139785.8997390737
05/2022,139680.14865561193
06/2022,138190.37147985
07/2022,136636.80109932632
08/2022,138214.16942757348
09/2022,121884.59334321172
10/2022,110257.64746463049
11/2022,128484.84721846259
12/2022,126121.34162352348
01/2023,137009.8058806366
02/2023,129622.48307217272
03/2023,131455.53034341554
04/2023,126019.62888045929
05/2023,125971.23866914396
06/2023,126773.21696554724
07/2023,133441.49441583216
08/2023,125415.23531543271
09/2023,123996.21921946356
10/2023,118605.15578550224
11/2023,123224.59572613942
12/2023,124874.17526088424
01/2024,117900.44817001878
02/2024,125472.2954678362
03/2024,129395.88967194251
