Data,IE00BWT3KN65
09/2011,48332.53472455256
10/2011,52635.99255685838
11/2011,52858.85049730641
12/2011,52994.1068900437
01/2012,55761.476160273814
02/2012,57956.93842525305
03/2012,60003.21249806138
04/2012,59771.24724453431
05/2012,56310.35815699845
06/2012,57927.601409581264
07/2012,58515.79255000723
08/2012,60097.99068725801
09/2012,61283.902183612576
10/2012,59036.083936409654
11/2012,59612.37629216583
12/2012,59857.01006493872
01/2013,62873.794098034225
02/2013,63741.23702138028
03/2013,65772.24268329483
04/2013,67149.08636671481
05/2013,68981.52667627572
06/2013,67118.14350450749
07/2013,70007.51612867453
08/2013,68576.31885675289
09/2013,71105.06540791535
10/2013,74453.92377063804
11/2013,77409.02806477707
12/2013,79249.05558055767
01/2014,75946.36728504377
02/2014,79558.27599194006
03/2014,79127.42695279997
04/2014,79839.6595083661
05/2014,81483.92764716996
06/2014,81935.10951757409
07/2014,81245.0118521405
08/2014,84823.9212959347
09/2014,83911.23303748204
10/2014,86294.13701971948
11/2014,88264.92963008127
12/2014,87918.30711661767
01/2015,86385.78196991433
02/2015,91511.07334650175
03/2015,90034.13777557107
04/2015,90274.40532032451
05/2015,91487.16887640854
06/2015,89633.63512107787
07/2015,92235.15764899393
08/2015,87178.04825558717
09/2015,86458.31489024057
10/2015,94427.9110879115
11/2015,94572.14879228151
12/2015,93344.50033005477
01/2016,88966.70245655521
02/2016,88794.52884060837
03/2016,94293.04012831314
04/2016,92966.14064904727
05/2016,94153.22479546137
06/2016,93494.14803022072
07/2016,97901.7115506588
08/2016,97850.34263853102
09/2016,98310.50784568551
10/2016,96244.99211561678
11/2016,98541.38557964009
12/2016,99923.90776782653
01/2017,101647.97247330802
02/2017,106391.7208315508
03/2017,107091.18612550401
04/2017,108946.23872308875
05/2017,111025.26374468887
06/2017,109906.72744221814
07/2017,111576.57590941255
08/2017,112590.87065329116
09/2017,114893.7094129331
10/2017,119682.7607772039
11/2017,123593.42406459246
12/2017,124875.8877247331
01/2018,132252.1814243163
02/2018,128834.5374054623
03/2018,126197.14748612544
04/2018,124263.32189799607
05/2018,128603.59658654679
06/2018,129219.67864622186
07/2018,133801.2012678259
08/2018,139232.84024295968
09/2018,140147.8095431337
10/2018,130184.76193723333
11/2018,131609.72665473315
12/2018,120637.74116958947
01/2019,130285.69242794134
02/2019,136323.9726300702
03/2019,140708.03239583215
04/2019,146948.7829906523
05/2019,136886.0767582157
06/2019,146299.0096392753
07/2019,150034.39964157686
08/2019,147797.56384132217
09/2019,149701.7845719948
10/2019,154160.15287761964
11/2019,160755.66313524716
12/2019,166558.9177830432
01/2020,167461.1453283965
02/2020,154780.41694403425
03/2020,141259.44045502658
04/2020,157776.51029653157
05/2020,166983.94198701598
06/2020,168834.80087452932
07/2020,176481.9511071896
08/2020,190635.17436961824
09/2020,185008.45945592283
10/2020,177671.55300449082
11/2020,196754.13337233177
12/2020,203183.8026457289
01/2021,198042.43483380214
02/2021,202487.97289423383
03/2021,210609.62476819594
04/2021,220304.37437059332
05/2021,222153.4867980765
06/2021,232816.83447657697
07/2021,240954.65704046766
08/2021,248283.82739504724
09/2021,232271.53670636663
10/2021,248315.88588920352
11/2021,247894.52699124507
12/2021,257627.15091683113
01/2022,238296.48609404056
02/2022,225915.4792334517
03/2022,234488.8509432139
04/2022,213525.79771711837
05/2022,212338.8546370636
06/2022,196191.4210307886
07/2022,213265.97078403432
08/2022,200640.59861146103
09/2022,181392.3829289715
10/2022,194244.73095057232
11/2022,208882.72911327166
12/2022,197869.99152083986
01/2023,209014.64925856586
02/2023,204710.26012414802
03/2023,218200.50427114134
04/2023,222566.5375516686
05/2023,229416.09912801845
06/2023,243289.50061707367
07/2023,251978.49855749775
08/2023,251719.23807682193
09/2023,239465.55313415738
10/2023,235727.7134663537
11/2023,255510.05172508516
12/2023,267782.7046904788
01/2024,276094.1044008315
02/2024,295116.93279560877
03/2024,301888.5144872419
04/2024,288577.44662208256
