Data,DE000A0H08Q4
02/2020,64051.05499545323
03/2020,56909.434394077165
04/2020,62587.158241687815
05/2020,67240.65604467067
06/2020,72349.94928002103
07/2020,72307.76248611705
08/2020,75452.45888859779
09/2020,73704.11171670633
10/2020,65588.22614918275
11/2020,74421.35665135644
12/2020,78056.79008665634
01/2021,80564.74882589556
02/2021,82962.27184205946
03/2021,87335.40350343549
04/2021,89808.18843959818
05/2021,89995.66742660925
06/2021,93557.7108075927
07/2021,98181.74801538863
08/2021,104261.69980713837
09/2021,97324.0638711325
10/2021,104425.90576167368
11/2021,101660.53132407588
12/2021,104547.72501967484
01/2022,91904.66966694126
02/2022,86481.85166200504
03/2022,86876.46070769842
04/2022,80840.77214808304
05/2022,78757.82432119951
06/2022,70989.88699530988
07/2022,80337.18714338892
08/2022,73881.4372055712
09/2022,67847.48734130242
10/2022,71234.04620945257
11/2022,81075.68638951116
12/2022,75171.81188297264
01/2023,86286.19076440089
02/2023,85780.11309239273
03/2023,90692.93406696783
04/2023,86610.02137132743
05/2023,92727.15785765338
06/2023,94621.88137794934
07/2023,94996.5060026237
08/2023,90237.42447792417
09/2023,85114.23169672997
10/2023,83686.2206479625
11/2023,96097.18641321507
12/2023,99450.03539803525
01/2024,106976.06248051567
02/2024,111351.82787321742
03/2024,112026.46852310257
04/2024,107098.71069840268
