Data,IE00BCHWNQ94
10/2013,53758.140312929994
11/2013,54173.85148467355
12/2013,54335.36083789586
01/2014,53280.318165570956
02/2014,55119.29593090299
03/2014,55805.56330846832
04/2014,57166.83070224244
05/2014,58822.64420376521
06/2014,59482.59129765744
07/2014,59617.31061549033
08/2014,61358.38041290858
09/2014,62322.48973372232
10/2014,62399.3360769442
11/2014,63480.49207514011
12/2014,63563.52262715474
01/2015,67447.12098785241
02/2015,70678.61452987193
03/2015,71984.47082655135
04/2015,71582.50034542632
05/2015,72676.00006226741
06/2015,68775.22339707053
07/2015,71377.05443170416
08/2015,65625.23875779333
09/2015,64043.58079115992
10/2015,70168.10660185786
11/2015,72017.05653872024
12/2015,68999.85510151331
01/2016,66407.7990602186
02/2016,67126.4506090313
03/2016,68580.29608050334
04/2016,69927.91833650318
05/2016,71579.60378637046
06/2016,72617.4373327744
07/2016,74314.7175641523
08/2016,73813.38491748486
09/2016,74173.7686357826
10/2016,73388.01685900899
11/2016,75463.9883740591
12/2016,78361.69790201924
01/2017,77840.5748054479
02/2017,81443.13341825473
03/2017,81971.6727649828
04/2017,80763.03965433271
05/2017,80917.96679424393
06/2017,79436.35023726523
07/2017,78589.14206280152
08/2017,78102.10670911719
09/2017,80255.60117455995
10/2017,81704.7282100558
11/2017,82088.63237629313
12/2017,81843.01415323668
01/2018,81731.0416253868
02/2018,79255.84730286457
03/2018,77275.40491397136
04/2018,79507.19029487466
05/2018,81168.9997239633
06/2018,81710.76458575294
07/2018,84189.74044130111
08/2018,84886.00076887227
09/2018,86311.31459530834
10/2018,84259.20524210193
11/2018,86111.61389635775
12/2018,79752.22387237607
01/2019,84036.88871108113
02/2019,87205.3630780938
03/2019,89841.63088003038
04/2019,91523.40649874111
05/2019,87905.1062275271
06/2019,91696.94620713432
07/2019,93010.20496997943
08/2019,92496.09281711896
09/2019,96992.46054957005
10/2019,96999.17462735255
11/2019,100015.46064767246
12/2019,100784.49846616237
01/2020,99654.76622708942
02/2020,91212.55771588488
03/2020,80967.37382231081
04/2020,88213.4703188304
05/2020,88036.32432140993
06/2020,88153.73612458886
07/2020,85425.6564335871
08/2020,87578.69703668264
09/2020,87091.08782829504
10/2020,84406.16951500576
11/2020,92135.64166846949
12/2020,92872.47114357035
01/2021,92716.51648958647
02/2021,94053.55385773728
03/2021,103335.80782915234
04/2021,102496.50904081312
05/2021,104478.0344823134
06/2021,106371.75405736371
07/2021,107501.01232014297
08/2021,109214.07030602272
09/2021,107044.3009049495
10/2021,109187.77268156772
11/2021,108516.88423695184
12/2021,117204.18205522749
01/2022,118185.9149813565
02/2022,116209.86383541515
03/2022,120042.5113070722
04/2022,122245.26581720673
05/2022,121665.85510345532
06/2022,117327.95847967056
07/2022,122638.14245332961
08/2022,120074.52777342565
09/2022,113903.7144411358
