Data,GB00B5840F36
06/2005,20618.639491776932
07/2005,20230.58181073206
08/2005,20250.91720671356
09/2005,22402.93797497269
10/2005,22315.140922782124
11/2005,23997.918523513108
12/2005,24774.00253653471
01/2006,26733.57353021764
02/2006,26663.491670789463
03/2006,27376.74467417349
04/2006,29241.20575546452
05/2006,28881.089190941544
06/2006,27458.879101329097
07/2006,28183.817275041718
08/2006,27595.310146991967
09/2006,26916.422219170858
10/2006,27036.044761248202
11/2006,27848.000971767855
12/2006,27430.87669920826
01/2007,28531.83354561862
02/2007,28560.05720657776
03/2007,28220.147251696446
04/2007,28255.572002321696
05/2007,27813.410379547615
06/2007,27339.007767302148
07/2007,27551.54211859265
08/2007,27818.960597601057
09/2007,29724.133753276255
10/2007,30992.291634838166
11/2007,30096.03523318391
12/2007,32212.92598198233
01/2008,35190.63274178266
02/2008,36297.28449712776
03/2008,33447.245458999874
04/2008,31747.144483502347
05/2008,32344.77239546222
06/2008,33411.37912661604
07/2008,33287.58607301767
08/2008,31994.18713515844
09/2008,34991.63200841842
10/2008,32405.30251314682
11/2008,36197.607347567755
12/2008,35147.31297707294
01/2009,40564.16070155559
02/2009,42560.77191002213
03/2009,38920.44368611233
04/2009,37593.56920319404
05/2009,39088.337744831304
06/2009,37341.94666376228
07/2009,37503.3679873824
08/2009,37796.25262236449
09/2009,38382.5703536789
10/2009,39654.99138293731
11/2009,44157.38138812765
12/2009,43229.30398265899
01/2010,43552.279856974856
02/2010,46050.58098652644
03/2010,46655.17538839407
04/2010,49919.25388172534
05/2010,55291.278291460505
06/2010,57118.203679520455
07/2010,50543.887651091834
08/2010,55341.1326731914
09/2010,53921.625857201776
10/2010,54712.304886111735
11/2010,59908.335286057845
12/2010,59390.63992354566
01/2011,54525.39947486178
02/2011,57370.42715160624
03/2011,56960.80723495861
04/2011,58097.846536674384
05/2011,60043.249008063394
06/2011,58542.52575703383
07/2011,64170.34892589796
08/2011,70507.21128963045
09/2011,67386.65736303754
10/2011,69067.69968333101
11/2011,73058.680668652
12/2011,68306.26886671768
01/2012,74284.51924070973
02/2012,73879.0879375557
03/2012,69828.70461202243
04/2012,70086.94576770836
05/2012,70438.37024757256
06/2012,71181.30984695797
07/2012,74012.16330135011
08/2012,73255.47337282804
09/2012,76958.92176870341
10/2012,74111.74384174148
11/2012,74438.20894342256
12/2012,70617.44518999282
01/2013,68778.38919183088
02/2013,67718.28613098389
03/2013,69843.79064120562
04/2013,62869.77777167134
05/2013,59971.11130811084
06/2013,50959.99482709769
07/2013,55360.964412210065
08/2013,58906.739799715215
09/2013,54891.88487772485
10/2013,54230.759011923685
11/2013,51424.43615968458
12/2013,48656.50426193658
01/2014,51681.70587636795
02/2014,53611.72040365657
03/2014,52290.758705235625
04/2014,51914.81055517085
05/2014,51272.71724876491
06/2014,53705.31842250995
07/2014,53573.73430157565
08/2014,54359.61777691327
09/2014,53893.385400628875
10/2014,51810.36249803925
11/2014,52795.71175777865
12/2014,55029.19172059386
01/2015,62093.16937795228
02/2015,60147.37370304592
03/2015,61426.323083951815
04/2015,58580.837587073416
05/2015,60442.73836560372
06/2015,58232.42590996207
07/2015,55715.67387059518
08/2015,56287.47159226739
09/2015,55293.47915355558
10/2015,57646.39093926402
11/2015,55793.27010473292
12/2015,54221.08929905524
01/2016,56567.506632303586
02/2016,63003.61309869804
03/2016,60342.59522036525
04/2016,62604.24017933386
05/2016,60327.32207040233
06/2016,66030.25538581685
07/2016,67012.47209886309
08/2016,65251.56211217559
09/2016,65727.07211471557
10/2016,64445.27981997304
11/2016,61419.911119509336
12/2016,60955.43803302693
01/2017,62497.68074762761
02/2017,65654.93592746682
03/2017,64506.81876280451
04/2017,64177.66092397305
05/2017,62487.59782069414
06/2017,60266.576677945544
07/2017,59829.631191738656
08/2017,61390.32122611218
09/2017,60133.34309652781
10/2017,60373.19690429435
11/2017,59754.722270302525
12/2017,59776.48316784076
01/2018,59692.53760997194
02/2018,59636.5606728664
03/2018,59375.39058954807
04/2018,60065.365024305036
05/2018,61633.13981972634
06/2018,59235.793524933164
07/2018,57441.585002364656
08/2018,56971.97129979868
09/2018,56604.37852369841
10/2018,59233.66828199381
11/2018,59133.82848116625
12/2018,61739.995981076725
01/2019,63520.24786904675
02/2019,63709.578275645836
03/2019,63557.18285774173
04/2019,62996.548557561546
05/2019,64016.78880425758
06/2019,68208.31860358448
07/2019,70511.28207187465
08/2019,76264.56395826263
09/2019,75098.58679157954
10/2019,74564.81041264476
11/2019,73170.88480143194
12/2019,74593.1613116517
01/2020,78852.79288632127
02/2020,80660.5639307531
03/2020,80753.18603129275
04/2020,86072.80447670742
05/2020,85326.39817362058
06/2020,86770.16059522839
07/2020,91119.9131301441
08/2020,90051.40877297832
09/2020,88511.65808824003
10/2020,88331.79163008528
11/2020,80766.14208531722
12/2020,84584.9047764368
01/2021,84273.5449886649
02/2021,78884.63761246011
03/2021,79108.70226929485
04/2021,80232.23811296203
05/2021,85379.4181374884
06/2021,81327.62482746932
07/2021,84148.61352875794
08/2021,84031.59574829487
09/2021,82455.14110562435
10/2021,83210.23682938023
11/2021,86957.05742765986
12/2021,87982.09539832255
01/2022,88084.94255787287
02/2022,93329.70109063512
03/2022,95726.5315407325
04/2022,99200.21304021671
05/2022,93870.3684134034
06/2022,95654.35891814904
07/2022,93996.98003932425
08/2022,93788.41805255841
09/2022,93717.89191624234
10/2022,90323.93947634184
11/2022,92312.41636389366
12/2022,92797.18642963156
01/2023,96970.91473625289
02/2023,93799.0118170693
03/2023,99357.10356443534
04/2023,98518.96132059144
05/2023,100319.51387315714
06/2023,95990.69649899557
07/2023,97493.30426305886
08/2023,97440.89464936296
09/2023,96245.56674844677
10/2023,102487.45936564545
11/2023,101462.8818153755
12/2023,101677.99969317537
01/2024,103195.31745379326
02/2024,103017.05739749987
03/2024,111515.03683671482
04/2024,117165.77484565019
