Data,IE00B52SF786
02/2018,352436.6793116453
03/2018,346244.4379619245
04/2018,361909.8879858033
05/2018,381077.5948228105
06/2018,383367.67099606246
07/2018,390043.29677421716
08/2018,387150.8573572627
09/2018,389383.61825674487
10/2018,367238.0779418709
11/2018,367016.6750484547
12/2018,333768.52210047207
01/2019,376103.9858832887
02/2019,388997.01893459505
03/2019,392762.11132062704
04/2019,405409.0498250977
05/2019,391557.00026744267
06/2019,407071.2870582045
07/2019,413062.5758546096
08/2019,412549.04234112165
09/2019,427687.702286449
10/2019,416702.28669801034
11/2019,433664.6024188484
12/2019,435082.23688992934
01/2020,440519.4777046857
02/2020,411167.83060781326
03/2020,323595.66702549456
04/2020,366390.94815744384
05/2020,369490.8272109085
06/2020,380873.8427926489
07/2020,381639.9194386523
08/2020,398989.228979936
09/2020,387037.03242820845
10/2020,374616.1274249611
11/2020,416317.9542166877
12/2020,421021.7010684587
01/2021,421244.12926604785
02/2021,445270.70112116524
03/2021,483235.2156421359
04/2021,489737.8671286341
05/2021,511381.27048959484
06/2021,524898.0425970998
07/2021,524087.32962591585
08/2021,527674.9806384165
09/2021,525347.7532926274
10/2021,562242.603796713
11/2021,548015.583351865
12/2021,576000.2344813838
01/2022,579847.5213211261
02/2022,578597.329982128
03/2022,614921.1076429416
04/2022,600430.9222815015
05/2022,599385.6465838593
06/2022,554080.5996383335
07/2022,592105.326368569
08/2022,579470.0787312911
09/2022,544076.4878757808
10/2022,570090.0916195412
11/2022,577820.9724964228
12/2022,534629.9562889225
01/2023,574035.0848540344
02/2023,560101.1538042879
03/2023,547542.1122438428
04/2023,558527.0134128401
05/2023,542783.6374744179
06/2023,568756.6087956046
07/2023,578969.3259329852
08/2023,562790.3015401321
09/2023,560339.3779961879
10/2023,527637.1135485858
11/2023,566005.9500094191
12/2023,598019.4981212397
01/2024,605176.406154291
02/2024,609851.0828549647
03/2024,636055.5648041274
