Data,DE000A1EK0G3
11/1987,124586.33860015756
12/1987,123007.28054049617
01/1988,115740.82560857614
02/1988,107635.13084755771
03/1988,115361.5415336022
04/1988,113297.76607401729
05/1988,114882.22944477948
06/1988,110046.34228355295
07/1988,110055.25663387169
08/1988,107720.92618641008
09/1988,99848.59517306581
10/1988,103751.16149063267
11/1988,106266.25585499595
12/1988,103083.35308422969
01/1989,98973.67701295456
02/1989,97166.59937364142
03/1989,96164.73515577152
04/1989,94699.57641142995
05/1989,90702.49710412018
06/1989,93465.71809325444
07/1989,92242.04595155039
08/1989,90067.83835682475
09/1989,91700.74932478568
10/1989,93857.48193356126
11/1989,102026.67848114292
12/1989,100189.20493634071
01/1990,103650.31514255606
02/1990,101763.84038669472
03/1990,91929.30185499605
04/1990,91697.00158174346
05/1990,90479.99089378351
06/1990,87731.44787802233
07/1990,92695.13352872209
08/1990,96496.29442199139
09/1990,101587.85358223488
10/1990,94349.14772792606
11/1990,95632.84619628634
12/1990,97114.06369969026
01/1991,90856.9768404712
02/1991,89993.10324332365
03/1991,88199.61103768798
04/1991,88677.03684661133
05/1991,89290.3042430996
06/1991,91216.04224103279
07/1991,89809.20648248134
08/1991,85941.01214638563
09/1991,87754.13372530974
10/1991,88341.51214971233
11/1991,90485.29923334728
12/1991,87254.18665816612
01/1992,87384.1161416351
02/1992,87094.37421014174
03/1992,84239.6698698237
04/1992,82879.31075673953
05/1992,83121.93089375508
06/1992,84534.15710668982
07/1992,88049.72485274701
08/1992,83614.40470736816
09/1992,85786.61676926835
10/1992,83347.82083216376
11/1992,82066.14437504971
12/1992,81706.56721705884
01/1993,81065.06982997607
02/1993,80326.05880790907
03/1993,82787.55966733667
04/1993,86790.65310328607
05/1993,92418.89161456778
06/1993,92618.30301267777
07/1993,98274.98911858596
08/1993,90839.22896090953
09/1993,86870.54635662977
10/1993,90273.33346776107
11/1993,90546.46892054875
12/1993,95323.4459563101
01/1994,92165.42043348998
02/1994,93010.29837120151
03/1994,94829.40589803275
04/1994,91676.21688412076
05/1994,94346.4829440676
06/1994,94458.31370944167
07/1994,93377.87857380358
08/1994,93757.51801138022
09/1994,95923.19869568844
10/1994,93203.74271021709
11/1994,92975.80784013678
12/1994,92784.47874739511
01/1995,90895.29882709541
02/1995,91214.28681466078
03/1995,94949.84062534933
04/1995,94358.16424603753
05/1995,92992.33082732282
06/1995,93612.0504248928
07/1995,92671.14118638891
08/1995,92383.83758265818
09/1995,92737.0903873241
10/1995,92365.46581782406
11/1995,93563.1787580915
12/1995,93251.78362660857
01/1996,97751.56741991117
02/1996,96522.43686912069
03/1996,95439.04719879266
04/1996,94176.1089010435
05/1996,93949.29943314889
06/1996,91846.35053089279
07/1996,92594.62980144183
08/1996,92825.47012006177
09/1996,90990.33745822364
10/1996,91065.64056533865
11/1996,89053.17689512848
12/1996,88589.66965977823
01/1997,82780.77264378888
02/1997,85878.79314393552
03/1997,83333.96653628169
04/1997,81378.09602114557
05/1997,82641.95289790326
06/1997,79958.9780710565
07/1997,77959.82745299675
08/1997,77682.61310015402
09/1997,79256.09161967065
10/1997,74277.04244982099
11/1997,70758.04114490235
12/1997,68911.38818740437
01/1998,72606.63270623742
02/1998,70796.55552548662
03/1998,71618.73309626187
04/1998,73891.49965891392
05/1998,69788.40222978109
06/1998,70395.87667641098
07/1998,68591.2711711234
08/1998,64888.73930674014
09/1998,69710.43742794472
10/1998,69308.45450945309
11/1998,69843.45171793722
12/1998,68090.87304915935
01/1999,67571.79305449029
02/1999,67929.22708363834
03/1999,66097.31913805088
04/1999,67755.98547568712
05/1999,63467.236880424076
06/1999,61640.235430787514
07/1999,60334.61376589131
08/1999,60116.10851579479
09/1999,70514.85596756205
10/1999,70503.76972724675
11/1999,68642.2775055723
12/1999,68349.36756460041
01/2000,66679.14538885884
02/2000,69082.39802627299
03/2000,65072.63640751126
04/2000,64640.91884946991
05/2000,63951.09462561772
06/2000,67654.53686928106
07/2000,64944.67536571491
08/2000,64971.411510413236
09/2000,64153.71189532596
10/2000,61977.070206020384
11/2000,63024.46023704192
12/2000,63824.899572116934
01/2001,61885.677692577774
02/2001,62369.989663832
03/2001,60234.6003582672
04/2001,61478.86383324068
05/2001,62464.91283263604
06/2001,63158.09336494009
07/2001,62030.059708816814
08/2001,63655.873833556514
09/2001,68311.32751263777
10/2001,64933.2595343509
11/2001,64144.264621405804
12/2001,64345.55557135379
01/2002,65663.66302936613
02/2002,69015.74359900113
03/2002,70039.65702102403
04/2002,71585.41218924495
05/2002,75823.97197984865
06/2002,73906.18306348608
07/2002,70656.02910507291
08/2002,72511.48072354266
09/2002,75002.6039894033
10/2002,73390.14010599468
11/2002,73851.97016171078
12/2002,79301.60755778715
01/2003,84988.99188828054
02/2003,80310.39124656125
03/2003,77358.51235641689
04/2003,77759.42406920802
05/2003,83413.15910309703
06/2003,79817.7407428126
07/2003,81797.00925004839
08/2003,86564.31216972813
09/2003,89379.57212546893
10/2003,88932.49765572141
11/2003,91674.74848938176
12/2003,95979.2489296632
01/2004,91906.56636709816
02/2004,90964.72954399599
03/2004,97319.82261866286
04/2004,89186.87161435558
05/2004,90233.46577871582
06/2004,90774.2131025907
07/2004,89720.47042747318
08/2004,93309.64722481734
09/2004,95188.38885621718
10/2004,97408.79600536771
11/2004,103735.79459101518
12/2004,100161.34334945175
01/2005,96487.53732803825
02/2005,99479.97502704829
03/2005,97614.86056828513
04/2005,99439.24520724243
05/2005,94540.49433991134
06/2005,99660.72008992155
07/2005,97764.88465425216
08/2005,98685.35015887892
09/2005,107747.99894736124
10/2005,107125.83109432695
11/2005,112739.50862478503
12/2005,116630.47294852255
01/2006,129247.8837591282
02/2006,126286.91179647828
03/2006,132130.32380113116
04/2006,146141.09868689484
05/2006,148111.590526907
06/2006,139079.49207941123
07/2006,143318.38166248656
08/2006,141208.60385085052
09/2006,135647.10147833603
10/2006,136599.03486437706
11/2006,146249.35366797043
12/2006,143689.82922585754
01/2007,146964.48528562408
02/2007,149987.40599208768
03/2007,149360.41143936495
04/2007,152728.98009633648
05/2007,148615.7070424355
06/2007,146603.4856571376
07/2007,149911.96254293146
08/2007,151302.45981979376
09/2007,167213.89481158083
10/2007,177596.61551079308
11/2007,176159.60788659452
12/2007,187989.3447941118
01/2008,207392.52418421351
02/2008,218129.1040316489
03/2008,209489.78727548354
04/2008,195360.95877311783
05/2008,198573.25778496274
06/2008,208451.92846940912
07/2008,205604.43974029424
08/2008,186465.90276665395
09/2008,197902.42777040196
10/2008,163404.3362920872
11/2008,182051.48561731807
