Data,IE00B53QDK08
09/2010,60120.182238302026
10/2010,60397.33360957026
11/2010,65718.1047771965
12/2010,68771.6008561489
01/2011,67171.63604769086
02/2011,69486.83534851793
03/2011,61418.5119793732
04/2011,58909.1473538672
05/2011,59839.83764247941
06/2011,60406.810357240116
07/2011,63368.52362273494
08/2011,57427.23899748735
09/2011,60420.81802930088
10/2011,58103.79470884612
11/2011,57928.12788362121
12/2011,60546.986730839344
01/2012,62121.67778774963
02/2012,63935.70081465453
03/2012,65187.792385509325
04/2012,63758.01736704562
05/2012,61837.77624974
06/2012,64026.07074610949
07/2012,64028.330268293794
08/2012,61889.557933612894
09/2012,61741.83971395002
10/2012,60267.23192848659
11/2012,61707.471343323
12/2012,63927.53147154626
01/2013,64507.85923968509
02/2013,68325.64388026232
03/2013,73447.88813484358
04/2013,78228.64092175671
05/2013,74140.71046202954
06/2013,74980.35639760541
07/2013,74294.40948506734
08/2013,72885.83223224143
09/2013,77366.07150007458
10/2013,76563.03799560678
11/2013,77842.29550820905
12/2013,77406.52337442832
01/2014,75903.31256571933
02/2014,73842.5058136264
03/2014,72994.24124874095
04/2014,70762.01944721617
05/2014,74910.00487739577
06/2014,78502.90559462368
07/2014,80572.56349662249
08/2014,79932.42325472004
09/2014,83147.87277615948
10/2014,82417.56759192904
11/2014,82909.11804763693
12/2014,83988.52679473851
01/2015,92272.48627796059
02/2015,98400.54086911789
03/2015,104336.0594449211
04/2015,103596.95665285084
05/2015,107249.37502614273
06/2015,103304.36751490932
07/2015,105850.26217899719
08/2015,97451.43492921424
09/2015,90882.23490462749
10/2015,101705.08659972966
11/2015,104817.46264976377
12/2015,102140.88621270913
01/2016,93415.10427903662
02/2016,91082.85261022017
03/2016,91191.03114227735
04/2016,95243.22727984046
05/2016,96320.07881120869
06/2016,94348.3247509804
07/2016,100326.55217315222
08/2016,100497.5867156537
09/2016,101801.38360425505
10/2016,105129.78214898457
11/2016,105552.30182456343
12/2016,107484.71244230447
01/2017,109222.48014691149
02/2017,112046.7240176972
03/2017,110607.79514974791
04/2017,109280.0712228345
05/2017,109604.6892479714
06/2017,108869.54841189965
07/2017,108044.98807335192
08/2017,107051.0909025551
09/2017,109281.86346666778
10/2017,115926.27552253898
11/2017,117221.1742030493
12/2017,116574.10867749341
01/2018,117328.97830660983
02/2018,117814.14502469594
03/2018,114278.00133104391
04/2018,117299.59721350158
05/2018,119869.75032722404
06/2018,117213.43485050515
07/2018,116852.55280441379
08/2018,117918.77838312044
09/2018,122241.07478837782
10/2018,114407.33589682389
11/2018,114399.34933271195
12/2018,105862.65097703226
01/2019,111906.17086746529
02/2019,112530.36110689945
03/2019,114944.7824569943
04/2019,116669.57090998316
05/2019,112675.94968639454
06/2019,114495.50450487036
07/2019,116963.78855539778
08/2019,116938.27767536635
09/2019,123260.57128193395
10/2019,126122.10288483434
11/2019,128766.27551525804
12/2019,128451.05951461947
01/2020,128738.72755411836
02/2020,117713.39044522894
03/2020,109461.9500427868
04/2020,116166.34874605203
05/2020,120125.91689923253
06/2020,119395.94960403402
07/2020,111006.76099988085
08/2020,118491.7376883876
09/2020,121974.95849409649
10/2020,120078.88372376212
11/2020,131853.02158038158
12/2020,133985.46411696583
01/2021,134066.3196789693
02/2021,136211.34430546957
03/2021,142252.52899967792
04/2021,135890.37956018918
05/2021,136604.37117186913
06/2021,139786.44257132514
07/2021,137879.36769253548
08/2021,142741.53360749935
09/2021,149841.01875383605
10/2021,143920.03706212435
11/2021,143798.27377188182
12/2021,146943.1181916353
01/2022,141555.27370347906
02/2022,139378.67951261616
03/2022,139847.0777067618
04/2022,134266.58157036031
05/2022,134208.49343438106
06/2022,127440.87878106517
07/2022,137149.3023171874
08/2022,136237.85780807908
09/2022,125224.71966318763
10/2022,126727.38857852375
11/2022,132751.57970986434
12/2022,129433.27283493314
01/2023,135305.67993740397
02/2023,132679.63389282834
03/2023,134639.60949782515
04/2023,133774.09385893427
05/2023,140010.4584538051
06/2023,143233.4820881728
07/2023,145398.39698724682
08/2023,143841.19098974712
09/2023,144404.57502156263
10/2023,137518.44299408348
11/2023,144967.19746253305
12/2023,149608.83785439385
01/2024,159534.3355208538
02/2024,164417.6948309485
03/2024,169550.28775249975
04/2024,162646.95101352705
