Data,IE00B44Z5B48
05/2015,83690.61904158868
06/2015,80129.32390777525
07/2015,82464.33859451271
08/2015,75117.97274492304
09/2015,72482.37823475455
10/2015,79486.28384875339
11/2015,82104.00331847674
12/2015,78348.64576820159
01/2016,73393.16718363031
02/2016,73119.00704205026
03/2016,75133.11106548001
04/2016,76141.04002128009
05/2016,77979.50740848115
06/2016,77885.73000312701
07/2016,81159.36010899657
08/2016,81305.75118221485
09/2016,81599.56722727689
10/2016,81782.87131164336
11/2016,84828.16928299399
12/2016,87439.11457334222
01/2017,88031.77931782573
02/2017,91861.12763834558
03/2017,92197.45584246414
04/2017,91597.81555404543
05/2017,91240.98268461582
06/2017,90128.64204805928
07/2017,90160.69547518023
08/2017,89769.75133782902
09/2017,91654.99915116496
10/2017,94899.68672496869
11/2017,95025.10777403678
12/2017,95397.69572132577
01/2018,97013.12960942886
02/2018,94793.81434262557
03/2018,91983.69547459425
04/2018,94744.8730382906
05/2018,97997.23590738291
06/2018,97815.84807285454
07/2018,100094.94397071948
08/2018,101629.15324813855
09/2018,102740.80802349158
10/2018,97196.86756551644
11/2018,98275.973366019
12/2018,90634.62295676806
01/2019,97465.21423697028
02/2019,100715.29542150642
03/2019,103654.94051847277
04/2019,107337.68744795627
05/2019,101631.35084109205
06/2019,106119.70505200767
07/2019,108618.23702130179
08/2019,107160.50688234194
09/2019,110906.57646861604
10/2019,111225.7954730972
11/2019,115736.75590110134
12/2019,117133.32595208267
01/2020,117737.93896927858
02/2020,108974.38357208911
03/2020,94472.93656867679
04/2020,105379.36542098387
05/2020,107422.25722871609
06/2020,110251.58107215786
07/2020,109718.97946866511
08/2020,115541.72650290014
09/2020,114037.09856689755
10/2020,111349.91706384119
11/2020,122134.20540722221
12/2020,124777.13793354918
01/2021,125580.21049687687
02/2021,128643.68894254407
03/2021,136568.31818317098
04/2021,138336.88389480865
05/2021,139147.04122823104
06/2021,144741.89265185673
07/2021,145647.08637875185
08/2021,150008.65851202986
09/2021,146994.61926255547
10/2021,153610.58013020808
11/2021,153628.6155328856
12/2021,160293.98521002787
01/2022,154721.1645582316
02/2022,150141.0121309058
03/2022,154786.44938500904
04/2022,149985.62202341264
05/2022,147791.16638205975
