Data,IE00B3XXRP09
09/2008,34094.707549314764
10/2008,31804.53758493347
11/2008,29590.140796425545
12/2008,27346.172458240537
01/2009,27190.919952700217
02/2009,24624.62191593347
03/2009,25443.964535511695
04/2009,27947.00437988936
05/2009,27785.78048380987
06/2009,27768.41143087079
07/2009,29858.56170261282
08/2009,30644.354129609656
09/2009,30980.754227901823
10/2009,30080.899341478194
11/2009,31410.163219073373
12/2009,33386.302467219866
01/2010,33197.35721529537
02/2010,35222.49935060623
03/2010,37598.16440437333
04/2010,38659.914666329016
05/2010,38484.22890894456
06/2010,36574.37941297342
07/2010,36860.59989651352
08/2010,36160.527862912306
09/2010,36591.827752823876
10/2010,37409.1955149716
11/2010,39884.30969223983
12/2010,41388.40580115717
01/2011,41345.75109647603
02/2011,42320.86439081919
03/2011,41223.659753349755
04/2011,40576.91720382015
05/2011,41439.944452265205
06/2011,40555.03734876563
07/2011,40265.78610395551
08/2011,37575.35130608991
09/2011,37381.75724546831
10/2011,39990.1603235396
11/2011,41633.21200066421
12/2011,43613.66694325809
01/2012,44745.96501752859
02/2012,45751.09067715938
03/2012,47561.82338972601
04/2012,47768.54768010298
05/2012,47830.54422307326
06/2012,49058.791279820485
07/2012,50976.34273834215
08/2012,50769.954015957206
09/2012,50794.09200349643
10/2012,49611.46954245345
11/2012,49923.188497043084
12/2012,49581.09084139884
01/2013,50776.18226926513
02/2013,53112.84565651367
03/2013,56495.93226057693
04/2013,56404.95117892638
05/2013,58013.90328448879
06/2013,56907.69586902921
07/2013,58921.73763140057
08/2013,57384.77049353685
09/2013,57997.664169512085
10/2013,60055.4604004452
11/2013,62018.48630599011
12/2013,62755.06883911423
01/2014,61814.26878877143
02/2014,63248.50659074737
03/2014,63891.975516451734
04/2014,64072.375776610024
05/2014,66743.9123600809
06/2014,67864.32798317734
07/2014,68320.11224711307
08/2014,72078.42424822456
09/2014,74480.46184197803
10/2014,76654.73191828698
11/2014,78970.36107304519
12/2014,80985.72459989734
01/2015,84358.85113880748
02/2015,89718.22522483997
03/2015,92241.61245204073
04/2015,89334.73889932036
05/2015,92499.07420019023
06/2015,88927.55718814641
07/2015,92623.42358364307
08/2015,85105.0324879795
09/2015,83083.17018777631
10/2015,91607.78174365048
11/2015,95678.89389257114
12/2015,91500.14524746638
01/2016,86691.48818944082
02/2016,86823.9166478165
03/2016,88661.43045471094
04/2016,88859.59173324388
05/2016,92469.38727407556
06/2016,93137.93171064544
07/2016,96470.71894829074
08/2016,96435.72538072408
09/2016,96197.50287544072
10/2016,96292.23966993592
11/2016,102772.98346399052
12/2016,105732.92946247225
01/2017,105588.36913138832
02/2017,111411.75173317094
03/2017,110554.30376512336
04/2017,109241.05490584369
05/2017,107899.10778335074
06/2017,106749.13828071475
07/2017,106011.60848491795
08/2017,105448.77436503337
09/2017,107790.99869424662
10/2017,111892.3197021286
11/2017,113263.85768078172
12/2017,113141.47802253581
01/2018,115157.05691727607
02/2018,113112.76871381092
03/2018,109274.17079358349
04/2018,111884.77486323255
05/2018,118294.37763269116
06/2018,119434.10411722481
07/2018,123048.52641814837
08/2018,127977.71669118226
09/2018,129532.58412255062
10/2018,123422.41488019099
11/2018,125475.76138741076
12/2018,113232.06232193047
01/2019,121894.73436407429
02/2019,126594.94138844802
03/2019,131126.58627366903
04/2019,136634.9182216927
05/2019,128712.85914406489
06/2019,135003.97698786316
07/2019,139748.85837543133
08/2019,138960.06952386908
09/2019,143463.04538514238
10/2019,143079.6812193961
11/2019,150587.24569753927
12/2019,151643.69850376714
01/2020,154071.61478533968
02/2020,142345.6809308949
03/2020,124994.90226077152
04/2020,142048.49365841105
05/2020,145331.15371308205
06/2020,147392.3941382433
07/2020,147152.42137096936
08/2020,156505.79064804126
09/2020,153533.2839088413
10/2020,149569.2287111807
11/2020,162026.75552916084
12/2020,164256.8915422769
01/2021,164397.67275328876
02/2021,169130.32189007784
03/2021,182489.98692227795
04/2021,186538.65370367703
05/2021,185998.52136688866
06/2021,195407.12727206352
07/2021,199919.73454327552
08/2021,206978.97780040224
09/2021,201686.65996549567
10/2021,214582.15629902683
11/2021,218371.30906845376
12/2021,228890.5388447302
01/2022,220340.27312089698
02/2022,212909.25998628308
03/2022,222751.52153665843
04/2022,214136.48852860735
05/2022,211052.38444035183
06/2022,199696.22861498772
07/2022,222139.69135107053
08/2022,217286.56986135198
09/2022,202361.74297489563
10/2022,215070.73625477334
11/2022,216965.99843019494
12/2022,198893.665016595
01/2023,208120.62923912276
02/2023,207122.2164596341
03/2023,209659.7707321638
04/2023,210864.65840177235
05/2023,217676.54301465678
06/2023,228138.7038210373
07/2023,232100.4948155872
08/2023,231649.18365070515
09/2023,226296.70583041132
10/2023,221003.6324328191
11/2023,234289.9654561823
12/2023,242282.4871139711
01/2024,251181.7521674297
02/2024,264848.00687358325
03/2024,273733.2543017908
04/2024,264814.80507538555
