Data,IE00B51B7Z02
11/2011,280964.77373544575
12/2011,284990.4431681005
01/2012,296520.70239250315
02/2012,300955.3045805391
03/2012,293963.4385237847
04/2012,298660.38102454576
05/2012,284058.63308268157
06/2012,287985.3990559133
07/2012,301663.8068949513
08/2012,306391.2509944059
09/2012,309962.316994835
10/2012,307392.4007876251
11/2012,306140.86288751016
12/2012,306076.71078592655
01/2013,303506.9914468543
02/2013,308798.59785800823
03/2013,318450.4734043998
04/2013,307481.6463855282
05/2013,307477.1230630512
06/2013,288813.71269272326
07/2013,301006.49643231335
08/2013,299103.03223282454
09/2013,304722.31612197397
10/2013,311685.4108520444
11/2013,309591.80867955304
12/2013,310586.77520747227
01/2014,303919.5162683513
02/2014,310582.5873617239
03/2014,315829.3354615446
04/2014,323639.52250763733
05/2014,332023.9052578044
06/2014,350643.16087696765
07/2014,357763.174423878
08/2014,371112.63017384574
09/2014,363852.5366919742
10/2014,355197.7466656381
11/2014,356415.94912596256
12/2014,359381.023954664
01/2015,353931.84920473304
02/2015,377139.5533269077
03/2015,381369.4793194512
04/2015,391381.1779710372
05/2015,382027.098479905
06/2015,363649.364937596
07/2015,357535.9214498842
08/2015,327098.75483909046
09/2015,312133.8724941643
10/2015,330843.1845514324
11/2015,337691.99532971444
12/2015,305142.31831929565
01/2016,296695.9618968023
02/2016,308931.3614926997
03/2016,325039.9365853793
04/2016,346422.98857854673
05/2016,341987.37120566424
06/2016,345051.4135839721
07/2016,356454.5625284784
08/2016,357016.47350756236
09/2016,360199.736918006
10/2016,364103.9573052937
11/2016,383735.4308686524
12/2016,394146.4224365753
01/2017,400801.1122526308
02/2017,400367.21883430664
03/2017,398698.16540298157
04/2017,381804.2862933668
05/2017,371099.938555119
06/2017,376239.28362030064
07/2017,380670.0943675232
08/2017,378087.21140383184
09/2017,392815.7003986226
10/2017,397753.7962782837
11/2017,393167.56986168004
12/2017,403575.2869417409
01/2018,392219.0951672427
02/2018,370734.07901108376
03/2018,364260.5188987912
04/2018,380780.54831067927
05/2018,400988.946557444
06/2018,403442.1199648387
07/2018,410511.01068393217
08/2018,407511.2611115747
09/2018,409905.59076840687
10/2018,386637.30412007566
11/2018,386446.09140229615
12/2018,351479.68667209905
01/2019,396099.7255675164
02/2019,409721.1333959826
03/2019,413731.2004220203
04/2019,427098.1643965833
05/2019,412551.3083669184
06/2019,428942.1255133548
07/2019,435301.7787707477
08/2019,434807.7544127205
09/2019,450810.31129615416
10/2019,439279.8153869376
11/2019,457208.762394819
12/2019,458752.8928535518
01/2020,464535.64507069415
02/2020,433634.1344708534
03/2020,341323.9849666219
04/2020,386500.79944330954
05/2020,389812.69037429715
06/2020,401863.99744432786
07/2020,402715.82823727414
08/2020,421066.87386554806
09/2020,408498.93080005207
10/2020,395433.51836351777
11/2020,439495.55126639304
12/2020,444508.7810165148
01/2021,444791.7726921064
02/2021,470209.6211990951
03/2021,510351.4085621733
04/2021,517274.23698880116
05/2021,540190.6166768107
06/2021,554527.3948259834
07/2021,553730.9926729446
08/2021,557581.5575384005
09/2021,555182.8366169056
10/2021,594233.1315315109
11/2021,579260.9961170941
12/2021,608903.9609435522
01/2022,613036.9867232707
02/2022,611781.6489428108
03/2022,650254.9822198326
04/2022,635002.6231329219
05/2022,633965.9543466996
06/2022,586115.8066270351
07/2022,626402.4999864021
08/2022,613103.2271552908
09/2022,575721.768738614
10/2022,603310.7792298973
11/2022,611557.5180593597
12/2022,565911.0114466742
01/2023,607683.0305273986
02/2023,592998.1730966942
03/2023,579765.7294031234
04/2023,591459.9152845236
05/2023,574852.3241458572
06/2023,602422.1035379453
07/2023,613304.5880018213
08/2023,596232.5222557724
09/2023,593700.551374039
10/2023,559115.5953040083
11/2023,599834.0620663943
12/2023,633825.9252555246
01/2024,641480.0177481893
02/2024,646504.6148583868
03/2024,674354.0878489144
