Data,IE00B3DWVS88
04/2006,128098.44202536612
05/2006,111722.47510929623
06/2006,112817.84393788774
07/2006,113965.46493120407
08/2006,116134.3207031017
09/2006,118849.31705152532
10/2006,124118.88374309905
11/2006,128240.6495047364
12/2006,134301.62327297786
01/2007,135129.4086801005
02/2007,131700.4808945542
03/2007,135843.83129268742
04/2007,139273.21635084244
05/2007,147691.92085492943
06/2007,154046.56087396777
07/2007,159825.99179941806
08/2007,156465.94838205626
09/2007,167912.0472264818
10/2007,183147.70652347483
11/2007,166508.79587949213
12/2007,167520.49637466803
01/2008,145153.91438292907
02/2008,152832.50822090762
03/2008,138816.62928616698
04/2008,152698.31513985753
05/2008,155859.63032779476
06/2008,138015.6949687628
07/2008,134188.25464865245
08/2008,130824.3012908239
09/2008,111172.36680328374
10/2008,90523.79065511205
11/2008,83891.28173974359
12/2008,82702.39679296858
01/2009,84024.14027522448
02/2009,80356.62756556089
03/2009,87310.08041968149
04/2009,102084.82079665332
05/2009,112581.41378087294
06/2009,110777.09054302837
07/2009,123251.25448172762
08/2009,121659.99022298673
09/2009,129330.87246013175
10/2009,128097.75824221177
11/2009,131592.52277598562
12/2009,142632.9682214508
01/2010,138910.47082176348
02/2010,143463.76419908108
03/2010,156069.53491273333
04/2010,159903.5501062966
05/2010,157819.7918523017
06/2010,157109.3542488844
07/2010,160370.40269744603
08/2010,161588.42095859096
09/2010,166792.46459101737
10/2010,169020.80585866194
11/2010,175400.65133299306
12/2010,182775.73351360348
01/2011,173520.92357910206
02/2011,170121.6921063817
03/2011,175379.80237312755
04/2011,172868.26486647635
05/2011,173921.71987750762
06/2011,170471.26392723157
07/2011,172087.49387719066
08/2011,154669.19265136175
09/2011,141375.67170607465
10/2011,154386.59999813818
11/2011,150329.60380478253
12/2011,153994.43935791048
01/2012,168369.41332062706
02/2012,174900.14509777003
03/2012,170140.49838561146
04/2012,169920.35044669962
05/2012,160782.2263983063
06/2012,164542.9240619892
07/2012,172013.09724072082
08/2012,167027.02157099664
09/2012,172728.1815570232
10/2012,170823.82496108022
11/2012,173057.1431334475
12/2012,178635.87328289897
01/2013,176324.65059240465
02/2013,179676.0020688375
03/2013,181045.79388381756
04/2013,178710.32888374844
05/2013,175050.37964163953
06/2013,163019.54739162838
07/2013,162350.6575218161
08/2013,160069.34852745544
09/2013,167081.5060117256
10/2013,173436.2827332289
11/2013,171248.5673388439
12/2013,166542.21520989732
01/2014,158893.76178899393
02/2014,160621.93815252863
03/2014,165849.86862237914
04/2014,165682.01366234082
05/2014,174525.5660308438
06/2014,178529.99348272083
07/2014,185883.56994911804
08/2014,192855.803533302
09/2014,187141.4543665989
10/2014,190216.58865001675
11/2014,188788.2400372204
12/2014,185206.51898074234
01/2015,200066.2228343998
02/2015,207429.6021971375
03/2015,213614.78332235065
04/2015,220691.1737483333
05/2015,216575.1890239737
06/2015,206930.9293255625
07/2015,196564.92487719253
08/2015,174852.1008504599
09/2015,169793.7642252606
10/2015,184947.6239021827
