Data,JE00B1VS3770
04/2003,16768.715640613358
05/2003,16938.847813320313
06/2003,16772.12223722603
07/2003,17356.433532369723
08/2003,19028.462175536773
09/2003,18427.421740485
10/2003,18385.671827764043
11/2003,18367.557061313262
12/2003,18264.243753589806
01/2004,17839.872642625418
02/2004,17611.65880544076
03/2004,19144.170996616464
04/2004,17954.492312561288
05/2004,17794.208640800647
06/2004,17967.16840307047
07/2004,17932.788452582692
08/2004,18542.232491323368
09/2004,18464.18804188443
10/2004,18411.159101084097
11/2004,18786.788991737678
12/2004,17708.214915578523
01/2005,17828.929072151914
02/2005,18076.874808842895
03/2005,18142.068094641567
04/2005,18494.149354684887
05/2005,18479.229916018834
06/2005,19868.333127282505
07/2005,19492.07878150957
08/2005,19509.397772437103
09/2005,21580.342792582727
10/2005,21493.25178198608
11/2005,23111.54344087715
12/2005,23856.266057297245
01/2006,25740.46281322228
02/2006,25669.9813319811
03/2006,26353.662931201314
04/2006,28145.373636521566
05/2006,27795.4690341847
06/2006,26423.47603294007
07/2006,27117.99593064374
08/2006,26548.580483642763
09/2006,25892.34641351326
10/2006,26004.396962138824
11/2006,26782.336508964734
12/2006,26378.04980005421
01/2007,27433.673285448273
02/2007,27457.61005216929
03/2007,27127.617578213056
04/2007,27158.505987630237
05/2007,26730.343477142727
06/2007,26271.295779202726
07/2007,26472.464717649436
08/2007,26726.3210914179
09/2007,28553.547088105566
10/2007,29768.43152005954
11/2007,28904.094563126706
12/2007,30933.77461015442
01/2008,33789.62990517489
02/2008,34848.2817259723
03/2008,32107.951804833367
04/2008,30472.180296674393
05/2008,31042.252405366475
06/2008,32062.28541905848
07/2008,31939.750314911395
08/2008,30694.99562726864
09/2008,33567.141841063916
10/2008,31082.184235962057
11/2008,34716.021865157214
12/2008,33704.66634596359
01/2009,38895.2434653663
02/2009,40805.1710109298
03/2009,37310.24307640902
04/2009,36033.91063789527
05/2009,37462.461197794095
06/2009,35784.340505424625
07/2009,35934.85378791369
08/2009,36211.29662454173
09/2009,36768.80293366286
10/2009,37983.4362470278
11/2009,42291.60807103145
12/2009,41397.810520192805
01/2010,41702.27314945534
02/2010,44089.58658204707
03/2010,44663.291459809894
04/2010,47782.80351720751
05/2010,52919.340705427756
06/2010,54661.71899603288
07/2010,48363.76761795141
08/2010,52948.44963180566
09/2010,51584.138109099935
10/2010,52334.523268694924
11/2010,57298.629932152915
12/2010,56796.8013886591
01/2011,52137.420118492475
02/2011,54851.7650487994
03/2011,54453.72879040002
04/2011,55534.36939997538
05/2011,57387.45500263783
06/2011,55946.41556497911
07/2011,61318.14180687909
08/2011,67366.19313839701
09/2011,64376.79704291514
10/2011,65975.24410182275
11/2011,69779.83472971438
12/2011,65232.56839015524
01/2012,70934.19417470384
02/2012,70538.77267626688
03/2012,66663.29090824185
04/2012,66902.04831800413
05/2012,67229.69809529206
06/2012,67930.95117539691
07/2012,70624.61383156535
08/2012,69894.31819320163
09/2012,73419.68822873612
10/2012,70694.88241569253
11/2012,70998.04837418835
12/2012,67345.578047456
01/2013,65583.8727200036
02/2013,64565.3562998492
03/2013,66584.36574888544
04/2013,59928.043429708254
05/2013,57158.01661323396
06/2013,48562.92061190734
07/2013,52751.21016295667
08/2013,56123.68093222943
09/2013,52291.960746109886
10/2013,51656.048016917084
11/2013,48976.93427346078
12/2013,46335.02574218661
01/2014,49210.48446570594
02/2014,51042.47186047306
03/2014,49778.860001060115
04/2014,49415.163792738116
05/2014,48798.22154129012
06/2014,51107.72872796213
07/2014,50976.54642802435
08/2014,51718.38398812208
09/2014,51268.771173520174
10/2014,49281.210375395385
11/2014,50212.70977966991
12/2014,52331.05977963921
01/2015,59042.57881763729
02/2015,57185.490315213785
03/2015,58394.787767467824
04/2015,55682.92103047298
05/2015,57446.219699246634
06/2015,55338.78398121526
07/2015,52940.6363006112
08/2015,53477.778013736715
09/2015,52527.16347772388
10/2015,54756.23164479347
11/2015,52989.6306442004
12/2015,51490.27057922879
01/2016,53712.50454956243
02/2016,59817.50971001811
03/2016,57284.08124716481
04/2016,59424.40973202083
05/2016,57256.2093048373
06/2016,62662.14068759285
07/2016,63586.94526140521
08/2016,61908.63055534164
09/2016,62352.55682165984
10/2016,61129.298983027365
11/2016,58252.46648161586
12/2016,57805.15030100879
01/2017,59260.94317721964
02/2017,62247.77120933526
03/2017,61151.973376753376
04/2017,60832.79985309695
05/2017,59223.723608481145
06/2017,57111.80218969525
07/2017,56691.06644525799
08/2017,58163.27127138882
09/2017,56965.58186877306
10/2017,57186.1544458262
11/2017,56593.65676937187
12/2017,56607.663907321454
01/2018,56521.56417135587
02/2018,56461.96664591536
03/2018,56208.112029373005
04/2018,56854.723346075814
05/2018,58332.06366680402
06/2018,56056.3140337813
07/2018,54351.8696980694
08/2018,53901.174912820235
09/2018,53547.106962974525
10/2018,56028.13841031458
11/2018,55927.16499256608
12/2018,58385.482422227244
01/2019,60062.19640746022
02/2019,60234.21238315131
03/2019,60083.102830603086
04/2019,59546.10349769741
05/2019,60503.51613092744
06/2019,64457.95398169055
07/2019,66626.77126495744
08/2019,72055.32811613522
09/2019,70945.29774883961
10/2019,70432.76464891547
11/2019,69107.86695741813
12/2019,70443.10500558435
01/2020,74457.5298591895
02/2020,76155.84884231874
03/2020,76234.41335322731
04/2020,81247.4635040071
05/2020,80533.42273083945
06/2020,81886.6902083083
07/2020,85982.08293000843
08/2020,84963.79534551632
09/2020,83501.12315311421
10/2020,83321.69691386158
11/2020,76175.44290874636
12/2020,79768.26227907452
01/2021,79465.32641185416
02/2021,74374.61164563523
03/2021,74577.18894482913
04/2021,75627.66561353154
05/2021,80470.62290332228
06/2021,76642.39472989425
07/2021,79291.92654525636
08/2021,79172.411790417
09/2021,77677.87992417502
10/2021,78380.1647195261
11/2021,81900.3507337409
12/2021,82856.22589246408
01/2022,82943.41457867093
02/2022,87872.35923577454
03/2022,90118.78613706086
04/2022,93378.46242473066
05/2022,88350.5155754127
06/2022,90019.29464866906
07/2022,88449.05085186948
08/2022,88242.47964224522
09/2022,88165.82893280119
10/2022,84962.65601059767
11/2022,86823.19220819707
12/2022,87269.00675157743
01/2023,91183.91337695108
02/2023,88190.66421195326
03/2023,93406.14253956321
04/2023,92607.30316633018
05/2023,94289.00886806523
06/2023,90209.40922496656
07/2023,91610.99412986555
08/2023,91551.05872864653
09/2023,90417.30172399624
10/2023,96270.66040788071
11/2023,95297.0012517508
12/2023,95487.92847242078
01/2024,96901.73294386381
02/2024,96723.03925163043
03/2024,104690.53452465365
04/2024,109983.24451541611
