Data,IE00BMG6Z448
01/2010,32787.0115417232
02/2010,33725.92405087107
03/2010,36887.23456215592
04/2010,37913.09230585837
05/2010,37120.77618324842
06/2010,36780.44248336352
07/2010,37846.8155862739
08/2010,38196.78260886819
09/2010,39590.729851717915
10/2010,40035.56568289756
11/2010,41524.30744551433
12/2010,43995.12167918354
01/2011,41566.91778106125
02/2011,40827.27310019414
03/2011,42133.91097287079
04/2011,41653.80212053694
05/2011,41631.35456475414
06/2011,40989.35597954627
07/2011,41386.49688220356
08/2011,37219.09579983091
09/2011,34205.810726190924
10/2011,37225.904934563696
11/2011,36388.66917535897
12/2011,36987.407437992726
01/2012,40477.22561673934
02/2012,41998.44097286477
03/2012,41180.55872669446
04/2012,40707.52426769911
05/2012,38436.996412748886
06/2012,39474.36174384781
07/2012,41287.27188693965
08/2012,40320.67279490841
09/2012,41651.81590599808
10/2012,40642.14184046273
11/2012,41118.82063814968
12/2012,42450.18612125164
01/2013,41643.42522141246
02/2013,42699.86719149464
03/2013,43304.162072888415
04/2013,42696.863984348354
05/2013,41645.06777509791
06/2013,38825.96551852598
07/2013,38393.62582118194
08/2013,37472.64695577711
09/2013,39217.61270691208
10/2013,40926.23479605127
11/2013,39804.43121668508
12/2013,38908.05528535734
01/2014,37135.93302105548
02/2014,37597.42184925508
03/2014,39259.71736080349
04/2014,39447.619371717155
05/2014,41440.67815656536
06/2014,42329.371310147864
07/2014,43444.71855268008
08/2014,45276.744639803386
09/2014,43813.95796565129
10/2014,44204.43196707024
11/2014,43585.570547594616
12/2014,42077.527133062875
01/2015,45244.34219111219
02/2015,46889.36069210815
03/2015,47745.58451492462
04/2015,48083.13759080208
05/2015,47129.425853962406
06/2015,45482.43291697021
07/2015,43767.0355380931
08/2015,39277.825451067845
09/2015,38002.64632559931
10/2015,41164.89752750895
11/2015,41119.70154836782
12/2015,38927.36783258228
01/2016,37161.489871363934
02/2016,37495.13445866607
03/2016,40749.761692093874
04/2016,40994.57523496695
05/2016,39953.505644262754
06/2016,42168.84217060038
07/2016,44465.68800657711
08/2016,44750.52830957873
09/2016,44999.01564152618
10/2016,46353.76910967633
11/2016,44919.75514642306
12/2016,46160.200708869896
01/2017,47495.84566869368
02/2017,49588.048569274404
03/2017,50456.110058912986
04/2017,50339.032170249484
05/2017,50053.474881814596
06/2017,49459.9892192515
07/2017,50451.34691101443
08/2017,50744.0438813327
09/2017,50316.266065966614
10/2017,52723.95652727965
11/2017,51584.17650759641
12/2017,53154.64851018574
01/2018,54534.84829151293
02/2018,53491.091942556806
03/2018,52363.66101409185
04/2018,53072.6107297695
05/2018,51576.89780112247
06/2018,49872.11694189789
07/2018,51749.89022585798
08/2018,50968.95759339509
09/2018,51222.06432919442
10/2018,48469.38522762129
11/2018,49611.62657588949
12/2018,48674.16434181817
01/2019,52264.35877604585
02/2019,51938.723226044734
03/2019,52805.985849605946
04/2019,53959.67554878444
05/2019,51901.77322885365
06/2019,53614.11049420714
07/2019,53865.57023846332
08/2019,51591.31941931009
09/2019,53766.45297184793
10/2019,54738.37368145518
11/2019,55019.33224342317
12/2019,57548.5815775806
01/2020,55803.81667282153
02/2020,51391.90515154824
03/2020,40916.83501956702
04/2020,45790.02441466221
05/2020,45426.70566395023
06/2020,47991.184782242446
07/2020,49245.17335465885
08/2020,48754.9996175444
09/2020,49328.66484250816
10/2020,49230.07058132283
11/2020,54883.35768528399
12/2020,59189.62215275698
01/2021,60058.48669735434
02/2021,61312.74511846993
03/2021,64415.345499235074
04/2021,64479.415906940834
05/2021,65921.24872513767
06/2021,67817.6089187244
07/2021,66098.96366495753
08/2021,69066.80622761858
09/2021,68157.79394371218
10/2021,67672.52118627285
11/2021,67214.51131574926
12/2021,70437.66636262916
01/2022,70509.51297627676
02/2022,68430.3827839296
03/2022,69317.11947149197
04/2022,68469.83857215797
05/2022,67431.83116324528
06/2022,60778.33432192649
07/2022,64869.44035633491
08/2022,66477.54140788739
09/2022,61115.703575435466
10/2022,61973.12080453746
11/2022,64745.96455548888
12/2022,60283.98480167075
01/2023,62931.57631878543
02/2023,61285.65355334556
03/2023,61223.7200634345
04/2023,61120.42803955671
05/2023,63701.29336103419
06/2023,64951.64509887293
07/2023,66793.23982723826
08/2023,64401.48915281591
09/2023,64368.684465133265
10/2023,61816.03425066776
11/2023,66252.71573935074
12/2023,69720.75910514801
01/2024,69312.23033231226
02/2024,71837.40898254965
03/2024,74086.93517506513
04/2024,73510.4286507514
