Data,IE00B4WPHX27
05/2012,60787.51343937827
06/2012,62426.67248722048
07/2012,67397.27196222307
08/2012,66876.93439673325
09/2012,66334.61326027256
10/2012,63553.440849745544
11/2012,63778.89522664084
12/2012,61325.027547972226
01/2013,61094.234144220754
02/2013,60454.50823124032
03/2013,62580.09002478254
04/2013,59800.95166834934
05/2013,58783.186130301576
06/2013,55406.86738625052
07/2013,55449.13433733311
08/2013,57504.70557348952
09/2013,55234.60738269845
10/2013,54054.234293155554
11/2013,53766.86363163748
12/2013,53524.3252371662
01/2014,53902.22886908617
02/2014,56191.13896313572
03/2014,56542.56563035213
04/2014,57664.76941160021
05/2014,57176.62591496999
06/2014,57549.538934328775
07/2014,56296.580893161605
08/2014,56643.72982054429
09/2014,55568.62958995628
10/2014,55439.769148084095
11/2014,53517.70591383697
12/2014,51620.5836506215
01/2015,53748.24958305328
02/2015,55411.08470388089
03/2015,55057.45026176397
04/2015,55409.826362051565
05/2015,54994.62054792908
06/2015,54853.78466247816
07/2015,50138.799855795995
08/2015,48542.5834679391
09/2015,47001.83272036079
10/2015,47841.73872154734
11/2015,46635.37436227012
12/2015,44123.68151753208
01/2016,43328.60868135806
02/2016,43024.35422355636
03/2016,42794.4058707887
04/2016,46103.30423560751
05/2016,46973.06994043547
06/2016,49244.2447643863
07/2016,46973.57533128741
08/2016,46023.8241906829
09/2016,47351.32471656991
10/2016,48162.218391540286
11/2016,50169.41845048226
12/2016,51402.81227669531
01/2017,50899.628212050804
02/2017,51932.21363083717
03/2017,50166.387105607944
04/2017,48438.5804473378
05/2017,46480.788380138256
06/2017,45676.074613457335
07/2017,45490.102900462334
08/2017,45321.39038411709
09/2017,45426.37605518473
10/2017,46981.73523059694
11/2017,46238.03568583088
12/2017,46934.18135239217
01/2018,46164.50604929309
02/2018,46547.735624924746
03/2018,45983.77786740292
04/2018,48025.50809756611
05/2018,50454.13283447002
06/2018,48685.93402151484
07/2018,47528.60568345373
08/2018,47100.51853661331
09/2018,48007.64252815566
10/2018,47969.819504107145
11/2018,46012.312978818045
12/2018,44442.960068150576
01/2019,46737.16407673241
02/2019,47667.3450666681
03/2019,48265.333050670284
04/2019,48008.767629292044
05/2019,46637.728754140386
06/2019,46853.53856863039
07/2019,47492.061385028836
08/2019,46741.98819820947
09/2019,47939.79099350608
10/2019,47708.481564234775
11/2019,47571.88268413078
12/2019,48964.76892877595
01/2020,46501.96830715625
02/2020,44525.04726032252
03/2020,40277.08707921727
04/2020,40650.75466189796
05/2020,40988.65124972894
06/2020,41968.12746313763
07/2020,42098.30242011443
08/2020,44199.16488393302
09/2020,43946.020795930686
10/2020,44132.54987865194
11/2020,44879.841245987016
12/2020,46247.57880471326
01/2021,47948.01840984645
02/2021,50872.986852637514
03/2021,51631.819894189764
04/2021,54016.37734178025
05/2021,55381.306954859705
06/2021,58284.47945325421
07/2021,59440.38965996814
08/2021,59801.70619021052
09/2021,63960.10126679646
10/2021,65176.43654021653
11/2021,63342.73030086867
12/2021,66501.46183399996
01/2022,72419.34060838193
02/2022,76387.28767082928
03/2022,84136.91620727254
04/2022,92578.98756404071
05/2022,92631.58696596755
06/2022,85146.12499642548
07/2022,90585.29272269971
08/2022,92681.2633325053
09/2022,87827.94573337745
10/2022,88040.73991850084
11/2022,87177.78123506054
12/2022,84161.57319449345
01/2023,83173.23227517983
02/2023,81238.02404677197
03/2023,79184.56479246436
04/2023,77700.17547050808
05/2023,75437.67643454464
06/2023,76523.67039342459
07/2023,79753.58218831211
08/2023,80323.0860928433
09/2023,81213.36460570837
10/2023,81471.52374290687
11/2023,78024.20473542757
12/2023,75416.6756170088
01/2024,76948.42341837074
02/2024,76163.56047370934
03/2024,79339.47747502768
04/2024,82374.05440288331
