Data,DE000ETFL300
09/2000,116956.65236358793
10/2000,114680.55827159794
11/2000,106488.51365113085
12/2000,93293.21071260636
01/2001,92263.67045354981
02/2001,88504.10153254202
03/2001,89884.8430348185
04/2001,95478.23035440741
05/2001,99657.495359832
06/2001,93680.21676384653
07/2001,83937.88817548734
08/2001,78201.76353548229
09/2001,71072.58409455146
10/2001,71594.728022611
11/2001,73512.94379616849
12/2001,69182.17310584747
01/2002,65037.086370838275
02/2002,67599.6087194982
03/2002,70850.09352176948
04/2002,72581.34920019878
05/2002,73962.40022018134
06/2002,65944.65344858523
07/2002,62540.58835432188
08/2002,61535.80435204982
09/2002,58598.95796233995
10/2002,54473.78510015404
11/2002,56294.330325386225
12/2002,51894.77259053958
01/2003,48255.11257803821
02/2003,48670.246618657824
03/2003,45965.571901204705
04/2003,44620.238388088575
05/2003,44030.71336395343
06/2003,48893.020692510705
07/2003,51346.91915482387
08/2003,58767.1800427467
09/2003,58353.86284683573
10/2003,61157.82330907066
11/2003,57406.04307443979
12/2003,58271.190969137904
01/2004,60479.63300880338
02/2004,60111.70562913947
03/2004,69240.10154146905
04/2004,66975.60855009497
05/2004,63266.23228587368
06/2004,66882.94176168522
07/2004,63496.46959075428
08/2004,63549.73575157543
09/2004,60542.163650310715
10/2004,60498.078543631775
11/2004,60730.90663955966
12/2004,62292.4249671262
01/2005,63555.27359185287
02/2005,63752.049694736714
03/2005,63817.38423868844
04/2005,62182.41632799863
05/2005,64717.9944361725
06/2005,65904.62263337348
07/2005,66528.14978415005
08/2005,70516.7420510219
09/2005,78781.11356483637
10/2005,77926.47103651408
11/2005,82973.90750775622
12/2005,89841.31530744043
01/2006,91833.90972725111
02/2006,92879.99791018087
03/2006,93382.34867132158
04/2006,92740.70935100275
05/2006,84697.13276552837
06/2006,84743.89767077213
07/2006,83883.10632807306
08/2006,84550.4577883518
09/2006,84383.57529747009
10/2006,85573.82583295422
11/2006,82854.2382914922
12/2006,85071.9567409801
01/2007,87186.66077280714
02/2007,88893.25346769141
03/2007,86976.460269488
04/2007,83448.31015553528
05/2007,85733.57370986184
06/2007,85111.71205725172
07/2007,83685.51004768582
08/2007,81204.13148514865
09/2007,80266.3490048958
10/2007,78443.27866527706
11/2007,75334.72683092712
12/2007,72518.10972344042
01/2008,68480.15576047957
02/2008,67573.1129838264
03/2008,62159.49554036311
04/2008,67816.88229118507
05/2008,69639.01052464447
06/2008,63808.862582266695
07/2008,62211.663032408025
08/2008,63262.232540561476
09/2008,57840.72316841764
10/2008,55239.88551457347
11/2008,54657.24200184865
12/2008,54022.757479915905
01/2009,54654.00197421188
