Data,IE00BD4TXS21
02/2008,276564.93808212405
03/2008,264273.79787311656
04/2008,282178.5819065796
05/2008,287239.7101726966
06/2008,259510.00088288402
07/2008,259026.05860875567
08/2008,278153.6914461494
09/2008,260238.01814823694
10/2008,241847.11519091585
11/2008,224502.25995257683
12/2008,207941.60219286632
01/2009,207385.62847778873
02/2009,188638.51573542107
03/2009,194562.1456566716
04/2009,213750.9366390428
05/2009,212321.66574325913
06/2009,212235.40581178747
07/2009,228143.7016950537
08/2009,233835.32888512703
09/2009,236724.03508029808
10/2009,229648.5189662372
11/2009,239672.63404447073
12/2009,255058.31086025535
01/2010,253834.85224248306
02/2010,269275.09666849475
03/2010,287296.1606283402
04/2010,295461.3548403378
05/2010,293853.16812933463
06/2010,279009.1973373591
07/2010,281131.4554539719
08/2010,275983.87278174894
09/2010,279689.0829348078
10/2010,286286.17569751985
11/2010,305512.8245239685
12/2010,317029.80070019816
01/2011,316769.85642402305
02/2011,323992.5586949401
03/2011,315823.9700155209
04/2011,311148.15268451377
05/2011,317902.00977902045
06/2011,311004.3047880929
07/2011,309037.6732159264
08/2011,288069.4550365644
09/2011,286066.75074273825
10/2011,306169.4101204144
11/2011,318560.4431826479
12/2011,333444.11731656006
01/2012,342828.0994704536
02/2012,350783.77113746497
03/2012,364334.04766832903
04/2012,365986.86174188845
05/2012,365919.05744475336
06/2012,374695.61736386665
07/2012,389191.91672473506
08/2012,387952.999077103
09/2012,387984.89707536297
10/2012,379090.5467115808
11/2012,381721.1915502092
12/2012,379230.30732914206
01/2013,388762.97219520184
02/2013,406339.6992255083
03/2013,432244.99839671364
04/2013,431739.8665420981
05/2013,443024.25383374735
06/2013,434592.8956853936
07/2013,450688.3089034038
08/2013,439527.04302850005
09/2013,444955.5219464535
10/2013,460025.4765555829
11/2013,474135.48561648047
12/2013,480459.13384023635
01/2014,473535.63727079285
02/2014,485085.60525082203
03/2014,489246.07606357033
04/2014,489925.61982447177
05/2014,510518.8844855686
06/2014,519449.9086293205
07/2014,522761.72046252014
08/2014,551557.3461518971
09/2014,568981.4991655232
10/2014,585391.3782662979
11/2014,602821.0266387769
12/2014,617840.6585434736
01/2015,644726.5965892582
02/2015,686315.754388232
03/2015,706568.4355577779
04/2015,683955.3183326563
05/2015,708468.77662539
06/2015,681363.6325473319
07/2015,708968.9369299093
08/2015,651150.8598482279
09/2015,634509.4696849542
10/2015,698387.5538770023
11/2015,729758.1941449519
12/2015,697113.3349414774
01/2016,657984.6262501462
02/2016,658450.4748505164
03/2016,672756.7239671436
04/2016,674935.2414718282
05/2016,702545.5431736909
06/2016,707580.1705765019
07/2016,733623.7938493061
08/2016,733394.1264501862
09/2016,732194.0939883209
10/2016,732341.73263286
11/2016,780893.5735224291
12/2016,802466.5149586537
01/2017,802697.4778110366
02/2017,846602.5560297518
03/2017,840244.3970421082
04/2017,830657.4635636994
05/2017,820053.3857182378
06/2017,811284.63786448
07/2017,805482.2988419042
08/2017,801332.0074000118
09/2017,818896.1592328809
10/2017,849644.3113680856
11/2017,859818.2434205236
12/2017,858602.7471425663
01/2018,873963.2143358667
02/2018,858540.6934102919
03/2018,830216.9457006796
04/2018,850154.6581807034
05/2018,899073.3535910109
06/2018,908257.3862394659
07/2018,934503.757149343
08/2018,972383.6694208613
09/2018,983045.4693203301
10/2018,935535.4412698048
11/2018,950210.6196433011
12/2018,857634.0600651721
01/2019,924994.110920792
02/2019,961881.5755583171
03/2019,995336.0460590684
04/2019,1036701.0243853711
05/2019,976869.5251659896
06/2019,1024329.0630953454
07/2019,1061394.9171820758
08/2019,1053680.6478610116
09/2019,1086778.2288927129
10/2019,1083928.6561397153
11/2019,1142165.8222166589
12/2019,1149147.3256724533
01/2020,1170223.613787511
02/2020,1082004.6716115912
03/2020,946452.5814077988
04/2020,1078715.247232321
05/2020,1108205.5423024108
06/2020,1127088.085560862
07/2020,1128358.312288026
08/2020,1203597.6486397288
09/2020,1181515.5050676393
10/2020,1151618.6745558502
11/2020,1254477.7076497474
12/2020,1275090.7047534334
01/2021,1277166.6260913783
02/2021,1311993.7347337583
03/2021,1407176.5874126689
04/2021,1439755.957292981
05/2021,1432400.033936355
06/2021,1511385.605638865
07/2021,1546036.8366375915
08/2021,1599148.690169595
09/2021,1557011.6295347058
10/2021,1655989.774758579
11/2021,1679806.1272577394
12/2021,1751703.891671113
01/2022,1677501.5830864843
02/2022,1621907.990720585
03/2022,1693563.880261709
04/2022,1621803.6931809757
05/2022,1591929.8911201102
06/2022,1505799.338278267
07/2022,1676583.7765488538
08/2022,1642610.5451427537
09/2022,1528603.4355615748
10/2022,1622144.7150016702
11/2022,1634054.0124460633
12/2022,1495969.0993249468
01/2023,1569643.8778776843
02/2023,1562866.9335437021
03/2023,1580098.403924405
04/2023,1584519.5645414563
05/2023,1639129.3617543057
06/2023,1718791.8566718274
07/2023,1752433.4289661634
08/2023,1747262.237358938
09/2023,1708201.707185975
10/2023,1664764.9143605318
11/2023,1769547.709436147
12/2023,1832758.615502558
01/2024,1897677.5222969642
02/2024,2001314.925607755
03/2024,2067603.2040471013
04/2024,1999214.926621576
